comment,date,score,user,title
중국 사극에는 못미치지만 한국 드라마 치고는 상당한 명작인듯 용의눈물 태조왕건 명성황후 등과 어깨를 나란히 할수 있을 정도로,2014-06-17,8.0,브록래스너,63553
좀 지겹다,2014-06-16,2.0,크리스마스,63553
"정점에 오른 사람에겐 내려오는 길만 남은건가..? 그 옛날의 이닌임과 최영장군처럼 외로워보이던 정도전의 모습에다, 이성계와 대면하던 이색대감의 마지막 장면도 참 인상적이었고... 매주 거르지않고 챙겨보던 드라만데, 종영이 다가온다는 게 너무 아쉽다.",2014-06-15,10.0,ㅇㅎㅇ,63553
최고의 드라마,2014-06-15,10.0,dhdhdh,63553
마무리가 어떻게 될지 정말 궁금하네요.. 포커스는 정도전이니 이방원이 3대로 앉으면 막을 내리려나... 정도전의 사병혁파를 반대하는 이방원도 나중에 왕위에 올라서는 똑같이 혁파하는데.. 권력이라는게 참...ㅋㅋ,2014-06-15,10.0,Jimmy,63553
재밌게 보고 있습니다.극 중 59세의 정도전이 너무 정정한 듯.검은 수염?,2014-06-15,10.0,주사광신도 박살,63553
나중에는 이방원이가 정도전 쥑익삐고 왕의 자리 차지함,2014-06-15,10.0,mild,63553
수작중에 수작임,2014-06-14,10.0,아끼야,63553
기되되는구만기래,2014-06-14,10.0,giva1234,63553
2% 부족한 감이 있다.,2014-06-11,7.0,역전의 도원수,63553
역대급 드라마. 역대급 연기자들,2014-06-11,10.0,후레키,63553
한국 드라마 중에 역대급,2014-06-10,10.0,브록래스너,63553
"TV 보고 AIIEH로 다시 보고 ... 이인임, 최영, 정도전 등 연기의 신들의 전쟁, 통찰력 있는 대사들....그런데 조선 개국이후 긴장감이 좀 떨어진 듯....  이런 드라마라면 TV 수신료 인상도  수긍하게 하는....좋은 드라마를 만들어 주는 제작진에 감사함.",2014-06-09,10.0,leemr1001,63553
진심 한국 사극 치고 역대급인듯 대사도 좋고 캐릭성도 좋고 배우들도 너무 멋짐,2014-06-09,10.0,브록래스너,63553
왕좌의 게임보다 더 재밌는 국내사극드라마를 이렇게 빨리보는날이 올줄이야. 웰메이드가 뭔지 제대로 느낀다. 최고의 드라마,2014-06-09,10.0,구구콘,63553
너무 재미짐,2014-06-08,10.0,별별생각,63553
조아조아~~,2014-06-08,10.0,마니팡,63553
