dramaid,date,ratings,url,title,maker
"종합 2위, 드라마 2위",2014-06-29,19.0,,정도전,KBS
"종합 3위, 드라마 3위",2014-06-28,16.6,,정도전,KBS
"종합 2위, 드라마 2위",2014-06-22,18.9,,정도전,KBS
"종합 2위, 드라마 2위",2014-06-21,17.1,,정도전,KBS
"종합 2위, 드라마 2위",2014-06-15,18.4,,정도전,KBS
"종합 2위, 드라마 2위",2014-06-14,18.9,,정도전,KBS
"종합 2위, 드라마 2위",2014-06-08,18.7,,정도전,KBS
"종합 2위, 드라마 2위",2014-06-07,17.4,,정도전,KBS
"종합 2위, 드라마 2위",2014-06-01,17.8,,정도전,KBS
"종합 2위, 드라마 2위",2014-05-31,15.5,,정도전,KBS
"종합 2위, 드라마 2위",2014-05-25,17.6,,정도전,KBS
"종합 2위, 드라마 2위",2014-05-24,16.2,,정도전,KBS
"종합 2위, 드라마 2위",2014-05-18,19.2,,정도전,KBS
"종합 2위, 드라마 2위",2014-05-17,17.3,,정도전,KBS
"종합 3위, 드라마 2위",2014-05-11,19.8,,정도전,KBS
"종합 2위, 드라마 2위",2014-05-10,18.2,,정도전,KBS
"종합 2위, 드라마 2위",2014-05-04,18.4,,정도전,KBS
"종합 2위, 드라마 2위",2014-05-03,16.8,,정도전,KBS
"종합 2위, 드라마 2위",2014-04-27,17.5,,정도전,KBS
"종합 2위, 드라마 2위",2014-04-26,18.2,,정도전,KBS
"종합 3위, 드라마 2위",2014-04-13,17.1,,정도전,KBS
"종합 2위, 드라마 2위",2014-04-12,17.1,,정도전,KBS
"종합 2위, 드라마 2위",2014-04-06,18.2,,정도전,KBS
"종합 2위, 드라마 2위",2014-04-05,17.2,,정도전,KBS
"종합 5위, 드라마 4위",2014-03-30,16.1,,정도전,KBS
"종합 5위, 드라마 5위",2014-03-29,14.6,,정도전,KBS
"종합 4위, 드라마 4위",2014-03-23,15.8,,정도전,KBS
"종합 3위, 드라마 3위",2014-03-22,15.6,,정도전,KBS
"종합 3위, 드라마 3위",2014-03-16,16.1,,정도전,KBS
"종합 2위, 드라마 2위",2014-03-15,16.9,,정도전,KBS
"종합 2위, 드라마 2위",2014-03-09,16.5,,정도전,KBS
"종합 3위, 드라마 3위",2014-03-08,15.4,,정도전,KBS
"종합 6위, 드라마 4위",2014-03-02,14.6,,정도전,KBS
"종합 4위, 드라마 4위",2014-03-01,14.3,,정도전,KBS
"종합 7위, 드라마 5위",2014-02-23,14.0,,정도전,KBS
"종합 3위, 드라마 3위",2014-02-22,14.9,,정도전,KBS
"종합 5위, 드라마 3위",2014-02-16,15.2,,정도전,KBS
"종합 2위, 드라마 2위",2014-02-15,16.1,,정도전,KBS
"종합 6위, 드라마 3위",2014-02-09,13.6,,정도전,KBS
"종합 5위, 드라마 2위",2014-02-08,12.9,,정도전,KBS
"종합 10위, 드라마 5위",2014-02-02,12.8,,정도전,KBS
"종합 8위, 드라마 5위",2014-02-01,12.6,,정도전,KBS
"종합 12위, 드라마 5위",2014-01-26,11.9,,정도전,KBS
"종합 6위, 드라마 4위",2014-01-25,13.2,,정도전,KBS
"종합 10위, 드라마 5위",2014-01-19,11.8,,정도전,KBS
"종합 9위, 드라마 5위",2014-01-18,13.0,,정도전,KBS
"종합 13위, 드라마 5위",2014-01-12,11.2,,정도전,KBS
"종합 11위, 드라마 5위",2014-01-11,10.8,,정도전,KBS
"종합 15위, 드라마 5위",2014-01-05,10.7,,정도전,KBS
"종합 10위, 드라마 5위",2014-01-04,11.6,,정도전,KBS
