,kbs title,kbs ratings,mbc title,mbc ratings,sbs title,sbs ratings,total rating,kbs mbc total rating
2013-01-02,전우치,13.4,보고싶다,11.1,대풍수,10.4,34.9,24.5
2013-01-03,전우치,14.4,보고싶다,15.0,대풍수,10.3,39.7,29.4
2013-01-09,전우치,14.7,보고싶다,11.8,대풍수,9.5,36.0,26.5
2013-01-10,전우치,14.8,보고싶다,12.9,대풍수,10.7,38.400000000000006,27.700000000000003
2013-01-16,전우치,15.3,보고싶다,12.3,대풍수,10.3,37.900000000000006,27.6
2013-01-17,전우치,15.0,보고싶다,11.8,대풍수,11.6,38.4,26.8
2013-01-23,전우치,13.5,7급 공무원,12.8,대풍수,9.6,35.9,26.3
2013-01-24,전우치,14.6,7급 공무원,14.0,대풍수,11.1,39.7,28.6
2013-01-30,전우치,12.7,7급 공무원,16.0,대풍수,9.3,38.0,28.7
2013-01-31,전우치,13.7,7급 공무원,15.8,대풍수,9.9,39.4,29.5
2013-02-06,전우치,13.1,7급 공무원,17.1,대풍수,10.0,40.2,30.200000000000003
2013-02-13,아이리스2,17.0,7급 공무원,13.3,"그 겨울, 바람이 분다",12.1,42.4,30.3
2013-02-14,아이리스2,15.0,7급 공무원,13.8,"그 겨울, 바람이 분다",12.3,41.1,28.8
2013-02-20,아이리스2,12.2,7급 공무원,12.6,"그 겨울, 바람이 분다",12.5,37.3,24.799999999999997
2013-02-21,아이리스2,11.7,7급 공무원,12.4,"그 겨울, 바람이 분다",12.9,37.0,24.1
2013-02-27,아이리스2,11.6,7급 공무원,11.8,"그 겨울, 바람이 분다",11.5,34.9,23.4
2013-02-28,아이리스2,10.8,7급 공무원,11.0,"그 겨울, 바람이 분다",11.8,33.6,21.8
2013-03-06,아이리스2,11.1,7급 공무원,10.0,"그 겨울, 바람이 분다",11.3,32.400000000000006,21.1
2013-03-07,아이리스2,11.2,7급 공무원,9.9,"그 겨울, 바람이 분다",13.5,34.6,21.1
2013-03-13,아이리스2,10.6,7급 공무원,8.8,"그 겨울, 바람이 분다",12.3,31.7,19.4
2013-03-14,아이리스2,9.7,7급 공무원,9.0,"그 겨울, 바람이 분다",12.1,30.799999999999997,18.7
2013-03-20,아이리스2,10.4,7급 공무원,9.3,"그 겨울, 바람이 분다",11.6,31.300000000000004,19.700000000000003
2013-03-21,아이리스2,10.6,7급 공무원,9.5,"그 겨울, 바람이 분다",13.6,33.7,20.1
2013-03-27,아이리스2,10.6,7급 공무원,7.9,"그 겨울, 바람이 분다",12.7,31.2,18.5
2013-03-28,아이리스2,10.4,7급 공무원,9.0,"그 겨울, 바람이 분다",13.6,33.0,19.4
2013-04-03,아이리스2,10.6,남자가 사랑할 때 ,7.3,"그 겨울, 바람이 분다",15.4,33.3,17.9
2013-04-04,아이리스2,11.3,남자가 사랑할 때 ,10.8,내 연애의 모든 것,6.0,28.1,22.1
2013-04-10,아이리스2,10.5,남자가 사랑할 때 ,9.3,내 연애의 모든 것,5.4,25.200000000000003,19.8
2013-04-11,아이리스2,9.8,남자가 사랑할 때 ,11.6,내 연애의 모든 것,5.5,26.9,21.4
2013-04-17,아이리스2,8.8,남자가 사랑할 때 ,11.1,내 연애의 모든 것,5.0,24.9,19.9
2013-04-18,아이리스2,10.5,남자가 사랑할 때 ,10.2,내 연애의 모든 것,5.4,26.1,20.7
2013-04-24,천명,9.8,남자가 사랑할 때 ,9.9,내 연애의 모든 것,4.7,24.400000000000002,19.700000000000003
2013-04-25,천명,9.9,남자가 사랑할 때 ,9.7,내 연애의 모든 것,5.7,25.3,19.6
2013-05-01,천명,9.2,남자가 사랑할 때 ,9.9,내 연애의 모든 것,4.9,24.0,19.1
2013-05-02,천명,9.9,남자가 사랑할 때 ,9.7,내 연애의 모든 것,5.7,25.3,19.6
2013-05-08,천명,9.8,남자가 사랑할 때 ,9.3,내 연애의 모든 것,4.5,23.6,19.1
2013-05-09,천명,9.3,남자가 사랑할 때 ,9.0,내 연애의 모든 것,5.2,23.5,18.3
2013-05-15,천명,9.3,남자가 사랑할 때 ,9.0,내 연애의 모든 것,4.4,22.700000000000003,18.3
