comment,date,score,user,title
반년만에 다시 봐도 더욱 감동이네. 시절이 하수상하여 더 와닿는 건가. 김수영  신하균이 절묘하게 표현해서 미래의 지도자로 그리워하게 만드네. 출연자 모두에게 다시한번 감사!,2014-08-05,10.0,또냐,65653
나는 무조고 10점 이 드라마 진짜 재미는데 내용이나 ost모두 넘 훌륭했고 배우들도 연기 넘 잘했는데 ..시청률 넘 안 나왔내요 아무튼 넘 아까운 드라마네요,2014-07-09,10.0,linsong,65653
추천받아서 요번에 봤는데 신하균 최고 !! 드라마 재미나요,2014-05-07,10.0,jeong,65653
올해 나온 드라마 중 작가정신이 살아있는 거의 유일한 드라마~~,2013-12-15,10.0,또냐,65653
진짜최고ㅜ,2013-10-02,10.0,piao0505,65653
우연히 보게 된 드라마~ 풍덩 빠져서 봤네요^^ 모처럼 즐겁고 유쾌하고 막 오글거리면서 생각하게 하는 좋은 드라마였어요~ 최고!!!,2013-09-17,10.0,shy and hsy,65653
정치와 연애를 이렇게 묶어서 볼 수 있는 드라마는 내연모밖에 없을거같네요 ㅋㅋ손발이 쪼그라들거같은데 보고있으면 웃음이 실실 나오는 드라마입니다 ㅋㅋㅋ그리고 ost도 너무 좋은거같아요.. 가수들이 부르는 노래말고 그냥 연주곡들이 드라마와 딱 맞아 떨어져서 너무 좋아요,2013-09-16,10.0,꽃피는봄이오면,65653
정말 재미있게 봤어요. 신하균씨 이제까지 그냥 연기파배우다? 이정도로만 알고있고 관심도 없었는데 이 드라마 보고 팬이 됐어요. 왠만해선 극중 남자에게 잘 안빠지는데 정말 멋지게 김수영역을 소화하셔서 진짜 사랑에 빠져버렸네요. 브레인도 덩달아보고 아주 하균앓이에 뒤늦게 빠지고있네요.. 흑흑,2013-08-14,10.0,영주댁205,65653
"1회가 미드 ""뉴스룸"" 전개 하고 비슷하네요. 재미있게 봤어요:)",2013-08-13,9.0,sweetchocolate,65653
신하균이 이렇게 오글거리는 연기를 잘하다니ㅋㅋ,2013-08-05,10.0,쿵푸팬더,65653
내연모 잘봤습니다^^♥,2013-07-29,10.0,공한황제,65653
봄이면 생각 날 수채화 같은 드라마!!! 시청률로 밀리긴 너무 아까운 드라마!!! 이 드라마보고 연애세포가 살아난 듯 하다...신하균씨 짱이고 다른 배우들도 다 자연스럽게 연기하는 구명이 없는 드라마!!!,2013-07-14,10.0,사루비아,65653
내연모는 앞으로 출연배우들의 작품이 화제로 떠오를 때마다 투명하게 빛나며 재평가받을 듯.- 그 때 왜 이 작품을 안봤을까 후회들 하겠지..좀더 힘있어질 때를 기다린다며 가짜인 채로 있지 말자고.....김수영 노민영은 지금도 말하는 듯. 롸잇나우를 외치며....흠....클래식 로맨틱 드라마!,2013-07-11,10.0,또냐,65653
보리 너무 귀여움. 연기도 잘하고.,2013-07-08,9.0,나즈마키,65653
ㅋㅋㅋ.내연모식구들 너무 보고싶네요.핸드폰광고 박희순님 목소리도 금방 알아차릴수있고.한채아님.커피.광고.민정님.귀요미 세탁기광고까지 잘보고있고.내연모가 그리워지네요.가족끼리 탕수육먹을때도 소스를 부어먹을까.찍어먹을까.생각들고 ..ㅋㅋ...그리워요. ^^,2013-07-06,10.0,Angel,65653
