comment,date,score,user,title
점점 잼있어지는듯,2014-08-22,10.0,쏘이,65653
너무재밌어요 시간이 어찌가는지 모르고 봤네요~ 조인성씨 공효진씨 둘다 너무 좋아용~~ 아 끝나가는게 아쉽당~~,2014-08-22,10.0,수민맘,65653
회를 거듭할수록 더 괜찮아지는 드라마.성 얘기가 많이 나오지만 전혀 성적이지 않은 드라마. 극초반 광고처럼 쿨하고 멋진 화면을 닮은 인물들이었지만 지금은 좀 더 솔직하고 찌질하게 변해가면서 더 공감가고 편하고 이해되면서 괜찮아지는 드라마.진정 대박인 드라마는 PPL조차 이해하고 싶게 만드는 드라마가 아닐지ㅋ,2014-08-22,10.0,eunkyoung,65653
"노희경님꺼는 거의 다 챙겨본 나로선 고독,굿솔,그사세이후로 뭔가 예전같이 가슴에 탁탁와닿는 느낌이 없어서 싫다, 빠담빠담부터 연출이랑 뭔가 안맞으신다-과도하게 멋부리는듯한 화면과 설정때문인가?하지만 워낙에 노작가님을 좋아했던지라 그겨울바람처럼 그냥참고 본다,",2014-08-22,5.0,나다,65653
"오늘도  역시  
좋았어~~~~~
어쩜  요즘  막장 만 보다
잼 나죽겠쓰!
벌써  10회라니.
담주부터  더    ~~~~
아쉬움을   
공효진  넘  이쁨.~~^^",2014-08-22,10.0,in,65653
폭풍눈물~~~,2014-08-22,10.0,gmlehddodls,65653
중간중간 PPL 때문에 드라마 몰입도가 떨어지긴 하는데... 그래도 스토리는 정말 짱임..PPL만 아니면 완벽.. 물론 제작비 지원 많이 받아야 퀄리티 높은 드라마를 만들 수 있기때문이라는 생각도 들어 이해는 하지만 어쨌든 몰입하기는 어려운...,2014-08-22,8.0,SeungAh Kang,65653
정말 정말 정말 재밌다. 애간장 태우는 작가님. 재열이의 상처가 많아보여 해수가 힘들겠어요,2014-08-21,10.0,유리미소,65653
"극중에 과도하게 나오는 ppl도 이젠 웃기기만해요 오늘은 파크랜드 보고 뿜었음 ㅋㅋ나도 미쳐가는듯 ㅡ,ㅡ나라도 우중충한 분위긴데 새드앤딩은 아니었음 하네요 공블리 불행해지는거 싫음 ㅠㅠ",2014-08-21,10.0,어린v사랑,65653
남여 주인공 비주얼 보는맛도 있고...기타 출연진들도...드라마 내용도...모두 완벽해...노희경 작가 다시 봄.,2014-08-21,10.0,tuesday,65653
오늘 첨 봤는데 잼있네요..앞으로 본방사수~,2014-08-21,10.0,바람이고싶다,65653
오늘도 최고..,2014-08-21,10.0,소나무,65653
대사는 감칠맛 나지만 내용이 불건전하여,2014-08-21,5.0,미,65653
잘보구있음...,2014-08-21,10.0,dlrlda,65653
여주인공 연기 짱짱  색다른소재 넘 재미있게봐요 ^^ 다만 애들과 보기엔 조금 ㅠㅠ 오늘밤 기대되요,2014-08-21,10.0,사도요한,65653
여주가 공블리여서 천만다행이고 남주가 조인성이여서 좋다^^ 오늘도 기대되네요,2014-08-21,10.0,주현그래픽스,65653
여주가 다른 배우였다면.....ㅠ,2014-08-21,5.0,맑은날,65653
"드라마 잘 안 보는데, 어쩌다 뒹굴다 보게 되었는데,, 캐릭터 하나하나 짱이에요,, 보고 또 보고,, bbb",2014-09-03,10.0,마테차,65653
♡♡♡♡,2014-09-03,10.0,서혜진,65653
"친구가 볼만하다고 해서 보기 시작했는데, 사흘동안 밤을 새며 앞부분을 다 보았네요... 처음으로 조인성 연기를 참 잘한다는 생각이 들었고 공효진이 참 예쁘다는 생각이 들었어요... 이 드라마를 보며 제 마음의 감기를 치료하고 있는듯한 느낌...^*^",2014-09-03,10.0,sql,65653
내생에 최고의 드라마~~~ㅜㅜ,2014-08-28,10.0,써니,65653
최고의 드라마입니다,2014-08-28,10.0,땡글,65653
정말 재미있게 보고 있어요~ ^^ 행복한 결말이었으면 좋겠습니다^^,2014-08-28,10.0,언제나변함없이,65653
작가 스스로 작가빨을 너무 앞세우고 있네요... 아쉽습니다.,2014-08-28,7.0,열이씨,65653
유치하다,2014-08-28,1.0,Arcadia,65653
말이필요없지..ㅎㅎ 색다른드라마....짱.!,2014-08-20,10.0,vmvmbm,65653
최고,2014-08-20,10.0,마당지기,65653
아~~두근거려요 괜찮은 드라마예욥,2014-08-20,10.0,내일아기다려,65653
촥오~~!!,2014-08-20,10.0,곤니찌와,65653
내 주변은 이것만 보던데......시청률이 좀 낮게 나오는 이유는 아이들과 보기엔 부적당해 본방송 사수 않되는듯,2014-08-20,10.0,니몸매쩔어,65653
완벽 그자체 믿고보는 노희경,2014-08-21,10.0,농담,65653
완전 좋아요,2014-08-21,10.0,애엄마,65653
믿고보는 노희경작가님과 명품 배우들! 너무 재밌어요!!,2014-08-21,10.0,봄날,65653
오십평생 최고의 드라마. 드라마를 보면서 힐링을 느낄수 있는 명품 드라마,2014-09-03,10.0,Kate,65653
넘 재밌고 신선 이런 좋은 드라마가 많이 만들어지길,2014-09-03,10.0,줄리,65653
처음으로 끝까지 보는 드라마입니다. 우리 자신을 힐링시켜 주는 드라마...정말.....재미있습니다.,2014-09-03,10.0,그물에 걸리지 않는 바람,65653
내용이 깊네요,2014-09-03,10.0,mikoy1005,65653
"운명처럼 널 사랑해도 잼나는데 괜찮아, 사랑이야도 너무 잼나서 뭘봐야할지~~~ㅠㅠ",2014-09-02,10.0,김준탁,65653
어제 우연히 보다가 푹빠쳐서 ㅣ편부터 12편까지 쭉 다보았어요. 내용이 넘 좋고 배우들 연기가 진짜 넘 좋네요. 앞으로4편밖에안남았다고생각하니 안타까운맘이 드네요.,2014-09-01,10.0,sj69lsm,65653
우리가 일상에서 느끼지못하는 정신적인것을 작가님이 우리에게 말해주고자 하는 메세지가 있네요 요즘 흔한 막장보다 훨씬 좋네요 여주가 좋아서 보기 시작했는데  남주도 좋아지고 작가님이 대단해요 이렇게 새로운 소재를 매회때마다 가슴 두근 거리게하고 한주를 기다리게하고 넘 재미있게 보고있어요 ^^,2014-08-30,10.0,사도요한,65653
여주 연기는 좋은데 이미지가 너무 고정적인 배우인듯 느껴져서 이번 드라만의 감성에 빠져지지가 않습니다... 개인적 취향이니만큼 잘한다 못한다의 의미는 아니고 드라마의 몰입도 점수 입니다,2014-08-30,5.0,비타민,65653
노희경 다운 인간에 대한 따뜻한 시각이 느껴지는 드라마,2014-08-30,10.0,ddolyu,65653
"남녀주인공은 동네 노는언니 노는엉아같은데??? 배역 소설가는 그렇다치고 정신과의사는 너무 안어울린다, 이미시작된 드라마 어쩔수없겠지만 앞으로는 좀 현실적인것도 맞춰주시길.",2014-08-29,4.0,할러데이,65653
괜사 넘 잼있게 잘보구있어요..  근데..재열이 때문에...가슴이 먹먹하네...,2014-08-29,10.0,사랑해요,65653
"한동안 지겹도록 비슷한 스토리의 드라마들만 나와서 보지 않았었는데, 요즘 사람들이 흔히 가질 수 있는, 사람 때문에 받은 상처를, 다시 사람으로 치유하는 과정을 보여주는 점에서 이 드라마를 보고 있는 저도 역시 치유받게 됩니다. 너무 좋아요, 이 드라마. 좋은 스토리에 좋은 연기, 감사합니다! :)",2014-08-29,10.0,푸하하,65653
GOOD!!!,2014-08-29,10.0,박진희,65653
청춘남녀들  사랑을 하고픈이들은 모두 모두 꼭들 보세요 집중해서요 생각하고 봐야하는 작품이예요기다림이 간절해지는 드라마  작가님 배우님들 모두모두 화이팅임다. ~~~,2014-08-28,10.0,환한미소,65653
너무너무너무 재밌고 배우들의 연기 실감 짱! !,2014-08-28,10.0,유니뽈뽈이,65653
조인성과 디오때문에 본다...,2014-08-28,6.0,크리스,65653
지해수 요물~~왜 이렇게 사랑스러운지. 저렇게 남자한테 당당할 수 있는 그 직업도 부럽고..ㅋㅋ 나도 나 대신 살림할 남자가 더 좋다고..ㅋㅋ 넌 내가 딱이라는 장재열도 웃기고. 근데 재열이 왜 자꾸 기침하는 지 걱정인데 그것도 강우에 영향받은 건지...루게릭 이런 건 안되는데...넘 재밌어요.,2014-08-28,10.0,프라나스,65653
"벌써 끝나가다니. 어제 다른 드라마 예고 하던데.ㅠㅠ정말 재밌고, 배우들 연기 너무 너무 좋습니다. 작가님 대단합니다.수목 밤이 정말 행복합니다. 이 행복 쭉 됐으면~~",2014-08-28,10.0,aldls,65653
"진짜 재미있어요.조인성,공효진 케미짱이에욬ㅋㅋㅋ",2014-08-28,10.0,윤서인,65653
"진짜 재미있어요.조인성,공효진 케미짱이에욬ㅋㅋㅋ",2014-08-28,10.0,윤서인,65653
대박 재밌습니다. 이광수씨 별로였었는데 와..  연기 이렇게 잘하시는줄 ... 근데.. 제발 장재열 아픔 그만~~~ 루게릭 싫어염.. 형오해도 풀리길,2014-08-28,10.0,니몸매쩔어,65653
"말이 필요없을 만큼 완성도가.. ㅜㅜㅜㅜ

이 드라마 쵝오다 쵝오!!!",2014-08-28,10.0,떵어리,65653
11회..달달함의 정점을 찍네요.. 보는 내내 광대승천~~^^♡,2014-08-28,10.0,니나노,65653
"수,목요일만 기다려요. 역시 노희경작가님 짱~~~",2014-08-28,9.0,오솔길,65653
ㅋㅋㅋ 너무 재미있어용 ㅋㅋㅋ 굿 노희경작가 파이팅!,2014-08-28,10.0,TOP현우,65653
괜사보는날은 진짜..행복함 ㅋㅋㅋㅋ,2014-08-28,10.0,사랑해요,65653
매회 절절하고 불안하고...아이고...그리고 보는 내가 다 즐거운 커플~~ 제발...이 둘을 사랑하게 해 주세요. 작가님~ ^^,2014-08-28,10.0,그린라임,65653
잼있슴..그나저나 재열이 정신분열증환자일것같다는 느낌...환각이 자꾸 생기니까,2014-08-20,10.0,김애리,65653
명작임...연출 출연진 작품 모두 최고입니다^^ 오늘이 수요일이라는 사실을 기쁘게 해주는 드라마,2014-08-20,10.0,욕심버리기,65653
기다려지는 드라마. 잼있다!!!!!,2014-08-20,10.0,아메리카노,65653
"오늘~괜찮아,사랑이야하는날이다~^^오늘진짜기대되요~",2014-08-20,10.0,존중,65653
오.. 연기 간만에 소름 돋음,2014-08-20,10.0,Mstory,65653
괜찮은 드라마!!,2014-08-20,10.0,loveran,65653
