comment,date,score,user,title
요새 보고 있는 작품인데요.너무 재밌고 저두 이시간때 다른 드라마 본거 같아서 미안하네요. 탄탄한 구성과 중간중간 영화같은 촬영법과 연기자들 연기도 너무 좋습니다,2014-04-10,9.0,dodo0562,65653
"난 이드라마 지난거 찿아보다가 보게되었는데 너무 재미있어요...이동욱,송지효러브라인보다 난 맨날 악멱만하던 송종호 러브라인이 더 재미지던데,,,ㅋㅋ 은근이 미소가 나오는 ,,",2014-03-06,10.0,하늘색꿈,65653
시청률이낮은이유가안타까울만큼연기자들연기도드라마내용도넘좋았습니당~^^*,2014-01-21,10.0,jhl0124,65653
요새 보고 있는 작품인데요.너무 재밌고 저두 이시간때 다른 드라마 본거 같아서 미안하네요. 탄탄한 구성과 중간중간 영화같은 촬영법과 연기자들 연기도 너무 좋습니다,2014-04-10,9.0,dodo0562,65653
"난 이드라마 지난거 찿아보다가 보게되었는데 너무 재미있어요...이동욱,송지효러브라인보다 난 맨날 악멱만하던 송종호 러브라인이 더 재미지던데,,,ㅋㅋ 은근이 미소가 나오는 ,,",2014-03-06,10.0,하늘색꿈,65653
재밌게 잘봤습니다.. 장금이와 꺽정이가 재미를 더했고요..,2013-12-07,10.0,을불공,65653
보니까 10프로가 낮은시청률이 아니네,2013-10-08,10.0,나쁜어리니,65653
8 굿♥ 근데 나이거 오에스티 두번인가들엇엇음ㅋㅋ,2013-07-26,5.0,조지희,65653
ㅎㅎㅎㅎㅎㅎㅎㅎ,2013-07-21,10.0,김호일,65653
보고 또 보고...천명...,2013-07-17,10.0,pet angel,65653
최원..잊을수 없어요~^^,2013-07-14,10.0,바다,65653
천명 재밌었어요 ~이동욱이랑 유빈이 너무 좋아^^,2013-07-09,10.0,바나나우유,65653
그동안 천명 잘봤습니다 앞으로도 좋은 드라마 많이 보여주시기 바랍니다 . 천명 아자아자 파이팅!,2013-06-30,10.0,전인숙,65653
"원이 홍역귀에게 처남이라고 불렀는데 잘못됬잖아요,홍역귀가 처남이라고 부르고 원은 매부나 매형 이렇게 불러야 맞죠...",2013-06-30,10.0,다원,65653
그 동안 재밌게 잘 봤습니다~,2013-06-29,10.0,ㅎㅈㄹ,65653
배우들이 다들 훌륭했던 드라마네요 좀 지루한감이 잇긴햇어요 ㅎㅎ 남자한가인?ㅋ동준이도 자기한테 잘맞는 캐릭을 잡아서 너무 보기좋았던거 같아요^^아역배우 어른배우 너무도 잘 조화가 되는 좋은 드라마 였습니다~,2013-06-28,8.0,푸른바다,65653
소백(윤진이)양  돋보이는 캐릭터에   좋은연기력~`~타고난 배우 기질인듯...천명이끝나아쉬어요 하지만  더좋은 작품으로  빨리 만날수 있길바랄께요.. 수고 했어용^^윤진이  파 이 륑....,2013-06-28,10.0,진red,65653
유빈양 수고 많았어요 명품 천명 잘 봤어요,2013-06-28,10.0,크로프트,65653
시청률이낮은이유가안타까울만큼연기자들연기도드라마내용도넘좋았습니당~^^*,2014-01-21,10.0,jhl0124,65653
재밌게 잘봤습니다.. 장금이와 꺽정이가 재미를 더했고요..,2013-12-07,10.0,을불공,65653
보니까 10프로가 낮은시청률이 아니네,2013-10-08,10.0,나쁜어리니,65653
8 굿♥ 근데 나이거 오에스티 두번인가들엇엇음ㅋㅋ,2013-07-26,5.0,조지희,65653
ㅎㅎㅎㅎㅎㅎㅎㅎ,2013-07-21,10.0,김호일,65653
보고 또 보고...천명...,2013-07-17,10.0,pet angel,65653
최원..잊을수 없어요~^^,2013-07-14,10.0,바다,65653
천명 재밌었어요 ~이동욱이랑 유빈이 너무 좋아^^,2013-07-09,10.0,바나나우유,65653
그동안 천명 잘봤습니다 앞으로도 좋은 드라마 많이 보여주시기 바랍니다 . 천명 아자아자 파이팅!,2013-06-30,10.0,전인숙,65653
"원이 홍역귀에게 처남이라고 불렀는데 잘못됬잖아요,홍역귀가 처남이라고 부르고 원은 매부나 매형 이렇게 불러야 맞죠...",2013-06-30,10.0,다원,65653
그 동안 재밌게 잘 봤습니다~,2013-06-29,10.0,ㅎㅈㄹ,65653
배우들이 다들 훌륭했던 드라마네요 좀 지루한감이 잇긴햇어요 ㅎㅎ 남자한가인?ㅋ동준이도 자기한테 잘맞는 캐릭을 잡아서 너무 보기좋았던거 같아요^^아역배우 어른배우 너무도 잘 조화가 되는 좋은 드라마 였습니다~,2013-06-28,8.0,푸른바다,65653
소백(윤진이)양  돋보이는 캐릭터에   좋은연기력~`~타고난 배우 기질인듯...천명이끝나아쉬어요 하지만  더좋은 작품으로  빨리 만날수 있길바랄께요.. 수고 했어용^^윤진이  파 이 륑....,2013-06-28,10.0,진red,65653
유빈양 수고 많았어요 명품 천명 잘 봤어요,2013-06-28,10.0,크로프트,65653
"스토리고 연기고 뭐고간에 인물들이 다비슷비슷해서 누가누군지 햇깔려..ㅡ,.ㅡ.케스팅을 어턱해 저러케 했는지......수염 붙여놓으니까 다 비슷해 ㅋㅋ 여자주인공은 더가관이야...조선시대에 외국인이 나오는것 같단말야 ㅋ...어턱해된게 조연들이 더재미나 ㅋㅋ",2013-05-30,3.0,킬러,65653
장금이는 있는데 난정이는 언제 나오냐?,2013-05-29,0.0,Joker,65653
볼때마다 완전 긴장감과 몰입도 쵝오다..이동욱 멋있다..천명 대박!,2013-05-27,10.0,바다,65653
뻔한 스토리? 하지만 가슴 졸이게 하는 연출력과 배우들의 좋은 연기로 충분히 커버 되고 있음.. 꼭 강추하고 싶은 드라마..,2013-05-27,10.0,pet angel,65653
동준 군 아주 멋졋습니다 앞으로도 저 제아 팬 입니다 언제나~,2013-06-28,10.0,동방신기shinee,65653
유빈이 땜에 그동안 행복했어요. 자주 티비에 나와랑...,2013-06-28,10.0,다원,65653
재미있게 봤어요. 특히 해피앤딩으로 끝나서 좋았구요,2013-06-27,10.0,lucky1,65653
"너무나도!감사합니다
그리움으로가슴속에간직하겠습니다
*^^*♥",2013-06-27,10.0,계명산천,65653
동준 군 아주 멋졋습니다 앞으로도 저 제아 팬 입니다 언제나~,2013-06-28,10.0,동방신기shinee,65653
유빈이 땜에 그동안 행복했어요. 자주 티비에 나와랑...,2013-06-28,10.0,다원,65653
재미있게 봤어요. 특히 해피앤딩으로 끝나서 좋았구요,2013-06-27,10.0,lucky1,65653
"너무나도!감사합니다
그리움으로가슴속에간직하겠습니다
*^^*♥",2013-06-27,10.0,계명산천,65653
구가의 서에 이사벨의 my eden이 있다면 천명에서는 두둥~하면서 여자 허밍처럼 나오는 음악이 천명의 분위기를 가장 잘 담아내는 OST인 것 같은데... 왜 OST목록에 없는거죠?  제목도 모르겠고...,2013-05-26,10.0,오호,65653
"내용은 괜찮은거 같은데,쓸데없이 퓨전을 섞어놓으니,극 긴장감이나 무게감이 확실히 떨어짐.안그래도,이동욱시 하나만으로도 살짝 외국인필이 나는데..그 동생과 몇몇 조연은 아주 대놓고 현대극인지 퓨전인지 헷갈릴지경",2013-05-25,7.0,샤론,65653
출연자 헤어스타일 진짜...앞머리에 파마에 염색에...깬다,2013-05-25,1.0,김씨더맥스,65653
연기좀;;,2013-05-25,7.0,평론가,65653
연출이 좋아요^^,2013-05-25,8.0,사릉,65653
"연출만 좋다, 나머진 ㅉㅉㅉㅉ",2013-05-25,4.0,빅토르,65653
수작임 화면 연출도 좋고 주제도 좋다 작품이라고 할 정도로 좋음 다음주가 기다려진다,2013-05-24,10.0,망토차차,65653
훌륭한 드라마다..시청률이 더 올랐으면...,2013-05-24,10.0,박선희,65653
우왕 ~^^ 회차마다 스릴만점 ~ 왠만한 영화보다 재밌네여 ~^^,2013-05-24,10.0,터프가이,65653
^^,2013-05-24,10.0,그린라임,65653
아이들때문에 티비 잘 안보는데 유일하게 이것만 딱 봅니다. 넘 잼있어용!! 시청률도 대박나세요~~,2013-05-24,10.0,Pax Mentis,65653
천명은 연기 대사 연출 모두 살아있네요. 근래에 보기 드믄 수작입니다.,2013-05-24,10.0,coth33,65653
"홍역귀, 소백 등등... 캐릭터들이 솨롸있네~ 기록상으로도 성군의 자질을 지녔으나 너무 일찍 세상을 떠난 인종은 벌써부터 안타깝기 그지없고.. 글고 랑이와 최원 캐릭터의 만남이나 감정씬도 너무 난발하는 경향이 있는 듯. 중요한 비중을 차지하는 만큼 아낄 땐 아껴줘야 할 듯...",2013-05-24,10.0,오호,65653
들마는 이렇게 만들어야 ㅠ.ㅠ,2013-05-24,10.0,맴그대잠,65653
연출;;,2013-05-24,10.0,사릉,65653
너무 좋아요 연출;;,2013-05-24,9.0,졸구,65653
굿,2013-06-27,10.0,관사마,65653
good,2013-06-27,10.0,하니하니요,65653
"너무과하지도  너무 부족하지도
않게 따뜻한  사극이네요
중전에 악행은
뭐  뻔한거였지만
잘봤습니다",2013-06-27,10.0,네잎event,65653
꼬마 대군마마님. 연기를 너무 잘하십니다..,2013-06-27,10.0,채경희,65653
마지막이라니...ㅠㅠㅠㅠ 제발 모두모두 행복해지길...,2013-06-27,10.0,pet angel,65653
갈수록  흥미진진 하네요...,2013-06-21,10.0,코리,65653
이 드라마를 보면서 항상 느낀건데 문정왕후 역할을 맡은 박지영씨 때문에 이 드라마가 사는것 같습니다. 박지영씨 연기력에 박수를 보냅니다~ 다들 열심히 하지만 그래도 박지영씨 캐스팅은 아주 훌륭했다고 봅니다 ~~,2013-06-21,10.0,빛,65653
문정왕후의 이호죽이기 프로젝트가 들통나자 이호에게 반연자 낙인으로 문정왕후는 딜을 제안한다 이런걸 보면 지금 여당 야당의 밀약이 생각나게 한다 드라마가 교훈을 주는경우도 있네,2013-06-21,10.0,Finz,65653
역대 사극 최고 퀄인거같네요 명드라인에 탐 ㅇㅇ,2013-06-21,10.0,도깨비,65653
한국도망자수준참대단하네요 슈퍼히어로 막장사극극본이렇게쓰지맙시다 웹툰 작가들좀본받으세요 쫌쫌 짜증대신스릴을달라고...,2013-06-21,0.0,김선경,65653
"오늘 경원대군 연기가 놀랐어요~+_+ 배우들의 열연에 비해 스토리가 아쉽습니다~ 20부작은 길고, 16부작이 적당했을 듯합니다;; 시청률이 점점 하락세이군요",2013-06-21,6.0,엊그제,65653
잼있게 잘보고 있음..좀 밋밋한 부분도 있지만....,2013-06-07,8.0,사계절,65653
역사적으로 인종이 1년정도 왕위에 오르고 문정왕후가 섭정을 하니 일단 이 드라마에서 둘다 살아남겠죠. 그런데 문정왕후 파워가 너무 강하게 그려지다보니 세자나 최원쪽은 계란으로 바위치는 느낌...그럼 도대체 천명은 어디로 갈까효...그러니 전개가 답답하고 시원하게 터지는게 하나도 없어요. 그래서 보는 내내답답.,2013-06-07,8.0,그린라임,65653
"뻔한 스토리에 20부작 맞출려고 너무 시간 끌기에 꾸준히 시청해온 본인도 짜증이 나기 시작했다, 너무 지루한감이 크다,, 짧고 굵게 했으면 좋겠다,,, 어제 14부에서 왜 갑자기 말도 안되는 사랑타령으로 긴 시간을 허비 하는지? 작가야, 당신같으면 누명쓰고 도망치는 입장에서 이성이 눈에 들어 오겠냐고??",2013-06-07,2.0,화이팅,65653
송지효씨 오열연기때문에 같이 울었습니다 지효씨 연기 너무 좋구요 도문이랑 캐미가 좋았는데 더 못보네요 장행수랑 도문 너무 아쉽습니다,2013-06-07,10.0,예승사랑,65653
"홍역귀,세자 볼수있는 수요일 빨리와라",2013-06-04,10.0,jiwon,65653
