comment,date,score,user,title
힘내세요~ ㅎ_ㅎ,2014-09-03,10.0,흐왕이,65653
김현중을 믿습니다. 언제나 응원해요,2014-08-31,10.0,eska,65653
"김현중, 힘든 시기 잘 이겨내구,남의 배려는 하지 말고 너를 위한 진실 밝혀 주길 바래 힘내!!!!사랑해!!!!!",2014-08-25,10.0,뉴 앨리스,65653
김현중 언제나 응원합니다.,2014-08-25,10.0,dreamboy,65653
현중아 잘 가~,2014-08-22,0.0,splitter,65653
김현중님은 빨리 차기작을 합니다! 보고싶쟈나~~,2014-07-25,10.0,미씽유,65653
진세연 때문에 봤지만 김정규 감독 정말 싫다 앞으로 김정규 연출드라마는 안봄,2014-07-15,5.0,tjdrhd,65653
갓정태 빨리 차기작 좀. 일단 앨범 대박 나시고.,2014-07-02,10.0,미씽유,65653
"김현중씨, 어서 차기작에서 봐요!!!!!!!!늘 겸손하고 성실한 김현중!!!!!! 더욱 흥해랏!!!!!!!",2014-07-01,10.0,뉴 앨리스,65653
모일화  사랑합니다,2014-06-25,10.0,안나,65653
감격. 갓정태 항상 응원합니다. 빨랑 차기작을 하십시오!,2014-06-07,10.0,미씽유,65653
"감격시대 처음 볼 때가 생각남. 이런 대작 드라마는 진짜 오랜만이라고 흥분했는데... 그때가 그립네요. 김현중의 신정태, 보고 싶다~~~",2014-06-06,10.0,참사랑,65653
"김현중을 보면서 배용준이, 임수향을 보면서 고소영이, 윤현민을 보면서 엄기준이 생각났지만 새로운액션연기와 내용에 재밌게 봤어요. 특히 언제 이렇게 발전했나 싶을 만큼 변한 김현중의 모습에 깜~짝 놀랬고, 모일화역도 정말 매력있는 역이었어요. 정말 모두들 너무 예쁘고 멋진 연기 고마웠습니다.",2014-06-02,9.0,자기를버리고오직예수,65653
"갓정태,현중님은 빨리 차기작을 하십시오~",2014-06-02,10.0,미씽유,65653
감격시대 신정태 보고 싶어요 엉엉,2014-06-02,10.0,해밀,65653
정태가 보고프면 감격 재방을 봅니다.,2014-06-01,10.0,미씽유,65653
모일화역의 송재림씨가 인상적이었던 드라마 다시봐도 좋네요,2014-05-29,9.0,가을동화,65653
와 대박이다 오늘 재방편성봐 엄청 많아 역시 감격시대는 짱재밌어 갓정태의 매력이 빛을 발하는 감격시대 정태현중 차기작에서 얼른 보고싶다,2014-05-24,10.0,rhakqek,65653
빨리 얼굴 좀 보자. 김현중!,2014-05-24,10.0,미씽유,65653
김현중의 신정태 보고 싶다,2014-05-24,10.0,aloha,65653
