comment,date,score,user,title
"은어커플 짱이었다  밑에 분노조절,  최장강유 같은 놈  참 찌질하게 산다",2014-07-25,10.0,zulg0214,65653
결혼은 sm 신사옥에서 하나요? 승기야 신혼여행은 1박 2일로 소녀시대 멤버와 다 함께 차차차.,2014-07-25,1.0,분노조절,65653
수사물로써는 아쉬운 드라마지만 배우들의 연기가 생각나는 드라마,2014-07-25,8.0,blueeye,65653
오늘도 윤아랑 데이트 할 대구대구 ~~~~~~~~승기의 여자^^ 이제 '승기는 윤아에게 포위됐다' ㅋㅋ,2014-07-24,1.0,최자강유,65653
벌써부터 대구대구가 그리워요...ㅠㅠ승기오빠 화이팅!,2014-07-24,10.0,이승기2013,65653
"초등학교연극만도못한드라마
너네들도알지?
고아라와  이승기가 드라마망친거.. .고아라는  응답에서 성동일이라는특출한 캐릭터덕에 반짝였는데 ..이건  영~~~에라이
이승기너는 빽과 돈빼면 내세울게머있니, .제발좀 역 겹게하지마라",2014-07-24,0.0,대지,65653
이승기;씨승기;씨;온전히;몰입되게;해;;참;대단하다;은대구,2014-07-24,10.0,김광옥,65653
은어커플 넘 이쁘고 사랑스럽다 보고싶다,2014-07-23,10.0,이태성,65653
이승기 은대구 온전히 몰입되게 해 참 대단하다,2014-07-23,10.0,한유아,65653
은대구의 눈빛 목소리 대박,2014-07-23,10.0,윤자,65653
너포위 화이팅 이승기 차지작 보고싶다,2014-07-23,10.0,최병관,65653
은대구 대구야 뭐하니 행복하니,2014-07-23,10.0,이병관,65653
은어커플은 사랑입니다,2014-07-23,10.0,백난희,65653
이승기 은대고로 온전히 기억되는 드라마 재미있었다,2014-07-23,10.0,백진희,65653
대구대구 멋진 대구 화이팅,2014-07-23,10.0,이진수,65653
아아아아 대구 보고잡다 너포위 데이 끝났구나,2014-07-23,10.0,최진희,65653
은대구 보고싶다,2014-07-23,10.0,처음처럼,65653
윤아랑 어디까지 갔니? 승기&최자~ 소속사가 인정한 사위 & 인정 못하는 사위 ㅋㅋㅋㅋㅋㅋㅋ,2014-07-22,0.0,최자강유,65653
이승기의 은대구로 기억되는 너포위,2014-07-22,10.0,이유희,65653
이승기 보고싶다,2014-07-22,10.0,조상희,65653
너포위~~~ 넘 재밌게 봤어요~~~ 수고하신 모든 배우들.. 스텝들 감사해요~~~ 은대구형사.. 승기리 화이팅~~~,2014-07-18,10.0,smilelhy,65653
이승기;씨;;연기잘해다너포위;배우들도잘해다,2014-07-18,10.0,김광옥,65653
너무너무 재미있었습니다 진짜 너무수고하셨습니다 ㅠㅠ이제 너포위도 끝나고......뭐보죠,2014-07-18,10.0,오데렐라,65653
너무 재밋게 잘봤습니다!훈훈한마무리 좋았어요 그리고 배우분들 너무수고하셨고 훌륭해요 앞으로도 기대할게요 파이팅,2014-07-17,10.0,방미야,65653
좃나 식상함...,2014-07-17,0.0,영원토록,65653
건달한테 끌러가서고아라 존댓말하며 잠시만요 잠시만요먼짓이냐ㅋ건달한테쫄았냐,2014-07-17,1.0,sss,65653
참.ㅎㅎㅎ,2014-07-17,5.0,프리다 수진,65653
오늘 마지막날~은대구 선물 주셔서 행복했네요 ~수고하셨어요~~,2014-07-17,10.0,스테파니아,65653
대구오빠 오늘이 마지막이라 생각하니 너무 슬퍼요 힘들었던 과거 다 잊고 앞으로는 수선언니와 행복하길.. 멋진 연기 잊지못할거에요,2014-07-17,10.0,채소은,65653
진심 믿고보는 울 승기오빠와 아라언니 이제 너포위와 작별을 할 시간이네요 ㅠㅠ 오늘 마지막회 본 . 방 . 사 . 수 ~!!,2014-07-17,10.0,강지원,65653
너포위 이승기팬들이 팬심으로 별점 많이 올려주기는 했는데 객관적으로 생각보다 재미없다 사실 첨에 큰기대하고 봤는데 볼수록 기대이하다 시청률이야 출연진들이 괜찮으니까 제법나오는것 같은데 평점은 7점이하다,2014-07-17,7.0,초콜릿,65653
믿고 보는 이승기의 너포위~~오늘로 은대구와 이별이네요,2014-07-17,10.0,방가방가,65653
막방 대구대구 화이팅!!!,2014-07-17,10.0,jjs,65653
은대구 마지막까지 화이팅..안재현도 화이팅!,2014-07-17,10.0,m코코아,65653
은어 커플이 되길 바라며 김사경&서판석 커플도 잘 됬으면 하네요! 그동안 열심히 너희들은 포위됬다 잘 보았고 고아라님! 앞으로 더 좋은 연기를 보여드리면 감사드리겟습니다! 너희들은 포위됬다 후속작도 열심히 보겠습니다! 고아라님~ 응사 때부터 정말 즐거운 연기를 보여주셔서 감사드립니다! 그리고 전 고아라님의 팬이랍니다!,2014-07-17,10.0,클로버,65653
은대구 진짜 불쌍ㅜㅜ 근데 이승기 연기 진짜 많이 들었당 짱 멋있음!!!!! 오늘마지막횐디ㅠ본방사수^^,2014-07-17,10.0,joon-joon,65653
울 대구대구 화이팅입니다...!!!마지막 퐈이팅~,2014-07-17,10.0,이승기2013,65653
생각만 같으면 10000점을 주고 싶은데 여기는 10점 밖에 없네요..ㅠㅠㅠ대구 ♥ 수선 이렇게 가게 해주세요~ 이제 너포위도 기억에 고스란히 남을꺼예요ㅜㅜ,2014-07-17,10.0,서현,65653
오늘이 마지막회네...그동안 모든 분들 고생 많이 하셨어요..덕분에 수..목요일 즐거웠습니다.오늘도 본방사수^^,2014-07-17,10.0,태왕,65653
이승기;승기;씨;보고싶다;은대구대구대구연기정말로잘해요;;은대구대구보고싶다,2014-08-24,10.0,김광옥,65653
은대구 멋졌어 @ㅡ@ 이승기의 열연으로 은대구는 오래도록 기억에 남을듯..,2014-08-23,10.0,오얏꽃,65653
대구대구은대구 보고 싶다~~~,2014-08-23,10.0,방가방가,65653
은대구 캐릭에 몰입한 이승기 연기 멋졌지....캐릭 설정에 따른 스토리 전개 부족이 넘 아쉬운 너포위....하지만 배우 이승기의 연기력은 또 한 계단 올라섰음을 입증했네...은대구 이승기 짱짱맨이돠,2014-08-23,10.0,아나까나,65653
고아라 안타깝다. 전지현과 오버랩이 되네. 딱 그 연기 밖에 할 줄 모름. 응사로 떴지만 그 역할 말고는 ㅉㅉ... 전지현 엽기그녀로 대박 치고 그 후에 비슷한 연기로 영화 찍어서 다 말아 먹고 말아 먹은 그 연기로 시간 오래 지난 후에 나와서 또 대박치고 한 마디로 연기는 하나인데 그걸 언제 써먹느냐의 차이일 뿐....,2014-08-20,5.0,빨래비누요정,65653
이승기;승기;씨;보고싶다;은대구대구대구연기정말로잘해요;;은대구대구보고싶다,2014-08-24,10.0,김광옥,65653
은대구 멋졌어 @ㅡ@ 이승기의 열연으로 은대구는 오래도록 기억에 남을듯..,2014-08-23,10.0,오얏꽃,65653
대구대구은대구 보고 싶다~~~,2014-08-23,10.0,방가방가,65653
은대구 캐릭에 몰입한 이승기 연기 멋졌지....캐릭 설정에 따른 스토리 전개 부족이 넘 아쉬운 너포위....하지만 배우 이승기의 연기력은 또 한 계단 올라섰음을 입증했네...은대구 이승기 짱짱맨이돠,2014-08-23,10.0,아나까나,65653
고아라 안타깝다. 전지현과 오버랩이 되네. 딱 그 연기 밖에 할 줄 모름. 응사로 떴지만 그 역할 말고는 ㅉㅉ... 전지현 엽기그녀로 대박 치고 그 후에 비슷한 연기로 영화 찍어서 다 말아 먹고 말아 먹은 그 연기로 시간 오래 지난 후에 나와서 또 대박치고 한 마디로 연기는 하나인데 그걸 언제 써먹느냐의 차이일 뿐....,2014-08-20,5.0,빨래비누요정,65653
대구행복하게~~~,2014-07-17,10.0,로즈마리,65653
"은대구 캐릭에 몰입한 이승기 연기 좋았는데,스토리가 널뛰기를 반복해서 시청률이 치고 올라가지 못한게 많이 아쉽지만.. 은대구 굿",2014-08-16,10.0,백작,65653
은대구대구;이승기;씨연기정말로좋아요;연기력;멋진;이승기;씨,2014-08-16,10.0,김광옥,65653
대구대구이승기;완전;연기최고니다,2014-08-07,10.0,김광옥,65653
대구대구덕에 행복했어요~~,2014-08-06,10.0,복만땅,65653
대구대구은대구 이승기 믿고 본 너포위였다,2014-08-06,10.0,방가방가,65653
은대구 이승기 연기 굿,2014-08-06,10.0,테리우스,65653
무결점..연기력!!!!!멋진 은대구 최고!!!!!~~~~~,2014-08-05,10.0,해바라기,65653
"은대구 이승기 완전 짱짱맨~연기, 미모 최고~~",2014-08-05,10.0,사랑,65653
