comment,date,score,user,title
ㅅㅅ,2014-06-06,10.0,차우,65653
결론을 보기전에 실망..죽었다 살았다가 하기가 손바닥 뒤집기?...연결되기 어려운(어처구니없는) 시니리오?...중간 경과가 없는 이야기?...초등학생들이 볼만한 줄거리?...,2014-06-06,1.0,한우리,65653
갈수록 가관이다 이시영이아깝네,2014-06-06,1.0,마인,65653
"내겐 너무 완벽한 드라마,  김강우의 매력에 흠뻑 빠졌다!",2014-06-06,10.0,윤은영,65653
정보석님 연기 너무 소름 돋아요. 혐오스럽기도 하고 어의 없어서 좀 귀엽기도 하고ㅋㅋㅋㅋ,2014-06-05,9.0,계란과자,65653
예상치 못한 변화가 넘 심한듯...어떻게 하루만에 현실성이 떨어져도 정도가 심한 스토리로 변할 수 있는건지... 15회까지만 보고 말것을... 후회 중... 연기력들은 발군의 실력파들인데...,2014-06-05,3.0,영어교재,65653
진짜 흥미진진,2014-06-05,10.0,뭉치,65653
한류다 뭐다  요란한 작품들에 비해 오히려 스토리나 배우들 연기로는 수작임은 분명함...각시탈 쓴 작가분인듯한데 뚜렷한 작가의식 갖춘 분으로 보이네요.,2014-06-05,10.0,arte,65653
여주인공은 사고당하고 남주인공은 암매장 갈수록 흥미진진 약자이기만 한 주인공들이 어떻게 복수를 이루어낼지 기대가 됩니다.   재미있게 잘 보고 있습니다.   배우분들 열연 짱입니다. 화이팅!!!,2014-06-05,10.0,창문,65653
"웰메이드 드라마, 왜 이렇게 시청률이 낮은지 이해가 안됨. 처음에 1-2회는 좀 마음에 안 들었지만, 배우들의 호연이 마음을 울림. 특히 김강우의 연기는 진짜 상을 주어야 함. 온 몸을 불사르고 온 마음을 다 바친 연기. 진실된 연기가 가슴에 와 닿음.",2014-06-05,10.0,노래,65653
홍사라가 심어놓은 마이클장 수하들중 하나가 일부러 총상입힌듯...어떻게해서든 살려야한다고 했으니...그나저나..이래는 대체 어느정도 상황인걸까...오늘 기다려집니다...예고도 안올려주셔가지공...기대합니다..어떻게 도윤이 살아날지...그후 어떤 반격을 할지....,2014-06-05,10.0,yesterday,65653
뒤로 갈수록 잼있는거같닷ㅋ 기달려지네,2014-06-05,10.0,매력자다린e_,65653
너무너무 재밌는드라마! 한시도 긴장을 늦출 수 없는 드라마 쵝오~~~~^.*,2014-06-05,10.0,삼우,65653
