comment,date,score,user,title
이야기가 산으로 간다는 분들 이해못하겠음..의미있는 작품인듯 합니다..유종의 미를 거두시길~,2014-08-29,10.0,ciel,65653
죄송합니다. 잼이 없습니다.,2014-08-29,1.0,딸랑엄마,65653
열혈애청하고있지만 얘기가 산으로 가는거같고 갑신정변으로 스케일을키웠다라지만 어째~ 큰재미로는 와닿지가 않네요~역사적 갑신정변이실패해서 더욱 그러한가 -.- 여튼 본방사수~~,2014-08-29,9.0,초대,65653
정말 스토리가 갈수록 산으로 가는구나 ㅡ. ㅡ,2014-08-29,2.0,뿌빠뽀빠,65653
퓨전사극은 정말 다 싫다.,2014-08-29,0.0,참소주,65653
모두가 꿈꾸는 세상..그런 세상은 지금 이 시대에도 없는거구나...,2014-08-29,10.0,포병,65653
다음주면끝!~!~!~끝마무리잘하시고!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!이준기씨빨리다음드라마출연해주세요이준기씨!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!제발!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!,2014-08-29,10.0,나근영,65653
오늘 너무 가슴 아팠습니다ㅜ 제발 윤수커플 잘되기를,2014-08-28,10.0,신지,65653
와.. 진짜 오랜만에 드라마에 푹빠지게 한작품이네요~ 배우들의 명품연기도 최고! 마지막까지 조선총잡이 파이팅입니다!!,2014-08-28,10.0,그린비,65653
"윤수 커플 실제로도 너무 잘 어울려요~방송 끝나고도 오누이, 연인처럼 오래도록 친하게 지냈으면 좋겠어요~~ 드라마 끝나고 땡~~~사라지지말기를!!",2014-08-28,10.0,joy,65653
윤수커플 눈물은 오늘까지... 다음주엔 화끈하게 달달하게 유종의 미를 거둡시다,2014-08-28,10.0,eldass,65653
넘 좋아요 대박,2014-08-28,10.0,ssss,65653
작가의 힘이 부족한 드라마지만 이준기남상미가 빛나는드라마 조선총잡이.,2014-08-28,10.0,라임,65653
마지막이 다가온다니 슬프네요,2014-08-28,10.0,동실,65653
당연히 오늘도 본방사수입니다.다음주면 막방이네요. 조선의 연인이 행복한 모습 보고 싶네요..,2014-08-28,10.0,조선총잡이,65653
전에 살인의추억 보며 참잘만들었다 했는데 역사적 사실을 상상력으로 카바하는기법 이작가는 죽었다 깨나도 힘들껄,2014-08-28,0.0,jan,65653
마지막까지 fighting!!!,2014-09-03,10.0,LINY,65653
헐오늘하고내일하면끝나네^^오늘이랑내일운널사볼거야,2014-09-03,10.0,씨엔블루  이혁  이승기,65653
"이준기, 남상미...두 분덕에 너무 즐거웠던 수,목이었습니다.감사했어요!",2014-09-03,10.0,히미츠와필교,65653
막방 앤딩이 너무 기대!유오성 이준기 남상미!!!그대들의 이름은 명품!!!,2014-09-02,10.0,joy,65653
마지막까지 fighting!!!,2014-09-03,10.0,LINY,65653
헐오늘하고내일하면끝나네^^오늘이랑내일운널사볼거야,2014-09-03,10.0,씨엔블루  이혁  이승기,65653
"이준기, 남상미...두 분덕에 너무 즐거웠던 수,목이었습니다.감사했어요!",2014-09-03,10.0,히미츠와필교,65653
막방 앤딩이 너무 기대!유오성 이준기 남상미!!!그대들의 이름은 명품!!!,2014-09-02,10.0,joy,65653
조선총잡이 이번주 막방까지 본방사수!!,2014-09-02,10.0,모양세,65653
"시대적 배경이... 해피엔딩이 절대 나올수 없는 상황인것 같다... 우리나라 근현대사는 너무 슬프다....이래서 시대물은 가슴이 아파 안보는데... 서울1945때도, 여명의 눈동자때도 가슴이 먹먹해서 한동안 슬펐는데.... 흑.....배우들이 연기와 화면에 빠져 보기 시작했는데...  이제 슬퍼할 일만 남았구나..",2014-08-28,10.0,줌마렐라,65653
조총 막방까지 화이팅입니다!!,2014-08-28,10.0,아궁궁,65653
오늘도 조선총잡이 홧팅!!,2014-08-28,10.0,모양세,65653
"윤강이와 수인이의 애절한 사랑,,,,눈물난다....ㅜㅜ",2014-08-28,10.0,카라,65653
조선총잡이 이번주 막방까지 본방사수!!,2014-09-02,10.0,모양세,65653
이준기 짱!!,2014-09-02,10.0,HGRJH,65653
조선총잡이 명품 연기자들! 명품드라마 확실합니다!!! 중반 어색한 대사로 불편했으나..!!,2014-09-01,10.0,joy,65653
마지막까지 명품드라마 탄생 기원!,2014-09-01,10.0,모양세,65653
"그동안 매주 수목일마다 달픈커플 만나는 낙으로 살았는데... 아우 넘 아쉽다... 막방까지 회이팅하자.. 남상미 이준기 외 모든 연기자, 스텝분들 넘 고맙고 감사해요..",2014-09-01,10.0,눈꽃,65653
마지막까지 힘내서 화이팅,2014-09-01,10.0,zfksfk,65653
마지막까지 화이링~^^,2014-09-01,10.0,ciel,65653
막방 본방사수..으~리! 막방후... 후유증을 어찔 할꼬~,2014-09-01,10.0,조선총잡이,65653
"이번주 마지막 2회만 남기고 있네, 헐~ 조선총잡이 대박, 이준기 너는 러브!",2014-09-01,10.0,수기얌,65653
조선총잡이 fighting,2014-08-31,10.0,푸치니,65653
한조윤강만월의흑포수이준기 너는 러브!!!!!!,2014-08-31,10.0,노팅,65653
이번주면 마지막이네ㅠㅠ..끝까지 파이팅ㅎㅎ,2014-08-31,10.0,joy,65653
윤수커플 대박~!,2014-08-31,10.0,penny,65653
한조 너는 러브,2014-08-31,10.0,레이마르,65653
이준기 짱!!,2014-09-02,10.0,HGRJH,65653
조선총잡이 명품 연기자들! 명품드라마 확실합니다!!! 중반 어색한 대사로 불편했으나..!!,2014-09-01,10.0,joy,65653
마지막까지 명품드라마 탄생 기원!,2014-09-01,10.0,모양세,65653
