comment,date,score,user,title
다시 재탕하고 있어요 진짜 내생애최고의드라마!!명드!!주조연 누구하나 버릴게 없는 드라마연출도 좋고 스토리도 연기도 오에스티도 진짜 최고,2014-08-06,10.0,조가영,65653
이종석 다시보고싶다 ㅠ,2014-07-29,10.0,동글,65653
닥터이방인이 끝나고도 막 생각나요,2014-07-15,10.0,super독수리staff,65653
드라마는 명품 박수하는 사랑,2014-07-12,10.0,이힛,65653
스토리 연출 연기 음악까지 싹 다 마음에 드는 짱짱 드라마ㅠㅠ,2014-06-26,10.0,ㅃㄹㄹ,65653
볼때마다 오글거리고 부자연스럽단 느낌을 지울수가 없었음,2014-06-21,4.0,다크베이지,65653
이쁜 여배우가 독심술 초능력을 갖고있는 이야기도 제작을 부탁 합니다 ㅋㅋㅋ,2014-06-17,5.0,핸썸,65653
오늘도 재방 보고있습니다.4번째인가 . 볼때마다.새롭네요...,2014-06-16,10.0,나그네,65653
웰메이드 드라마.. 봐도 봐도 감동적인.. 수하 짱~~^^,2014-06-03,10.0,서경숙,65653
이종석 오빠 땜시 보는데..내용의 다외울정도로 많이 보게되네요.넘 재밌구요.이종석오빠 다음 드라마 기대할께요..,2014-06-01,10.0,하얀송이,65653
여름되니까 너목들 다시 생각나네요ㅠㅠ,2014-05-29,10.0,권유진,65653
너무 잘봤어요. 제컴에 소장 해놓고 자주 봅니다. 재벌랑 불륜 얘기 아니라서 넘 좋아요,2014-05-27,10.0,racheal son,65653
글쎄......,2014-05-26,0.0,세런,65653
아직도 잊지 못하고 설레이게 하는 드라마는 처음 ..  씬들이 너무 예뻣다는 .. 노력이 보이는...,2014-05-23,10.0,김인숙,65653
볼까말까? 1%더 옳은 선택을 하세요!!! 인생을 바꿔줄 드라마,2014-05-23,10.0,Inyoureyes,65653
내 인생 최고의 여름드라마. 웰메이드란 이런 것!!!,2014-05-23,10.0,지칸다,65653
진짜 재밌는 최고의 드라마,2014-05-23,10.0,sat,65653
"여름이 되니 다시 생각나네요
진짜 최고였습니다",2014-05-23,10.0,장미연가,65653
굿,2014-05-21,7.0,이은주,65653
잼있음,2014-05-19,9.0,매력자다린e_,65653
다시 재탕하고 있어요 진짜 내생애최고의드라마!!명드!!주조연 누구하나 버릴게 없는 드라마연출도 좋고 스토리도 연기도 오에스티도 진짜 최고,2014-08-06,10.0,조가영,65653
이종석 다시보고싶다 ㅠ,2014-07-29,10.0,동글,65653
닥터이방인이 끝나고도 막 생각나요,2014-07-15,10.0,super독수리staff,65653
드라마는 명품 박수하는 사랑,2014-07-12,10.0,이힛,65653
스토리 연출 연기 음악까지 싹 다 마음에 드는 짱짱 드라마ㅠㅠ,2014-06-26,10.0,ㅃㄹㄹ,65653
볼때마다 오글거리고 부자연스럽단 느낌을 지울수가 없었음,2014-06-21,4.0,다크베이지,65653
이쁜 여배우가 독심술 초능력을 갖고있는 이야기도 제작을 부탁 합니다 ㅋㅋㅋ,2014-06-17,5.0,핸썸,65653
오늘도 재방 보고있습니다.4번째인가 . 볼때마다.새롭네요...,2014-06-16,10.0,나그네,65653
웰메이드 드라마.. 봐도 봐도 감동적인.. 수하 짱~~^^,2014-06-03,10.0,서경숙,65653
이종석 오빠 땜시 보는데..내용의 다외울정도로 많이 보게되네요.넘 재밌구요.이종석오빠 다음 드라마 기대할께요..,2014-06-01,10.0,하얀송이,65653
여름되니까 너목들 다시 생각나네요ㅠㅠ,2014-05-29,10.0,권유진,65653
너무 잘봤어요. 제컴에 소장 해놓고 자주 봅니다. 재벌랑 불륜 얘기 아니라서 넘 좋아요,2014-05-27,10.0,racheal son,65653
글쎄......,2014-05-26,0.0,세런,65653
아직도 잊지 못하고 설레이게 하는 드라마는 처음 ..  씬들이 너무 예뻣다는 .. 노력이 보이는...,2014-05-23,10.0,김인숙,65653
볼까말까? 1%더 옳은 선택을 하세요!!! 인생을 바꿔줄 드라마,2014-05-23,10.0,Inyoureyes,65653
내 인생 최고의 여름드라마. 웰메이드란 이런 것!!!,2014-05-23,10.0,지칸다,65653
진짜 재밌는 최고의 드라마,2014-05-23,10.0,sat,65653
"여름이 되니 다시 생각나네요
진짜 최고였습니다",2014-05-23,10.0,장미연가,65653
굿,2014-05-21,7.0,이은주,65653
잼있음,2014-05-19,9.0,매력자다린e_,65653
아직 너모들... 수하 너무 보고싶어요 ~ 대학생활 잘 하고 있는지 ...,2013-09-13,10.0,김민,65653
"음... 정말 법정드라마 중에서 최고였던 듯... 사실적이게 느껴졌을 뿐만아니라, 극의 전개.연기력 어디 하나 빠지지 않는듯... 이보영과 이종석 정말 남매같고, 촬영 끝나고도 서로 챙기는 모습 정말 보기 좋다..ㅎㅎ",2013-09-10,9.0,가을타는소녀ㅎ,65653
딱 내가 생각하는 만큼 9.3~...음 이정도면 거의 완벽한 드라마인거 같다고 느꼈어요. 몇년에 한번 이정도 드라마이상은 나오기 어려울만큼 괜찮은 드라마...로맨스도 있고 치열한 이야기도 재밌고 ...거기에 특이 능력까지 살짝 덫붙였어도 그렇게 거부감없이 몰입하게 되는 드라마,2013-09-10,9.0,이야기,65653
아직도 너목들 생각에 딴 드라마 못본다.. 잼없어서.. 아직도 다시보기 중.,2013-09-09,10.0,대타,65653
"누가 뭐래도,내겐 2013년 최고의 들마였던 너목들이고,최고의 커플 수성커플..나는 아직도 수하를 만났던 6월과 7월이 생생하다!!너목들,수성커플 포에버~~수하야 누나가 낼모레 조조로 관상보러간다!!",2013-09-09,10.0,샤론,65653
아직도 이종석의 여운이 .....^ ^,2013-09-08,10.0,Tammy Chong,65653
