comment,date,score,user,title
"뒤늦게 재방 보고 뒤북 치면서 본 드라마~완전 재밉어서 50시간만에 20부작 마스터~~그냥... 그시절 내 모습도 견주어 보고 넘 재밉었다는ㅋ18세에 너무 독한 사랑에 빠진 주인공들이 다소 믿기는 어려운 설정이지만ㅋ그래도 요즘은 사랑도, 명예도, 뭐든 빠른 시대이니... 넘 재밉게 보고 다 보고 또 보는 중ㅋ",2014-08-31,9.0,새벽별,65653
제2의 꽃남ㅋㅋㅋ이 작간 특유의 유치함이 있어도 빨려들게 만드는 매력이 있던 작가였는데 이건 아주 도를 넘어선 망작수준. 이런 류의 드라만 다소 간질간질하면서도 공감하고 이해하고 그러면서 대리만족으로 인한 몰입. 이런 맛인건데 첨부터 끝까지 오글거리기만 하고 도대체 뭐하자는건지ㅋㅋ 딱 인터넷소설수준,2014-08-30,0.0,자이언트박,65653
계속보고싶음  무한반복,2014-08-26,10.0,lucky,65653
비가 내리니까... 최영도가 그립네요..첫사랑의 열병을 앓듯이 그사람만 보면 너무 좋은데 너무 설레서 바라보는것만으로도 행복했던 영도... 또 보고 싶네요..,2014-08-21,10.0,아메리카노,65653
또보고싶다~~♡,2014-08-13,10.0,judylove,65653
"아, 이민호. 키스 뭔지.......마지막화 완전 허무",2014-08-11,5.0,랭이,65653
끝난 지.. 8개월?이 되갔는데도 ..이민호팬으로써 가끔 보게됩니다.그게오늘이였어요..하루의 반을 상속자들 보려고..시간투자했네요..정말 최고의 드라마..뭐라고해야하지?..민호오빠.신혜언니 케미 잘맞구요..무엇보다 김은숙작가님의 위력..작가파워죠^^ 이드라마본후로 드라마 보는눈만높아져. 다른드라마들은 눈에 들,2014-08-11,10.0,닉넴없음,65653
말이필요없음 꿀잼!!! 주연 조연 연기가 그 누구하나 빼놓지않고 다 좋았음 그래도 신혜양 연기가 드라마를 더 살림 손에꼽는 well made drama~,2014-08-07,10.0,개똥이는 내꼬봉,65653
최진혁 출연작이래서 최근에야 봤는데 생각외로 재밌네? 그래서 작가 이름을 확인하니 김은숙 작가. 김은숙 작가님 정말 글 잘쓰시는 듯. '시티홀'로 작가님 팬 됐었음. 그리고 여주보다 훨씬 예쁜(?) 이민호와 멋진 김우빈.,2014-08-06,10.0,Jean,65653
넘재미있어요... 탄이말투 넘넘 좋네요..,2014-08-04,10.0,성공맘-산남-37,65653
요즘 상속자 다시 보고있는데 너무 재미있다.이민호와 김우빈 박신혜 세사람의 호흡이 너무 잘맞고 이민호...넘 멋지다. 상속자들 시즌2나왔으면 좋겟다.형의 마지막도 너무 서글프고...,2014-07-31,10.0,쩡마니,65653
김우빈 ...그 캐릭터와 연기가 과히 이 드라마의 압권이다. 멋지다.,2014-07-16,10.0,예아,65653
상속자들의 센스있는 멘트는 두번봐도 재미지네요 ㅎ,2014-07-16,10.0,친구에서연인으로,65653
종영한지 7개월이 지났는데... 아직도 탄이가 잊혀지지 않네요!!,2014-07-14,10.0,정익개발,65653
보고 또 봐도 재밌어!!!,2014-07-02,10.0,정익개발,65653
이것보다 오글거리기도 힘들듯,2014-06-21,1.0,다크베이지,65653
"뒤늦게 재방 보고 뒤북 치면서 본 드라마~완전 재밉어서 50시간만에 20부작 마스터~~그냥... 그시절 내 모습도 견주어 보고 넘 재밉었다는ㅋ18세에 너무 독한 사랑에 빠진 주인공들이 다소 믿기는 어려운 설정이지만ㅋ그래도 요즘은 사랑도, 명예도, 뭐든 빠른 시대이니... 넘 재밉게 보고 다 보고 또 보는 중ㅋ",2014-08-31,9.0,새벽별,65653
제2의 꽃남ㅋㅋㅋ이 작간 특유의 유치함이 있어도 빨려들게 만드는 매력이 있던 작가였는데 이건 아주 도를 넘어선 망작수준. 이런 류의 드라만 다소 간질간질하면서도 공감하고 이해하고 그러면서 대리만족으로 인한 몰입. 이런 맛인건데 첨부터 끝까지 오글거리기만 하고 도대체 뭐하자는건지ㅋㅋ 딱 인터넷소설수준,2014-08-30,0.0,자이언트박,65653
좋네요,2014-06-18,9.0,작은악마,65653
제목보고 시작해서 ...뭔가 있겠지 하고 계속보다... 결국 이게 뭐야.....지금까지 내가 본 드라마중에서 제일 어이없고 이해안간다. 그 나이에 무슨 사랑타령은...전하고자 하는 바가 도대체 뭐냐?남는게 하나 없다. 물론 재미도 없었다.시청률 완전 허당이다.,2014-06-14,0.0,하영,65653
이민호 나오는 드라마 보고 싶다.  상속자들 이후 볼게 없어 심심해,2014-06-07,9.0,무조건동감,65653
너무나 처량한 사람들의 좀비 행진같은 스토리를 잘표현한 드라마,2014-06-06,8.0,grace,65653
계속보고싶음  무한반복,2014-08-26,10.0,lucky,65653
비가 내리니까... 최영도가 그립네요..첫사랑의 열병을 앓듯이 그사람만 보면 너무 좋은데 너무 설레서 바라보는것만으로도 행복했던 영도... 또 보고 싶네요..,2014-08-21,10.0,아메리카노,65653
또보고싶다~~♡,2014-08-13,10.0,judylove,65653
