comment,date,score,user,title
드라마의 흐름을 방해한 PPL 광고. 자동차나 제품은 깨끗히 쓰고 돌려 주기로 했나...어느상황에서나 반짝 거리며 ... 그건 고사하고 수많은 총격씬 중에도 자동차엔 총알 하나 안박혔다 최종씬...넘 티났다 예산이 적었나???,2013-04-19,1.0,SUN Shin,65653
"장혁 땜에 보고 싶었으나,이다해땜에 안봤는데...벌써 끝났구나...",2013-04-19,5.0,한걸음,65653
"노출에, 총가지고 노는것도 아니고.... 7공보다 시청률이 왜 더 높은지 모르겠음ㅋ",2013-04-19,0.0,7공홀릭,65653
아이리스2가 연기하는처럼 진짜총으로 쏘는것이 사람들은 어떻해 생각할가요?,2013-04-19,10.0,정규1234,65653
대박,2013-04-19,10.0,1문주영1,65653
이범수가연기제일잘하네요별로재미도없고1편이훨씬났네요.조금실망이에요연기못하는아이돌데리고하다니정말아이돌빨아닌가요.,2013-04-19,1.0,스티치,65653
넘 재밌음~,2013-04-19,10.0,잭과 콩나무,65653
우선 연기력없는 아이돌이 나온것부터가 싸구려된거임. 실력파 배우들이 아무리 잘해두 다 묻혀버림 제발 3탄 나올때 아이돌없이 실력잇는 연기자만 나오길 절실하게 바램,2013-04-19,4.0,신생남,65653
너무 잼잇잇어요.,2013-04-19,10.0,오지은,65653
처음부터 마지막까지 열심히 시청했습니다.. 처음 1~2회는 영화관에서 보는것 같아서요.. 사운드가 죽이더라고요.. 나름 열심히 하셨는데 아쉬움점도 있고.. 그래도 작품성이나.. 연기자들의 노력이 보입니다.. 단점은 아이리스3에서는 너무 한쪽으로 치우치는것은 막았으면합니다.. 다들 행복하세요.. 이다해 장혁 화이팅.,2013-04-19,9.0,예담아빠,65653
윤두준땜에 10점,2013-04-19,10.0,B2UTY_반류하,65653
너무 잼잇엇어요 아이리스3 나올수잇도록 꼭 부탁드립니다,2013-04-19,10.0,김포,65653
"삼성,기아, 후원 작품잘봤습니다 ( 매일1시간씩 광고만 보는느낌 ~ 이게 드라마인가요?  1시간짜리 제품광고 질이지)",2013-04-19,0.0,자동차로고,65653
다르거보는데...,2013-04-19,1.0,민트초코뿅,65653
애들 데려다 무작위로. 찍지말라,2013-04-19,3.0,갱찰청장,65653
케스팅 자채부터가 식상하다.한마디로 막장이다.라고 생각이 드네요....시간이 아까워부러,2013-04-19,1.0,쉬리,65653
"장혁이 헬기탈때 설마설마했습니다만....다크나이트 라이즈더군요. 작가나 PD나...표절, PPL하려고 드라마찍은건 아닐거고...여하튼 별점없습니다.",2013-04-19,1.0,빈빈스,65653
