comment,date,score,user,title
게쩔으 오도일이관지!!! 겨드랑이냄새!!!ㅋㅋ,2014-01-25,10.0,윤시윤,65653
오도일이관지!!!  으윽~! 그래도 재미있다^_^,2014-01-13,10.0,이동인,65653
굿굿굿~,2014-01-11,9.0,너후나,65653
재미있어요,2014-01-06,10.0,jack,65653
오도일이관지~!!!!! 너무 재밌어요!!,2014-01-04,10.0,썬나,65653
또 봐도 잼있어요~~,2013-11-21,10.0,전진숙,65653
반막장드라마라고 평하고 싶네요. 한계가 없는 도술은 신하고 다를바 없고 정도껏해야지 만능이네요. 선한척하는 왕은 의심과 질투에 신하한테 휘둘리면서 믿는 사람을 내치기나하고 막장설정에 전우치의 깨알개그 빼고는 볼것이 없습니다. 유이는 연기력이 너무 떨어지네요. 무협지는 무술만 능하지 이건 뭐.. 비추천드라,2013-11-05,2.0,산지기,65653
"유이언니좋아요,냐냐냐....",2013-07-15,10.0,정세영,65653
오도일이곤지,2013-06-21,10.0,웨펀마스터,65653
굿~,2013-06-03,10.0,최현기,65653
재밌었어,2013-05-31,10.0,최현기,65653
게쩔으 오도일이관지!!! 겨드랑이냄새!!!ㅋㅋ,2014-01-25,10.0,윤시윤,65653
오도일이관지!!!  으윽~! 그래도 재미있다^_^,2014-01-13,10.0,이동인,65653
"전!!!!넘넘 잼있어요!!~~><다시보고싶어요...전우치2가나왔으면,...",2013-05-26,10.0,빛의-쇼녀은정씌,65653
허접하다..,2013-05-22,1.0,고독한호야,65653
진~~~짜 잘봤어요!! 끝나고도 몇번이나 다시보기로 봤는지...>< 완전 좋아요!! 차태현 홧팅♡,2013-05-18,10.0,오도일이관지,65653
"시작페이지로 다음앱 설치 전원생활의 꿈이루는 소형주택 신혼부부여, 재테크보다재무설계부터 젊은 세대들 집 안 사는 ‘만가지’ 이유 있다 남편 혼자 열심히 버는데, 생활이 빠듯합니다.. 투자 위험을 줄이는 안전한 부동산 투자법 새단장한 연금저축에 주목해야 하는 이유는? ""한번 내리면 다신",2013-05-17,10.0,땡교,65653
재미있게봤습니다...,2013-04-30,10.0,을지공,65653
전우치 보다가 끝날때 아쉬워서 제가 우울증에 걸렸어요ㅜㅜ 전우치 2나오게 해주세요ㅜㅜ 제가 전우치로 차태현팬이 되어서 엄청 좋아햇는데 아쉬워요ㅜㅜ 이번엔 율도국을 바탕으로 촬영 해서 전우치2 나왓으면 좋겠습니다! 전우치 차태현 홧팅!,2013-04-27,10.0,김다빈,65653
내용이 완전 실감나네여,2013-04-23,10.0,초코우유,65653
정말  재미있어요!!,2013-04-15,10.0,딸기콩주,65653
ㅋㅋ,2013-04-09,10.0,초코우유,65653
굿굿굿~,2014-01-11,9.0,너후나,65653
재미있어요,2014-01-06,10.0,jack,65653
오도일이관지~!!!!! 너무 재밌어요!!,2014-01-04,10.0,썬나,65653
또 봐도 잼있어요~~,2013-11-21,10.0,전진숙,65653
반막장드라마라고 평하고 싶네요. 한계가 없는 도술은 신하고 다를바 없고 정도껏해야지 만능이네요. 선한척하는 왕은 의심과 질투에 신하한테 휘둘리면서 믿는 사람을 내치기나하고 막장설정에 전우치의 깨알개그 빼고는 볼것이 없습니다. 유이는 연기력이 너무 떨어지네요. 무협지는 무술만 능하지 이건 뭐.. 비추천드라,2013-11-05,2.0,산지기,65653
"유이언니좋아요,냐냐냐....",2013-07-15,10.0,정세영,65653
오도일이곤지,2013-06-21,10.0,웨펀마스터,65653
굿~,2013-06-03,10.0,최현기,65653
재밌었어,2013-05-31,10.0,최현기,65653
"전!!!!넘넘 잼있어요!!~~><다시보고싶어요...전우치2가나왔으면,...",2013-05-26,10.0,빛의-쇼녀은정씌,65653
