comment,date,score,user,title
"주군의 태양~!!! 그립습니다~!!!수,목 밤이면 맨날 기다렸는데.......근데 마미가 늦었다고 재방으로 보라고 해서 학교 같다오면 맨날 주군의 태양 보기 바빴는데.... 이제 그럴 수가 없내요....재방으로 봐서 시청률 못 올려 드린게 매일매일 죄송하고 아쉽습니다 ㅠㅠ...그래서 이 글을 올리고 있고요...",2013-10-26,10.0,주군의 태양,65653
그래서더색다른소지섭&공효진커플새드라마가만들어져야한다니까!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!좀만빨리!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!정말진짜너무소지섭&공효진커플그리워서새상이싫다!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!,2013-10-26,10.0,나근영,65653
"주군의 태양이 꺼진지 22일. 소블리, 공간지.. 너무 그리워ㅠㅠㅠㅠㅠㅠㅠ",2013-10-25,10.0,부메랑-그거슨진리,65653
소지섭씨공효진씨좀만빨리드라마에서파트너로놔와주세요!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!제발!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!,2013-10-25,10.0,나근영,65653
이건 그나마 현실을 반영한 드라마 추천하고 간다,2013-10-25,10.0,썸데이,65653
공효진이 유혹하는겨 방금 다시 봄~~~~완전.. 소지섭 유혹에 넘어갈 듯ㅋㅋ역시 소간지!!!!!!!!!!!!!!!!!!!!,2013-10-24,10.0,백가영,65653
ㅠㅠ다시봐도 멋지네요~,2013-10-24,10.0,냥냥,65653
"드라마 잘 안보는데,,, 공효진님 나오는 드라마는 꼭 봅니다. 이번에 소지섭님도 좋아졌네요. 소공커플 한 화면에서 또 보고싶습니다. 케미짱!!!!! 재회하시길 바라며,,,",2013-10-24,10.0,강혜영,65653
난!~시즌2는싫어!!!!!!!!!!다른드라마에서소지섭&공효진파트너로놔오는걸빨리보고싶다!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!슬프다ㅜㅜ...시간이너무안가주니까!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!제발좀!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!,2013-10-24,10.0,나근영,65653
정말루 잊혀지지 않는 Drama~종방연 현장을 보는데 슬프더라구요 ㅠ시즌2 주인공 그대로!~~~ 해여 ㅎ시즌1 그후 이야기로~♥정말 강추하는드라마! 추천입니닷~,2013-10-23,10.0,주군의태양 세희,65653
주군의 태양 시즌2 나오면 완전 괜춘~!미래의 선택을 맞먹는 드라마가 될것 같아여(*^^*),2013-10-23,10.0,해야해야,65653
소지섭씨&공효진씨두분이파트너로놔오는드라마좀만빨리놔와주세요!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!내스스로는이드라마에서빠져놔올수가없내요ㅜㅜ...,2013-10-23,10.0,나근영,65653
