comment,date,score,user,title
오늘 애잔하네!,2013-09-04,9.0,fruupp,65653
내일마지막회본방사수해야겠다!내일주군의태양이랑칼과꽃두드라마보는거야,2013-09-04,10.0,cnbule,65653
치아라,2013-09-03,1.0,라라라,65653
"막판에 스토리는 좋았지만, 엉성한 칼싸움은 그저 칼싸움이라고 밖에는...추노보고 좀 배우세요.쓸데없는데서 필름낭비하지 말고 추노처럼 멋진장면에서 좀 .....최악의 드라마....",2013-09-03,7.0,yomojomo,65653
주인공만 좋안으면 제2의 공남이 되을것 같은 느낌.,2013-09-02,5.0,zero9one,65653
넘 재미있어요 엄태웅 멋있어요,2013-09-01,10.0,구복,65653
그동안 볼수없었던 스타일의 사극이구만.. 깊이가 있어.. 감성적으로도 뛰어난 드라마임.. 진짜 김옥빈 발전했다.. 수년안에 김옥빈 연기력 인정받을날이 올거다.. 될성부른 나무는 떡잎부터 알아보거든..,2013-08-31,10.0,아로이로,65653
드라마 차분하고 괜찮네. 각색도 잘된거같고 정말 수작인데.. 시청률좀 올랐으면.,2013-08-31,10.0,뿌리깊은나무,65653
명작을 못 알아보는 삼류들이 많구나.,2013-08-30,10.0,진짜악마,65653
ㅉㅉㅉㅉㅉ,2013-08-30,0.0,jamis,65653
작가 교체 이후 확실하게 극전개도 쫄깃해지긴 했는데 초반에 삽질로 날려먹은거 만회하기에는 역부족이다. 이미 무관심드라마로 낙인찍히는 바람에 시청자도 못끌어오고 이대로 끝날 듯,2013-08-30,6.0,사랑과전쟁2,65653
ㅎㅎ 요즘엔 정규방송 드라마도 알바 푸는구나 ㅎㅎ 웃긴다..이런 최악의 졸작에 댓글다느라 애쓴다 븅신들아..스스로 븅신인증이구나!!,2013-08-30,1.0,HiKorea,65653
<다모>이후로  그에 버금가는 작품인  것 같음.초반에 템포를 좀 빨리 했으면 더  좋았을 듯 ...ㅎㅎ배우들의 연기  특히 엄태웅의 표정연기가 마음에  닿네요.왁스의  음악도 나이스.....,2013-08-30,10.0,김동규,65653
잘말 보고 있구만.. 김옥빈도 잘하는구만..왜들 그럼..ㅋ,2013-08-29,8.0,shrub75,65653
너무나도  재밌어서 시간 가는 줄 모르고 봤네요...  왜 시청률이 낮었던 거지요?  수준이 있는 드라마!  배우들의 연기도 정말 멋집니다. 앞으로가 더욱 기대가 되네요^^,2013-08-28,10.0,shinning33,65653
김옥빈도 나름연기 잘하는구만.. 그리고 재밌어.. 아우 못본것도 다운받와 받아 봐야겠음,2013-08-28,10.0,아로이로,65653
개 재미없고  똥깨 새끼  같은 드라마  같다. 오늘 당장 종영 아되면 kbs2 망한다.,2013-08-28,0.0,레디,65653
영계소문: LTE폰 사드렸잔아요.도대체 저한테 왜그래요?영류왕: 넌 나에게 3G도 줬어...,2013-08-28,7.0,최강치,65653
이렇게 재밌고 좋은 사극이 시청률이 낮다는게 이해가 안간다.,2013-08-28,10.0,열힘,65653
"넘잼나는데!!!!계속다시보기중인데
시청률은...바닥.....ㅠㅠ",2013-08-27,10.0,투야,65653
"어쩌다 이 나라 사극이 모두 이토록 개판 개쓰레기가 되었는지..ㅉㅉㅉ테마, 풍속, 언어, 의상 등등 모두가 역사성과 시대적 배경이 고증않된 개판 오분전.- 이젠 대사 중에 ....english까지 나오다니...해도 넘 하는 것 아닌가? 지나가는 개가 웃을 일.""내 아버지는 동Asia를 호령했던 고구려왕...난 고구려 공주다",2014-02-09,0.0,Nam Cho,65653
슬프고  아름다운 사랑이야기.. 넘 정적이라 지루한 감도 있었지만 재밌게 봤습니다..,2014-02-02,10.0,을불공,65653
"배우들의 열연, 아름다운 색채, 신선한 소재는 뛰어나나 작위적인 마무리는 아쉽다",2013-09-11,9.0,봄봄봄,65653
아.. 정말 재밌게 봤습니다. 특히 김옥빈 연기 너무 좋았다..,2013-09-11,10.0,아로이로,65653
