comment,date,score,user,title
"신난다! 1위다.  배우, 출연진 모두 대박나라~!",2014-08-29,10.0,3하니,65653
아 이거 다음주에 끝난다... 어떡하지 진짜.일주일 내내 이거만 볼 생각에 주말보다 수목이 더 기다려젔는데.. 아 달팽이 커플 ㅠㅠ 진짜 끝나면 또 몰아서봐야겠다,2014-08-29,10.0,Seula Lee,65653
"쌍둥이 3 정도 낳고 알콩달콩 살기를,,,,, 드라마 짱",2014-08-29,10.0,평화,65653
몇번을 울게 만드네 뻔하지만 감동 감동 또 감동.  드라마를 이리 편히 마음놓고 재미나게 감동지게 볼 수 있을까????    감사한 마음 마져 든다,2014-08-29,10.0,뽀글린,65653
시청률 1위 ~ 잼있게 잘보고 있습니다.,2014-08-29,10.0,irin8012,65653
오랜만에 찾은 기분 좋아지는 드라마~ 힐링되네요ㅎㅎ,2014-08-29,10.0,최지선,65653
"다음 주가 남았네요. 어제 종영인가 아쉬웠는데..
최상의 연기의 조합으로 재미있고 힐링이 되는 드라마..
빠른 전개와 선한 배역들도 너무 좋다.",2014-08-29,10.0,Dryes,65653
어젠 펑펑..오늘은 달달..작가님 넘무해^^*,2014-08-29,10.0,말리,65653
건이너무너무 멋쪄!!,2014-08-29,10.0,dmsrud2236,65653
마음이 정화되는 느낌이에요~^♥^,2014-08-29,10.0,풀꽃사랑,65653
시청률 1위 축하드려요~~~ ♥♥♥,2014-08-29,10.0,예니,65653
"7월2윌1회본방보기시작해서 풍덩.....빠져서....갤갤거리다   ...18회 ....까지....수목은 날밤새고 출근하기일쑤고...상태메롱이고 운널사 매일검색질에다 건묭이 머릿속에서 떠나질않고 아~~~놔,,,,,쫌  .살자.....",2014-08-29,10.0,cast,65653
운널사 짱!! 달팽이커플 짱!!,2014-08-29,9.0,바다향가득한,65653
너무 이쁜드라마 ~~,2014-08-29,10.0,류일호,65653
행복을 주는 드라마~ 넘좋아요^^,2014-08-29,10.0,뮤즈,65653
쵝오,2014-08-29,10.0,아름다운 세상,65653
난 세라친오빠는 신현준인줄 알았는데..ㅋㅋ,2014-08-29,9.0,나좀봐줘,65653
"미스터리한게 왜 시청률이 이것밖에 안나오는지..재미와 감동, ost 까지 짱짱맨",2014-08-29,10.0,또치또치,65653
2회밖에 안남은게 너무 아쉬워 ㅜㅜ,2014-09-03,10.0,깜상이,65653
오늘이랑내일만하먼끝나^^,2014-09-03,10.0,씨엔블루  이혁  이승기,65653
예고가   너무   늦어,2014-09-03,10.0,kyl,65653
짱짱^^//,2014-09-03,10.0,안녕,65653
"이렇게 달달한 드라마 오랜만인듯~
2회만 남아서 넘 아쉬움이 많이남아요 ㅠㅜ
장혁씨와 나라씨...명품연기를 못본다는 아쉬움이 더큰듯 
언제나처럼 본상사수~",2014-09-03,10.0,김인재,65653
근래 보기드문 착한 드라마! 나이스 굿!,2014-08-29,10.0,한성모,65653
좋다. 하지만 프랑스어 하나 못하면서 프랑스 3년 다녀온뒤 너무나 바뀐 여주 설정은 좀 실소를 금할 수 없었슴.,2014-08-28,10.0,알메이다,65653
2014년 최고의 드라마,2014-08-28,10.0,달나라토끼,65653
건묭은물론 연출도 상주고싶다~^^,2014-08-28,10.0,영화랑,65653
진심~^^,2014-08-29,10.0,영원토록,65653
조아조아~~^^,2014-08-29,10.0,짹짹이,65653
