comment,date,score,user,title
"송승헌의 눈빛이 저렇게 그윽한지 몰랐는데....
정말 계속 빠져들어....중독이야~~
송승헌이 너무 좋아 목소리 눈빛 걸음걸이까지^^♡",2014-08-02,10.0,joohe0214,65653
드라마는 진짜 별로인데.. 연우진 나와서 계속 봤다.. 주연보다 연기 잘하는 조연 연우진과 채정안..ㅋㅋㅋ,2014-07-25,5.0,지용의보살,65653
한태상♡♡♡,2014-06-30,10.0,hd강희,65653
중간에 신세경역할이 설득력이 좀 부족했지만 너무 가슴 아픈 사랑이야기가 기억에 많이 남아서 계속 생각나게하는 드라마,2014-06-09,9.0,사람들,65653
독재자 박근혜 친일 조중동 일베  어버이연합,2014-02-09,10.0,새벽열차,65653
최고다,2014-01-23,10.0,엿머거,65653
"처음엔 착한개성넘치는 그런 이미지였는데
회차가 지날수록  갈팡거리는   모습보고
시청 포기ᆞᆢ",2013-12-30,1.0,돌섬,65653
"끝까지 보고 나니까 로이 장 한태민으로 나오신분 연기 진짜 잘하네요,,, 표정 하나하나 행동하나하나 의미가 있었어요... 정말 오래간만에 감동받으면서 보았습니다.. 마음 따뜻해지는 소설하나 본 기분...",2013-12-07,10.0,eeppoonee,65653
신세경이너무못땠게나와서 인기가없었군요..ㅠ송승헌불쌍해~~ㅠ,2013-11-27,9.0,스스로,65653
난 연우진과 신세경의 사랑에 공감이 갔네요.,2013-10-12,10.0,물음,65653
송승헌씨 채정안씨 등 모든분의 연기가 최곱니다,2013-09-13,10.0,라이토,65653
배우 송승헌의 재발견이었어요. 멜로연기 최강!,2013-08-15,10.0,오작가,65653
여전 하구나 송씨 발연기늘지를 않어보면,2013-08-06,0.0,검니,65653
송승헌이 너무 멋있습니다.,2013-08-04,10.0,비취골드,65653
남자가 봐도 멋진 송승헌씨  연기  대한민국  최고  연기자가 되가고 있는것 갔습니다.이대로  쭉  최고를 향해,2013-07-14,9.0,수리수리,65653
솔승헌이 갈수록 멋지네~,2013-07-13,10.0,쇼셜,65653
