comment,date,score,user,title
권상우씨 상냥한 평소 모습이 드라마에 반영되어 있군요. 멋진 배우입니다.오늘의 방송 좋았습니다.,2013-11-20,10.0,etty,65653
의드는 반드시 성공하리라는 안이한 생각으로 시작한 개드...,2013-11-20,1.0,badbatboy,65653
...,2013-11-20,0.0,청문회,65653
시청율 3%에   평점은 6.8이면 대체 알바를 몇 마리나 푼겨? ㅡㅡ,2013-11-19,0.0,라라라,65653
지상파가..우째..이런일이..종편채널으로 바뀌어가남!!,2013-11-19,2.0,사계절,65653
수목드라마 황금시간대에하는데 시청률이 이리 나올수가 ㅜㅜ제작진부터 시작해서 배우들까지 짠하네여;;;,2013-11-19,0.0,완소중남,65653
아쉽다,2013-11-19,9.0,구준혁,65653
정말.... 브레인 쓴 작가가 맞능교....?? 해품달 피디가 맞능교....? 어찌 이렇게 된 겁니까...,2013-11-19,5.0,랄라랄랄라랄라,65653
"잼있다고 하시는 분들은 굿닥,브레인 같은 드라마를 보고도 하시는 말씀이신지요? 정말 비교많이 되는거 같은데요~~ 감동도없고 일단 캐스팅이 좀 언발란스한듯~조합이 안맞아요!캐스팅할때 시청자 의견좀 모아서 하면 좋을텐데~",2013-11-19,0.0,poripo,65653
이런류 드라마를 메디컬드라마라 안불렀으면 좋겠다. 굿닥터도 그렇고... 의학 빙자 그냥 드라마ER이나 그레이즈 아나토미 같은 진짜 의학드라마 우리나라에서도 볼 수 있기를...,2013-11-19,0.0,천사고양이,65653
"브레인때 신하균 연기는 진짜 소름 돋았는데. 내용도 찡하고.. 같은 작가인데도,, 훔.... 권상우, 정려원 진짜 연기에 깊이가 없고 무성의해. 그배역을 다른배우가 했다면 어땠을까 생각 들더만..",2013-11-18,4.0,마지막 여행,65653
권상우님 응원합니다! '메디컬탑팀' 화이팅☆★☆,2013-11-18,10.0,etty,65653
노력하고있는 권상우를 응원 계속합니다.마지막까지 최선을 다하십시오!,2013-11-18,10.0,kie5463,65653
"음주운전 사고 뺑소니, 권땅우가   휴머니스트???  카악 퉤 ㅡㅡ",2013-11-18,0.0,라라라,65653
권상우 박태신 화이팅!!! 메디컬 탑팁 화이팅!!!너무 재미 있어요,2013-11-18,10.0,becky chong,65653
