comment,date,score,user,title
구가의서 서화가너무예뻐 이연희검색해서 시청했습니다 진짜예쁘시네요,2014-08-27,10.0,바닷가오두막,65653
VOD 다시보기로 봤는데 역시 파스타 제작팀이네요   최고입니다,2014-04-25,10.0,아카리카초,65653
와..진짜 이연희의 재발견..ㄷㄷㄷ,2014-04-10,9.0,별이빛나는밤에,65653
오랜만에 최고의 드라마다 이연희도 어떻게 저렇게 이쁠수 있나싶고 여운이 쉽게 가시질않는다,2014-03-17,10.0,김상해kamiu,65653
구가의서 서화가너무예뻐 이연희검색해서 시청했습니다 진짜예쁘시네요,2014-08-27,10.0,바닷가오두막,65653
VOD 다시보기로 봤는데 역시 파스타 제작팀이네요   최고입니다,2014-04-25,10.0,아카리카초,65653
"진짜 최고의 드라마, 모든 캐릭터가 다 굿이었어요~ 미스코리아~ 잊지못할거에요~!!!",2014-03-16,10.0,바람이분다,65653
매회차 본방사수했어요. 인간미 풀풀 나는 드라마가 너무 오래간만이라 반가웠습니다. 이연희 씨도 연기 잘하네요.,2014-03-16,10.0,콘크리트에핀장미,65653
"최고, 김선균,이미숙,김성민,이연희,체리원장님,송선미씨,바다회사 다 잘어울림 ost도좋고, 수영복입고 고생많으셨습니다.별그대에밀려, 빛바랜 비운의드라마지만, 난이게더재밌었음",2014-03-14,10.0,광주쿨가이,65653
하필 겨울에 촬영해서...수영복이랑 얇은 봄 가을옷 입고 촬영하던데..정말 고생 많으셨음...이연희 이쁨...,2014-03-13,10.0,허접테란,65653
잔잔한 감동과 위트로 가득 채워진 드라마는 없을것이다. 또한 드라마ost도 내면 연기에 기품을 더했다.,2014-03-09,10.0,간난이,65653
"위로되는 드라마, 최고최고!",2014-03-09,10.0,랄라라라랄,65653
별그대는 바다화장품..미코는 비비화장품..이 드라마는 반드시 혼자보는게좋아요..감정이입이 너무잘되서 매회마다 눈물흘렸네요..이렇게 절절하고 사무치는드라마는 첨인듯..와이키키가 이렇게 슬플줄이야 ㅠㅠ 이연희의 재발견..짱이다,2014-03-06,10.0,red 비,65653
정말 재밌는 드라마가 빛?을 못본게 너무 아쉽네요.,2014-03-06,10.0,머독,65653
"IMF 당시의 애환과 고민을 사실적으로 잘 담은 훌륭한 드라마. 볼거리도 많고, 조연들의 감칠맛나는 연기도 일품, 진지하면서도 코믹함이 잘 어울어진 작품 ^^ 형준과 지영의 애틋한 애정 스토리도 감동적! 무엇보다 이연희님의 미모가 압권! 한 여자의 미모를 보고 눈물나는 것은 생전 처음이네요 ㅠ.ㅠ 최고의 드라마",2014-03-05,10.0,Xenogears,65653
그동안 배우분들 수고하셧음~,2014-03-03,0.0,최지선,65653
벌써끝나다니 ㅠㅡㅠ,2014-03-02,10.0,최진행,65653
똥꼬의힘!!!!!!!!!!!!ㅋㅋㅋㅋ,2014-02-28,10.0,EXO러브,65653
재밋어요~~,2014-02-28,10.0,바닐라,65653
이쁜 이연희도 상대역이 안 맞으니 니리하지. 그래도 이미숙이 큰 힘이 됐네요.,2014-02-28,10.0,NZ LIM,65653
와..진짜 이연희의 재발견..ㄷㄷㄷ,2014-04-10,9.0,별이빛나는밤에,65653
오랜만에 최고의 드라마다 이연희도 어떻게 저렇게 이쁠수 있나싶고 여운이 쉽게 가시질않는다,2014-03-17,10.0,김상해kamiu,65653
"진짜 최고의 드라마, 모든 캐릭터가 다 굿이었어요~ 미스코리아~ 잊지못할거에요~!!!",2014-03-16,10.0,바람이분다,65653
매회차 본방사수했어요. 인간미 풀풀 나는 드라마가 너무 오래간만이라 반가웠습니다. 이연희 씨도 연기 잘하네요.,2014-03-16,10.0,콘크리트에핀장미,65653
"최고, 김선균,이미숙,김성민,이연희,체리원장님,송선미씨,바다회사 다 잘어울림 ost도좋고, 수영복입고 고생많으셨습니다.별그대에밀려, 빛바랜 비운의드라마지만, 난이게더재밌었음",2014-03-14,10.0,광주쿨가이,65653
하필 겨울에 촬영해서...수영복이랑 얇은 봄 가을옷 입고 촬영하던데..정말 고생 많으셨음...이연희 이쁨...,2014-03-13,10.0,허접테란,65653
잔잔한 감동과 위트로 가득 채워진 드라마는 없을것이다. 또한 드라마ost도 내면 연기에 기품을 더했다.,2014-03-09,10.0,간난이,65653
"위로되는 드라마, 최고최고!",2014-03-09,10.0,랄라라라랄,65653
별그대는 바다화장품..미코는 비비화장품..이 드라마는 반드시 혼자보는게좋아요..감정이입이 너무잘되서 매회마다 눈물흘렸네요..이렇게 절절하고 사무치는드라마는 첨인듯..와이키키가 이렇게 슬플줄이야 ㅠㅠ 이연희의 재발견..짱이다,2014-03-06,10.0,red 비,65653
정말 재밌는 드라마가 빛?을 못본게 너무 아쉽네요.,2014-03-06,10.0,머독,65653
"IMF 당시의 애환과 고민을 사실적으로 잘 담은 훌륭한 드라마. 볼거리도 많고, 조연들의 감칠맛나는 연기도 일품, 진지하면서도 코믹함이 잘 어울어진 작품 ^^ 형준과 지영의 애틋한 애정 스토리도 감동적! 무엇보다 이연희님의 미모가 압권! 한 여자의 미모를 보고 눈물나는 것은 생전 처음이네요 ㅠ.ㅠ 최고의 드라마",2014-03-05,10.0,Xenogears,65653
그동안 배우분들 수고하셧음~,2014-03-03,0.0,최지선,65653
벌써끝나다니 ㅠㅡㅠ,2014-03-02,10.0,최진행,65653
제가 이상한가요? 물론 첨 시작은 별그대로 했지만...해외여행에서 돌아와 첨 한 일이 미스코리아재방 본 거예요~~,2014-02-27,10.0,농담,65653
"미스코리아! 거진 3개월동안! 미소짓게 해준 드라마! 행복했습니다.^^ 벌써 막을 내렸네요.. 그동안 감독님,작가님,스텝분들,배우님들 모두모두 고생하셨습니다!!^^ 제 기억속에 또 하나의 인상깊은 드라마로 남게되네요!ㅎㅎ 무사히 잘 마지막회 마치신거 축하드려요!!^^",2014-02-27,10.0,정래환,65653
똥꼬의힘!!!!!!!!!!!!ㅋㅋㅋㅋ,2014-02-28,10.0,EXO러브,65653
재밋어요~~,2014-02-28,10.0,바닐라,65653
이쁜 이연희도 상대역이 안 맞으니 니리하지. 그래도 이미숙이 큰 힘이 됐네요.,2014-02-28,10.0,NZ LIM,65653
제가 이상한가요? 물론 첨 시작은 별그대로 했지만...해외여행에서 돌아와 첨 한 일이 미스코리아재방 본 거예요~~,2014-02-27,10.0,농담,65653
"미스코리아! 거진 3개월동안! 미소짓게 해준 드라마! 행복했습니다.^^ 벌써 막을 내렸네요.. 그동안 감독님,작가님,스텝분들,배우님들 모두모두 고생하셨습니다!!^^ 제 기억속에 또 하나의 인상깊은 드라마로 남게되네요!ㅎㅎ 무사히 잘 마지막회 마치신거 축하드려요!!^^",2014-02-27,10.0,정래환,65653
무슨 놈의 미니시리즈가 이 모양이냐. 그저 그런 내용에 이야기 전개도 늘어터졌고.정말 너무한다,2014-02-14,0.0,바람이분다,65653
빠져드네ㅎㅎ,2014-02-14,10.0,쇼비쇼비,65653
시청률 낮다고 기대 별로 안했는데 재밌음... 이연희도 확실히 좋아졌고...,2014-02-13,10.0,루트비어,65653
오늘 했슴하네요,2014-02-13,10.0,울엄마의 웬수,65653
정말 잘 만든 드라마 입니다.어떻게 설명해 줄 수 없는.....보아야 알수있는...,2014-02-13,10.0,주식회사 한국도시녹화,65653
ㅋㅋ 아직도 하네.....정말 지겹다,2014-02-13,0.0,프라하의 봄,65653
이선균씨 이미지 변신해야 할거 같아요.,2014-02-07,10.0,온유,65653
1주일 내 유일하게 보는 드라마입니다.,2014-02-07,10.0,혁스,65653
담주가 기대됨,2014-02-07,10.0,울엄마의 웬수,65653
"97년 참으로 암담하고 힘들었던 시절...직장인,,자영업자,,일이 없어지고 답답했던..그시절..생각이 나면서 드라마에 몰입하게 되네요..",2014-02-07,10.0,길짱,65653
너무 감동적이네요..진 다시 뺏는건 아니겠죠?ㅠ,2014-02-07,10.0,야옹쓰,65653
아 보면볼수록 재밋네 ㅋ,2014-02-07,10.0,Mstory,65653
웰메이드 드라마! 별그대와 둘다 보는데 별그대보다 스토리가 탄탄하고 배우들의 연기도 굿! 정말 잼나는 드라마인데 시청률 낮아서 아쉽네요. 미스코리아 출연진들 파이팅입니다!!!,2014-02-13,10.0,해가쨍,65653
재미엇슴;;;;지루해도 너무 지루하다,2014-02-12,0.0,최지선,65653
시청률이 높지 않아서 그렇지 괜찮은 드라마,2014-02-12,10.0,밝은세상,65653
내가 이연희땜에 유령 보다가 포기 했는데 이 드라마는 이연희땜에 본다연기 진짜 많이 늘었다,2014-02-12,10.0,최대빨리,65653
굿,2014-02-11,10.0,II상큼레몬II,65653
재미없어요!!!!!!!!!!!!!!!!,2014-02-10,0.0,F꽃팸실장_소라_겨울왕국-엘사,65653
"드라마는 모두 막장 저질이란 선입관때문에 안보다가 우연희 이연희에 끌려 보게된 드라마...소탈하고 진실되고 힐링되는 드라마,,,,이연희를 사랑하게 되는 드라마...",2014-02-10,10.0,tororo,65653
"와..... 잠깐   십분 정도 보았는데,,,  어쩜 이렇게 루즈하니?   배우들이 홀딱 벗고 설치고 뛰어다녀도진행전개가 엉망이니  자극적인 화면들조차 짜증나게 느껴지네...  정말 이연희가 아깝다",2014-02-10,1.0,시원한 국,65653
"최곱니다..이연희씨 너무 이쁘고 귀여워요..팬입니다.
집사람 때문에 본방 수사는 못하고 다시보기로 보지만 정말 별그대보다 재밌고 감동적입니다^^",2014-02-10,10.0,불꽃스매싱,65653
극중 오지영에게 완전히 반했습니다... 이연희님 너무 연기 잘하세요...^^ 사랑스러워요..,2014-02-08,10.0,김태철,65653
아...정말 잼있네요.....수목극 3사 모두 다 잼있네여 ㅋ,2014-02-08,10.0,jeremiah,65653
시청률 올라네요,2014-02-08,10.0,울엄마의 웬수,65653
별그대에 비해 시청률이 너무 차이나네요...,2014-02-07,10.0,StuartHolden,65653
오지여 파이팅BB크림이여 다시부활하여라.,2014-02-07,10.0,최진행,65653
엠비씨에서 유일하게 보는 드라마 이연희 수상소감 성숙한 연기 오호~ 굿~그런데 걱정이 앞선다. 예고편 잠간 봤는데 이제 짜맞추기 극본으로 가는건가?? 아니면 억지 갈등구조로 질질끌 것인가?? 잘 풀길 바란다.,2014-02-07,8.0,우리땅독도,65653
"오늘 넘 재미났어요. 앞으로 남은 회가 기대되네요. 지금 안그래도 힘든 세상, 주인공들에게 고난이 있어도 부디 행복한 결말 만들어 주시길... 악과 얄미운 것들은 어떻게 시원하게 한 방 먹여줄 방법이 없을까??",2014-02-07,10.0,ESSE,65653
"보는 순간 행복었어요~^^
이연희 화이팅~~♥",2014-02-07,10.0,Jemma의 쿠킹실,65653
수목은 매일 운다 미스코리아때문에 ㅠㅠ,2014-02-07,10.0,정아,65653
너무재미있어요 옛생각이 너무나네요,2014-02-07,10.0,독도,65653
앉은키 ^*^,2014-02-06,10.0,편린송,65653
와이키키 ^__________________^,2014-02-06,10.0,김무정,65653
진짜 재밌는데 별그대때문에 참... 죽쑤네요,2014-02-06,10.0,ttojuk223,65653
이현희 미스코리아 진   드라마도 진,2014-02-06,10.0,정래환,65653
끝까지 좋은 드라마 만들어주세요.,2014-02-06,10.0,피아노맘,65653
미코 보고싶은데 우리집 여자들 때문에 별그대 본다. ㅠㅠ,2014-02-06,9.0,니르바나,65653
이연희 연기 대박,2014-02-06,10.0,바르,65653
미스코리아......,2014-02-06,0.0,자민아빠,65653
양춘자역 홍지민씨 진짜 연기 자연스럽게 잘 하는 듯... 얼마나 코믹한지..ㅋ 울고 웃는 연기가 아주 시시각각 자연스러운 듯..ㅋ,2014-02-27,8.0,살 흰애추억,65653
"정말 고생하셨어요.너무나 행복한 수,목 저녁이었습니다.",2014-02-27,10.0,조야,65653
"정말 고생하셨어요.너무나 행복한 수,목 저녁이었습니다.",2014-02-27,10.0,조야,65653
대진운이 안 좋았지만 최소 20%급 드라마였다,2014-02-27,10.0,마네키네코,65653
끝까지 잘봤습니다...,2014-02-27,10.0,울엄마의 웬수,65653
"별그대 보다가 넘어왔습니다.  시청률은 좀 아쉽지만 가치있는, 특색있는, 무엇보다 재미있는 드라마에요~끝까지 잘볼께요~~~(대전 33세 남자)",2014-02-26,10.0,rained,65653
현실적이고 가슴 찡해요^^,2014-02-26,10.0,박경화,65653
재밌어요.^^~,2014-02-26,10.0,아껴쓰자,65653
미스코리아 참 좋은 드라마다~착한 사람이  승리한다~그래서 기분이 좋다~,2014-02-20,10.0,부치미,65653
드이어 첫사랑~ 떳다  아  좋다,2014-02-20,10.0,저편에서서,65653
완젼 잼나다..끝,2014-02-20,10.0,판콜A,65653
오늘도 한다...,2014-02-20,10.0,울엄마의 웬수,65653
오늘도 보자,2014-02-18,10.0,울엄마의 웬수,65653
"구성은 좋다. 전개도 좋다. 다만, 2% 부족한 알 수 없는 무언가...?",2014-02-18,9.0,스눕,65653
이번주는 볼수 있을까,2014-02-16,10.0,울엄마의 웬수,65653
