comment,date,score,user,title
재미있고 무언가 사회에 경종을 울리는 드라마였던거 같은데 너무 빨리 끝나  아쉽네요~시즌2 기대합니다^^,2014-07-07,10.0,주,65653
정말이지 이런드라마는 시즌제해야되는거 아닌지....배우들도 그런바램이 있을거라 생각이드네요....간만에 재미있게봤는데 아쉽네요,2014-07-07,10.0,웬종일,65653
굿,2014-07-06,10.0,똘이아빠,65653
56부작 받고 560부작으로 만들어라 ㅋㅋㅋㅋㅋ,2014-07-04,10.0,여신님,65653
최고16부작 말고56부작으로 만들어라~,2014-07-03,10.0,빌딩두개,65653
유일하게 보는 드라마인데 이제 끝나서 볼 게 없어요~ dvd 꼭 나오길 바랍니다,2014-07-03,10.0,wpsdkl,65653
종영하고 보는중인데..참 좋은 드라마네요...모두 굿....순진한 국민들이 좀 보고 느껴야 될듯.....,2014-07-03,10.0,뽀스-민-,65653
재미있게 잘 보다가 뭔가 급 마무리 되는 느낌.좀 아쉬움이 남는 작품.,2014-07-02,7.0,깔페디엠,65653
꼭 2탄이 나왔으면싶어요..박상태변호사도 꼭!!! 다시 나왔으면 좋겠구요~^^,2014-07-02,9.0,cheon4,65653
짱,2014-07-02,10.0,세이지스튜디오,65653
+100^^,2014-07-01,10.0,Kimmie,65653
2탄 언능 만들어주세요 !!! 김명민씨 어여 빨리 드라마 나와주세요 힝힝,2014-07-01,10.0,여신님,65653
"믿고 보는 김명민 드라마! 아, 이제는 기다릴 수 없다니...",2014-07-01,10.0,h-goldenflower,65653
이제 김석주 변호사를 못 보나요? 개과천선 끝나니 너무 아쉬워요~~ 다시 보고 싶네요~,2014-07-01,10.0,여름꽃,65653
"18부작으로 해야되는데 사안이 민감해서 그런가..
Sbs에서 했으면 좋았을텐데 jtbc나",2014-06-30,9.0,럭팔돌삼,65653
시청률이 아쉽네요,2014-08-28,10.0,xavir,65653
드라마 보고 평점높이고 싶어서 로그인합니다. 애정문제같은게 없고 다루는 주제가 쉽지않아서 사람들에게 어렵게 느껴진거 같지만 작가님이 이것 저것 보여주려고 고생한 흔적이 넘쳐나는 드라마입니다. 조기종영이 너무 아쉽네요. 시즌2라도 나왔으면 좋겠어요. 좋은 드라마 잘 봤습니다.,2014-08-26,10.0,c-cius,65653
아쉽고 감동적인 이야기,2014-08-26,10.0,해롱이,65653
"조기 종영이 아쉽네요 
재미있게 봤습니다^^",2014-08-13,10.0,삶은셀프,65653
좋은 드라마 봤네요~속편 기대해도 될까요~~,2014-08-11,10.0,피요나공주,65653
시청률이 아쉽네요,2014-08-28,10.0,xavir,65653
드라마 보고 평점높이고 싶어서 로그인합니다. 애정문제같은게 없고 다루는 주제가 쉽지않아서 사람들에게 어렵게 느껴진거 같지만 작가님이 이것 저것 보여주려고 고생한 흔적이 넘쳐나는 드라마입니다. 조기종영이 너무 아쉽네요. 시즌2라도 나왔으면 좋겠어요. 좋은 드라마 잘 봤습니다.,2014-08-26,10.0,c-cius,65653
아쉽고 감동적인 이야기,2014-08-26,10.0,해롱이,65653
왜이렇게 재밌는거죠? 근데 이렇게 빨리 끝나다니ㅠㅠ,2014-06-29,10.0,라벤더,65653
극사실주의,2014-06-29,10.0,연두,65653
잼있게 잘봤어요^^생각보다 짧은스토리가 아쉽네요ㅜㅜ,2014-06-29,10.0,귀염이지롱,65653
"김명민의 목소리, 표정, 동작: 그 어느 하나 놓칠 수 없는 최고였습니다. 고맙습니다. 김서형의 절제된  연기 또한 짱이었습니다.",2014-06-28,10.0,h-goldenflower,65653
"흡인력 강한 드라마, 역시 믿고 보는 김명민입니디^^
2회 결방으로 단축되어 끝이 좀 그랬지만 작가님 넘 잘 봤습니다~ 역시 시나리오와 그에 걸맞는 배우가 작품을 살리는 듯 합니다...",2014-06-27,9.0,앤드,65653
이야기가 좀 어중간하게 끝난다 했더니만....조기종영이었군요. 재밌게 보고 있었는데...,2014-06-27,9.0,올겨울은안추워,65653
개과천선 DVD 감독판 수요 조사를 한다고 해요. 까페가 개설되었네요~ 소장하고 보고 싶네요~ ㅜ.ㅜ,2014-06-27,10.0,kdvdlgj,65653
"멋진 드라마가 이렇게 급속 마무리 되다니...현실의 사건을 다루고 명연기 , 명시나리오...조기종영의 이유가 의아할 따름이네요.",2014-06-27,9.0,크게숨한번,65653
있었던 사실을 토대로 만든 드라마라 현실성이 많이 다가 왔습니다 . 조기 종형의 아쉬움을 책으로 풀어 주셨스면 합니다. 작가님 책 만들어 주세요 ...,2014-06-27,10.0,키라,65653
"김명민님, 김상중님 등 멋진 배우들과 스텝들 좋은 드라마 만들어 주셔서 고맙습니다.  고생하셨어요,",2014-06-27,10.0,쓰담쓰담,65653
정말 훌륭한 드라마였습니다 잘봤습니다.,2014-06-27,10.0,Drva,65653
"이런 명품드라마를 오랜만에 봤는데, 외압에 의한 조기종영이라니,너무 화가 난다. 작가의 탄탄한 스토리와 김명민을 비롯한 배우들의 열연과 깔끔한 연출의 삼위일체가 훌륭했는데, 조기종영으로 2프로 부족한 드라마가 되고 말아서 무척 아쉽다! 어서 빨리 김명민의 연기를 다시 볼 수 있으면 좋겠다",2014-06-27,10.0,melaniequeen,65653
사회정의가 권력이 아니라 자본에게 귀속되는 한심한 대한민국,2014-06-27,10.0,도시인,65653
"예정대로 18부작 종영이었다면 별정10점인데,, 16부작 급 종영이 아쉽네요~~그래도 정도전이랑 개과천선 보는 맛에 한주 보냈네요. 감사합니다",2014-06-30,9.0,트롤퉁퉁퉁가,65653
한참 잼나게 보고 있는데  웃기게 끝나버렸네  드라마 12~13회부터 이상하게 점프 점프 한다는 느낌 들더니 뭥미 바로 끝나버렸네  결말도 이상하게  어디서 압력 받은듯 한 의구심이 엄청드는데.....5,2014-06-30,5.0,나호,65653
넘재밓어요,2014-06-30,10.0,Miyeong Park,65653
드라마를 보며 고급스럽다고 느끼긴 처음.이걸 이제야 보다니...드라마의 수준과 시청률과의 상관관계는 전혀 없는듯.,2014-06-29,10.0,tuesday,65653
감독판dvd 신청 카페가 생겼어요~ 많이들 신청해 주세요~~ 구매하고 싶네용.. ㅠㅠ,2014-06-29,10.0,kdvdlgj,65653
작가대단하네요,2014-08-05,10.0,초롱,65653
"또 보고싶은 드라마다
잘 만들어진 드라마
작가에게 박수를 보네고 싶다
다시  꼭  만들어주기를 바란다",2014-08-04,10.0,핑크,65653
동양사태.. 예측이 정확함.. 드라마끝나고 한달만에.. 드라마 전개와 같은 결과 나옴..무서운 작가,2014-08-04,10.0,공인중매사,65653
정말 잘 만든 드라마였다.아쉽게도 짧게 끝났지만 이런드라마가 다시 보고픈 드라마다,2014-07-31,10.0,나이트매지션,65653
이제 MBC드라마 않보기로 했다. 믿고 보는 시청자에 대한 배려가 없다. 예전에는 MBC드라마만 봤는데 시청률 때문인지 외압때문의 조기종영인지 모르겠지만 여튼 그 어떤 거라도 이젠 믿을수가 없다. 보다 이런식의 종영을 하게 하다니.. 괘씸,2014-07-31,10.0,니몸매쩔어,65653
좀 볼만하다 싶은 드라마들은 왜 빨리 마무리 짖는건지??막장이 아니라서 그런가??ㅎㅎ,2014-07-26,10.0,비그리운,65653
참나.. 진짜 똥싸다 말고 나온느낌이다.. 왜이렇게 끝내는거지 12회부터 축축처지더니 일만 벌려놓고 제대로 급박한 마무리. .. 명장드라마를 이래 망치나.. 조기종영도 한몫했겠지만. 작가의 역량 문제다이건,2014-07-17,0.0,Lord,65653
시즌2 나오려나................,2014-07-16,10.0,모래시계,65653
시즌2기대합니다.. 간만에 소장하고싶은 드라마입니다,2014-07-15,10.0,Sophia,65653
비록 다운해서 보고있지만 정말 괜찮은 드라마네요 짱~ 시즌2는 어렵겠지만 나오면 좋겠네요 나오긴 힘들겠지만 ㅠㅠ,2014-07-13,10.0,anwjrtislzld,65653
정말 좋았던 하얀거탑이 생각나네요. 다운욕구 충만합니다.,2014-07-12,10.0,kjbond,65653
"완벽한데  조기종영이 도대체 이해가....  넘 아까워요
시즌제로 go~!",2014-07-10,10.0,쇼콜라,65653
"조기 종영이 아쉽네요 
재미있게 봤습니다^^",2014-08-13,10.0,삶은셀프,65653
좋은 드라마 봤네요~속편 기대해도 될까요~~,2014-08-11,10.0,피요나공주,65653
작가대단하네요,2014-08-05,10.0,초롱,65653
"또 보고싶은 드라마다
잘 만들어진 드라마
작가에게 박수를 보네고 싶다
다시  꼭  만들어주기를 바란다",2014-08-04,10.0,핑크,65653
동양사태.. 예측이 정확함.. 드라마끝나고 한달만에.. 드라마 전개와 같은 결과 나옴..무서운 작가,2014-08-04,10.0,공인중매사,65653
정말 잘 만든 드라마였다.아쉽게도 짧게 끝났지만 이런드라마가 다시 보고픈 드라마다,2014-07-31,10.0,나이트매지션,65653
이제 MBC드라마 않보기로 했다. 믿고 보는 시청자에 대한 배려가 없다. 예전에는 MBC드라마만 봤는데 시청률 때문인지 외압때문의 조기종영인지 모르겠지만 여튼 그 어떤 거라도 이젠 믿을수가 없다. 보다 이런식의 종영을 하게 하다니.. 괘씸,2014-07-31,10.0,니몸매쩔어,65653
좀 볼만하다 싶은 드라마들은 왜 빨리 마무리 짖는건지??막장이 아니라서 그런가??ㅎㅎ,2014-07-26,10.0,비그리운,65653
참나.. 진짜 똥싸다 말고 나온느낌이다.. 왜이렇게 끝내는거지 12회부터 축축처지더니 일만 벌려놓고 제대로 급박한 마무리. .. 명장드라마를 이래 망치나.. 조기종영도 한몫했겠지만. 작가의 역량 문제다이건,2014-07-17,0.0,Lord,65653
시즌2 나오려나................,2014-07-16,10.0,모래시계,65653
시즌2기대합니다.. 간만에 소장하고싶은 드라마입니다,2014-07-15,10.0,Sophia,65653
비록 다운해서 보고있지만 정말 괜찮은 드라마네요 짱~ 시즌2는 어렵겠지만 나오면 좋겠네요 나오긴 힘들겠지만 ㅠㅠ,2014-07-13,10.0,anwjrtislzld,65653
정말 좋았던 하얀거탑이 생각나네요. 다운욕구 충만합니다.,2014-07-12,10.0,kjbond,65653
"완벽한데  조기종영이 도대체 이해가....  넘 아까워요
시즌제로 go~!",2014-07-10,10.0,쇼콜라,65653
시즌 2가 기대되네요~,2014-07-08,10.0,뽀로롱,65653
정말 아쉽네여. 정말 재밌게 보고 있었는데...조기종영이라니...말도 안되요.제일 흥미진진할수 있었던 부분이 잘라져서 아쉽습니다.,2014-06-29,10.0,아리동동,65653
시즌2 꼭볼수 있었으면 하네요 ...,2014-06-29,10.0,오래된,65653
"오   이런   긴장감!
최고입니다",2014-06-29,10.0,그대와영원히,65653
최고! 김명민 살아있네,2014-06-29,10.0,레몬트리,65653
역시 드라마의 제왕은 MBC임!!!,2014-06-29,10.0,마즐래,65653
최고! 한국 사회를 꼬집은 명품 드라마 .. 시즌2 꼭 부탁 드려요. 제발...꼭 같은 배우분들로...,2014-06-29,10.0,아름다운 그대,65653
"너무 너무 너무 아쉽습니다. 작가님,배우,스탭분들 힘내세요.김명민 형 화이팅입니다.",2014-06-29,10.0,캔디애인,65653
조기종영 시킨넘도 그렇고 한넘도 그렇고 나라꼴이 참....,2014-06-29,10.0,킹콩,65653
이런 드라마가 인정받아야 한류가 오래 간다 기리고 고질적인 제작환경 쪽대본 다들 한탄은 하는데 왜 고쳐지지 않는지...정부가 문화사업 육성 차원에서 좀 대책을 세울수는 없는지 ? 여하튼 근래 최고의 드라마이다,2014-06-29,10.0,테미,65653
"작가님 고맙게 시청했습니다.김명민, 김상중 연기도 정말 일품이였습니다.마지막회가 정말 아쉽더군요",2014-06-27,10.0,푸른강가,65653
정말 개과천선 했으면 좋겠어요~~ 이나라  부패 지도층은 개과천선하라,2014-06-27,10.0,니나,65653
"한국드라마의 한 획을 그은 드라마..명품드라마입니다. 시즌제 보고싶지만 우리나라 구조에서 다시보기 힘들겠죠?  조기종영되서 마지막 스토리가 급전개되어 아쉽지만 배우분들의 명연기로 커버된 듯합니다. 작가님 그리고 김명민, 김상중, 박민영...배우님들 감사해요",2014-06-27,10.0,달려라하니,65653
결말이 아쉽네요. 방송국뿐 아니라 이 나라가 어떻게 돌아가는지 참 개탄스러움,2014-06-27,10.0,lily,65653
명품 힐링 드라마.굿 잡,2014-06-27,10.0,꼬막이,65653
mbc 보도국에서 드라마국의 비판 의식을 본 받았으면 합니다.,2014-06-27,10.0,원만히살자,65653
얘기 할만하니까 끝내버리네.,2014-06-27,9.0,까막눈,65653
재미있었습니다. 좀더 길었으면 했는데...,2014-06-27,10.0,오래된,65653
"법, 정치, 언론이 타락한 세상 뉴스도 더 이상 신뢰할수 없다.이런 드라마가 세상을 바꾼다.(그럴수록 막장 쓰레기드라마도 더욱 양상되겠지만...)",2014-06-27,10.0,닭살돋네,65653
정말 재미있고 감명 깊게 봤습니다 조기 종영 너무 아쉬워요,2014-06-27,10.0,okneuro,65653
"엔딩이 너무 맘에들었습니다. 다른 드라마는 11시 오분도 넘겨서 하던데, 이드라마는 정말 11시 정각에 칼같이 끝나데요. 돌아서면 한시간이 끝나는..",2014-06-27,10.0,수,65653
항상내가 볼만하다고 하는프로는 시청률이 안나와 야 뭐 저딴 막장쓰레기드라마가 다있냐 하면 시청률은 잘나와,2014-06-27,10.0,praud,65653
♥,2014-06-27,10.0,제시,65653
김명민씨 정말 최고의 배우이시네요... 자랑스럽습니다... 조만간 드라마에서 빨리 뵙고 싶네요 !! 드라마에 자주 출연해 주세요!!! ^ㅡ^,2014-06-27,10.0,16강갑시다명보v,65653
"보기 드물게 치밀했던 드라마, 주연인 김명민님, 김상중님의 연기가 일품이었다.나즈막하게 설득시키는 지성의 힘을 보여준 드라마.조기 종영만 아니었다면 더욱 치밀한 구성과 스토리 전개를 보여주었을 텐데, 아쉽다.김석주만 개과천선 시킬 게 아니라 시청률만 따지는 방송사도 개과천선을!",2014-06-27,10.0,haroo,65653
악명 높은 최작가 다시 봤음. 앞으론 예술가의 시니컬함으로 이해하겠음. 대물의 오종록PD와 찍으면 핵폭탄급 드라마가 탄생할 것 같음.,2014-06-27,10.0,회향,65653
tvN에서라면 시리즈물로 했을텐데... 현 정권의 MBC에서 이런 드라마가 계속 방송되긴 힘들었겠지.  맛만 봤는데 그릇 뺏긴 느낌이다.  속상할 정도로 황망스런 종영...  MBC 정말 짜증난다. 이런 드라마를 서둘러 종영시키다니!!!,2014-06-27,10.0,해파리,65653
"오랜만에 가슴 벅찬 드라마.. 엔딩 올라갈때 정말 서운했네요~ 작가, 연출, 배우분들 모두모두 수고하셨어요~ 김명민님!! 알라뷰~ ㅠ.ㅠ",2014-06-27,10.0,여름꽃,65653
"간만에 탄탄한 스토리의 드라마
마지막회까지 긴박하게 흘러가는 최고의 드라마",2014-06-27,10.0,커피향기,65653
"이 드라마는 16회가 아니라 160회를 했어야 했다!김명민씨, 김상중씨, 오정세씨, 그리고 성함을 모르겠지만 로펌 부대표님, 박민영씨 연기도 눈 호강!  이렇게 멋진 드라마가 겨우 16회로 막을 내리다니 너무나 아쉽다. 작가님~ 다음 작품 완전 기대하고 있겠습니다.",2014-06-27,10.0,꿈꾸는 감자,65653
처음은있쓰놔!!!!!!!!!!!!!!!!!!!!!!!!!!!!!끝은없었다!!!!!!!!!!!!!!!!!!!!!!!!!!!!!김상중씨다음드라마에서봐요!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!진이한씨또다른드라마에서봐요!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!늘!~!~!~건강잘챙기세요!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!,2014-06-27,10.0,나근영,65653
왜 착하게 살아야 하는지 알려주는 드라마 였다. 이시대에 많은 김석주가 있기를 바란다.,2014-06-27,10.0,알비레오,65653
첨 몇회는 정말 기대감 갖게 했는데 이런 좋은 소재를 용두사미로 급하게 마무리 하다니 쯔쯔... MBC 찌끄레기들만 있나,2014-06-27,1.0,Peterpen,65653
오랜만에 정말 멋지고 신선하고 통쾌한 드라마였습니다. 사회 현실을 잘 풍자하고 법에 대해 어렵지만 알수 있는 시간이었는데 끝나니 너무 아쉽습니다. 배우들도 모두 넘 멋지고 연기도 멋졌는데...작가님~ 이런 멋진 작품 감사합니다. 시즌 2 꼭 나오길 기대합니다... 꼭!!!이요^^,2014-06-26,10.0,영이,65653
시즌 2가 기대되네요~,2014-07-08,10.0,뽀로롱,65653
잘 다듬어서 시즌제로 하면 미드 뺨후려칠텐데.,2014-07-07,10.0,홍순상,65653
개천 2탄 준비해주시오!!!,2014-07-07,10.0,여신님,65653
잘 다듬어서 시즌제로 하면 미드 뺨후려칠텐데.,2014-07-07,10.0,홍순상,65653
개천 2탄 준비해주시오!!!,2014-07-07,10.0,여신님,65653
