comment,date,score,user,title
갓보통! 짜응! ㅋㅋ,2014-02-23,10.0,삼촌은겨울좋아,65653
예쁜남자! 짜응! ㅋㅋ,2014-02-22,10.0,삼촌은겨울좋아,65653
보통아! ㅜㅜ 김연아 금메달 도둑맞았어. 아놔 빡쳐 이사태를 어찌해야하냐? ㅜㅜ 오늘저녁 8시50분 KBS2TV 다큐멘터리 아디오스 김연아 많은시청바랍니다.,2014-02-21,10.0,삼촌은겨울좋아,65653
잇힝! ㅎㅎ,2014-02-20,10.0,삼촌은겨울좋아,65653
보통이! 얼마면 되갓어?,2014-02-19,10.0,삼촌은겨울좋아,65653
보통이! 삽니다.,2014-02-18,10.0,삼촌은겨울좋아,65653
매회 새로운 인물이 계속 나오는게 재밌었어요. 등장인물 이름도 독특해서 좋았습니다.,2014-02-18,7.0,나즈마키,65653
산다.,2014-02-17,10.0,삼촌은겨울좋아,65653
삽니다!,2014-02-16,10.0,삼촌은겨울좋아,65653
사요,2014-02-15,10.0,삼촌은겨울좋아,65653
보통! 아 노다메 칸타빌레 여주인공 ㅊㅋㅊㅋ 혀 ㅎㅎㅎ,2014-02-14,10.0,삼촌은겨울좋아,65653
보통! 하면 갓보통! 김보통! 짜응! ㅋㅋ,2014-02-13,10.0,삼촌은겨울좋아,65653
갓보통! 짜응! ㅋㅋ,2014-02-12,10.0,삼촌은겨울좋아,65653
김보통! 짜응! ^^,2014-02-11,10.0,삼촌은겨울좋아,65653
보통! 아 ㅜㅜ,2014-02-10,10.0,삼촌은겨울좋아,65653
^^,2014-02-09,10.0,삼촌은겨울좋아,65653
보통이님 최고!~,2014-08-20,10.0,김종수,65653
소름돋네..,2014-07-30,5.0,중원이,65653
팬들ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,2014-05-03,0.0,콩,65653
보통이님 최고!~,2014-08-20,10.0,김종수,65653
소름돋네..,2014-07-30,5.0,중원이,65653
팬들ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,2014-05-03,0.0,콩,65653
보통이! 아응! ㅋㅋ,2014-04-06,10.0,삼촌은겨울좋아,65653
보통이! 사랑한드! ㅜㅜ,2014-03-15,10.0,삼촌은겨울좋아,65653
보통이! 오늘 케이윌의 영스트리트 최고 근대 녹방인게 좀 아쉽 ㅋㅋ,2014-03-14,10.0,삼촌은겨울좋아,65653
"보통아! 푸른밤, 정오의아침 최고엿구만 ㅋㅋㅋ",2014-03-13,10.0,삼촌은겨울좋아,65653
날아라! 보통아! 고고고고고고,2014-02-05,10.0,삼촌은겨울좋아,65653
달료! 달료! 고고고고고!,2014-02-04,10.0,삼촌은겨울좋아,65653
ㅎㅇ 보통! ㅋㅋ,2014-02-03,10.0,삼촌은겨울좋아,65653
아이유를 선택한 책임...시기적로도 좋지 않았지.. 여러사람 피본 드라마,2014-01-19,0.0,dltnwls,65653
보통 보통 김보통 갓보통 어린이 달려라 날아라 ㄱㄱㄱㄱㄱㄱㄱㄱ,2014-01-18,10.0,삼촌은겨울좋아,65653
ㅋㅋㅋㅋㅋㅋ,2014-01-18,0.0,지구별여행자,65653
보통이 달료 달료 ㄱㄱㄱㄱ,2014-01-17,10.0,삼촌은겨울좋아,65653
재미있어요...,2014-01-17,10.0,그녀는예뻣다,65653
장근석 예쁜남자 사랑비 무너지네,2014-01-10,0.0,너에게,65653
최종회 2.3% 시청률이 자체 최저기록하는 드라마도 있구나.  남주여주 책임이 가장 크다.,2014-01-10,1.0,마네키네코,65653
장근석 살 많이 찐듯...특히턱살...미남때가 그리움...예쁜남자 시청률은 낮았지만 정말 잼있게 잘봤음...끝나니까 많이 아쉽네,2014-01-10,10.0,행복한세상,65653
장근석 독고마테 대박이구랴... 연기력 최고!!!,2014-01-10,10.0,호빵맨세균맨,65653
오늘 끝나다니 ㅜㅜ 이제 마테 못본다니 눈물이ㅜㅜ 끝까지 화이팅!!!!,2014-01-09,10.0,모찌9339,65653
오늘 마지막이네요ㅜㅜ아이유 화이팅~ 멋진 김보통이였어^^,2014-01-09,10.0,Amelia,65653
사랑하는 이의 미소를 지키기 위해 나는 무었을 하고있는지 고민하게 되는 8일자 예쁜남자..매회 배운것들이 살면서 문득문득 떠올라서 드라마에게 감사를~,2014-01-09,8.0,미리미리,65653
막지막회라니 벌써... ㅠㅠ 마테야... 고맙다... 예쁜남자 화이팅!!!,2014-01-09,10.0,호빵맨세균맨,65653
여기에 별점10 준 사람들 너무 한거 아니냐? 팬심은 팬심이지..작품의 완성도까지 팬심으로 사기치냐? 작작좀해라!,2014-01-09,0.0,비싼라면박스,65653
^^,2014-02-08,10.0,삼촌은겨울좋아,65653
아이유빨아닌가???,2014-02-08,5.0,유서진,65653
보통! 아 삼촌하고 2014 소치 동계올림픽 개막식 본방사수! 같이보자 ㅜㅜ,2014-02-07,10.0,삼촌은겨울좋아,65653
^^,2014-02-06,10.0,삼촌은겨울좋아,65653
보통이! 아응! ㅋㅋ,2014-04-06,10.0,삼촌은겨울좋아,65653
보통이 신곡 초대박 예감! ^^,2014-04-05,10.0,삼촌은겨울좋아,65653
"보통이! 신곡 봄, 사랑, 벛꽃말고 4월8일 기대만빵중! ㅎㅎ",2014-04-01,10.0,삼촌은겨울좋아,65653
보통이! 깍꿍깍꿍! 우쭈쭈쭈쭈쭈쭈쭈! 베시시시시! 아앙! ^^,2014-03-30,10.0,삼촌은겨울좋아,65653
보통이! 베시시시! ㅋㅋ,2014-03-29,10.0,삼촌은겨울좋아,65653
보통이! 굿나잇! ㅎㅎ,2014-03-28,10.0,삼촌은겨울좋아,65653
보통이! 가 최고야! ㅋㅋ,2014-03-27,10.0,삼촌은겨울좋아,65653
보통이! 어린이 짜응! ㅋㅋ,2014-03-26,10.0,삼촌은겨울좋아,65653
갓보통! 짜응! ㅋㅋ,2014-03-25,10.0,삼촌은겨울좋아,65653
보통아! 홍콩팬미팅 잘 갓다왓니? ㅎㅎ,2014-03-24,10.0,삼촌은겨울좋아,65653
보통아! 홍콩팬미팅! ㅊㅋㅊㅋ 혀! ㅎㅎ,2014-03-23,10.0,삼촌은겨울좋아,65653
보통이! 가 최고시다. ㅎㅎ,2014-03-21,10.0,삼촌은겨울좋아,65653
보통이! 짜응! 헤헤,2014-03-20,10.0,삼촌은겨울좋아,65653
보통이 신곡 초대박 예감! ^^,2014-04-05,10.0,삼촌은겨울좋아,65653
"보통이! 신곡 봄, 사랑, 벛꽃말고 4월8일 기대만빵중! ㅎㅎ",2014-04-01,10.0,삼촌은겨울좋아,65653
보통이! 깍꿍깍꿍! 우쭈쭈쭈쭈쭈쭈쭈! 베시시시시! 아앙! ^^,2014-03-30,10.0,삼촌은겨울좋아,65653
보통이! 베시시시! ㅋㅋ,2014-03-29,10.0,삼촌은겨울좋아,65653
보통이! 굿나잇! ㅎㅎ,2014-03-28,10.0,삼촌은겨울좋아,65653
보통이! 가 최고야! ㅋㅋ,2014-03-27,10.0,삼촌은겨울좋아,65653
보통이! 어린이 짜응! ㅋㅋ,2014-03-26,10.0,삼촌은겨울좋아,65653
갓보통! 짜응! ㅋㅋ,2014-03-25,10.0,삼촌은겨울좋아,65653
보통아! 홍콩팬미팅 잘 갓다왓니? ㅎㅎ,2014-03-24,10.0,삼촌은겨울좋아,65653
보통아! 홍콩팬미팅! ㅊㅋㅊㅋ 혀! ㅎㅎ,2014-03-23,10.0,삼촌은겨울좋아,65653
보통이! 가 최고시다. ㅎㅎ,2014-03-21,10.0,삼촌은겨울좋아,65653
보통이! 짜응! 헤헤,2014-03-20,10.0,삼촌은겨울좋아,65653
보통이! 잇힝! ㅋㅋ,2014-03-19,10.0,삼촌은겨울좋아,65653
보통이! 내일 드디어 쇼챔출격! 으다다다다 ㅎㅎㅎ,2014-03-18,10.0,삼촌은겨울좋아,65653
꿈을 펼쳐라 보통이! ㅋㅋ,2014-03-12,10.0,삼촌은겨울좋아,65653
날아라 보통이! ㅋㅋ,2014-03-11,10.0,삼촌은겨울좋아,65653
달려라 김보통! ㅋㅋ,2014-03-09,10.0,삼촌은겨울좋아,65653
보통아! 티몬 정보유출 됏단다. 티몬 절대쓰지마렴 ㄷㄷㄷㄷ 쿠팡이 대세 고고고고,2014-03-08,10.0,삼촌은겨울좋아,65653
아이유쫘쫘응! ㅎㅎ,2014-03-07,10.0,삼촌은겨울좋아,65653
오늘도 달려라 김보통! ㅋㅋ,2014-03-06,10.0,삼촌은겨울좋아,65653
보통아! 내일도 날아보자꾸나 ㅎㅎ,2014-03-05,10.0,삼촌은겨울좋아,65653
보통아! 굿나잇! ^^,2014-03-04,10.0,삼촌은겨울좋아,65653
독고마테 미스캐스팅,2014-03-04,3.0,승윤x태현,65653
보통아! 곳 전쟁터질지 모른다. 주위 근처 견고한 지하벙커 안에 짱박혀있어라 ㄷㄷㄷㄷㄷ,2014-03-03,10.0,삼촌은겨울좋아,65653
아이유! 최고당깨! ^^,2014-03-02,10.0,삼촌은겨울좋아,65653
두말하면 입아프제 ^^,2014-03-01,10.0,삼촌은겨울좋아,65653
아이유짜짜짜응! ㅎ.ㅎ,2014-02-28,10.0,삼촌은겨울좋아,65653
아이유짜짜응! ㅋ.ㅋ,2014-02-27,10.0,삼촌은겨울좋아,65653
아이유짜응! ㅎ.ㅎ,2014-02-26,10.0,삼촌은겨울좋아,65653
보통이! 파이팅! ^^,2014-02-25,10.0,삼촌은겨울좋아,65653
보통! 아 ㅜㅜ,2014-02-02,10.0,삼촌은겨울좋아,65653
보통이 한태 새배받고 새뱃돈 주고싶다. ㅜㅜ,2014-02-01,10.0,삼촌은겨울좋아,65653
김보통! 어린이 새해복많이 받으렴 ^^,2014-01-31,10.0,삼촌은겨울좋아,65653
보통! 아 오늘 축구졋어 4 : 0 으로 참패 ㅜㅜ,2014-01-30,10.0,삼촌은겨울좋아,65653
