comment,date,score,user,title
감동...,2014-08-20,10.0,현진아빠,65653
다시한번더 보고싶음```다시보고싶다 작년이 너무그립다 너``````목들 때문에 인기가 떨여져서,2014-08-18,10.0,백종현,65653
"어찌보면 마여진은 교육계의 정도전
마여진의 대사 하나하나가 너무나도 와닿았다
이건 학생들이 봐야하는데 학생들은 의외로 너목들을 많이 보길래",2014-07-23,10.0,지구아이,65653
"여왕의 교실은 너무나도 아쉽게 끝났지만
생방송이 있어서  걱정하지  않아도  됍니다",2014-05-14,10.0,스끼,65653
굉장히 좋은 점수를 주고싶었지만 부족하다고 느낀점은.. 일드에서는 세세하게 다룬 마선생의 과거 내용이 너무 허전하게 그냥 말로만 넘어간다는점이다.. 또한 한국판에서의 마선생이 학생들을 위해 일부러 냉정하게 하는 점을 가끔 원래는 따뜻한 속뜻이 있다는 점이 15회가 될때까지 안나온게 아쉬웠다.,2014-05-09,8.0,KaRu,65653
김새론 양 최고예요,2014-04-27,10.0,파워레인저,65653
"다시보기로 몰아봤는데..
너무 재밌었어요..
아직못보신분들 꼭 보세요~
마여진선생님과 6-3아이들의 매력에 푹 빠지실거에요..",2014-03-16,10.0,프리지아,65653
도도한메스님아 닥치셈 어쨋든 개잼 지금도 하루에 1편씩 보지 않으면 입 안에 가시가 돋침.ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,2014-01-24,10.0,이별꽃e,65653
ㅎㅎㅎㅎㅎㅎㅎㅎㅎㅎㅎㅎㅎㅎㅎㅎㅎㅎㅎ,2013-12-07,10.0,서율아,65653
아.. 이런 젠장. 걸작이다.,2013-12-07,10.0,맛살,65653
"방송죵료지금바로하새요,,기상합니다,,드라마중영",2013-11-22,9.0,착한울산,65653
일본 똥이나 핥타라 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,2013-11-15,0.0,도도한메스,65653
재밌게 잘봤습니다,2013-11-03,9.0,마바라,65653
완전 재밌어요!! 특히 향기언니와 새론언니 너무너무 조아요~ 여왕의 교실2했음 좋겠다~,2013-10-27,10.0,달콤한_슈슈,65653
.,2013-10-13,10.0,신용진,65653
재미있당..,2013-10-11,10.0,날다람쥐,65653
작품은 아주좋았다.하지만 원작과 비교해서 대사 행동 모두다 같은건 쫌 아니었던것같다. 휘발유를 붓는것빼고는 한국아이들과 맞는것같지만 휘발유에서 현실성이 떨어졌다.하지만 나는 여왕의교실스폐셜이 한국에서도 한다면 볼것이다,2013-10-08,9.0,랄ㄹ라라랄라,65653
우리 반 애들다~ 여왕의 교실 알아요~ 마지막 화에서 울었어요~!여왕의 교실 광팬입니다~!,2013-10-06,10.0,단비,65653
감동...,2014-08-20,10.0,현진아빠,65653
다시한번더 보고싶음```다시보고싶다 작년이 너무그립다 너``````목들 때문에 인기가 떨여져서,2014-08-18,10.0,백종현,65653
작가님. 얘들 좀 그만 울려요!! ㅠㅠ,2013-09-30,10.0,덮쳐보니 마누라,65653
원작보다 낫다고 봄.. 연기들도 훨 잘하고,2013-09-29,10.0,RockASin,65653
"어찌보면 마여진은 교육계의 정도전
마여진의 대사 하나하나가 너무나도 와닿았다
이건 학생들이 봐야하는데 학생들은 의외로 너목들을 많이 보길래",2014-07-23,10.0,지구아이,65653
"여왕의 교실은 너무나도 아쉽게 끝났지만
생방송이 있어서  걱정하지  않아도  됍니다",2014-05-14,10.0,스끼,65653
굉장히 좋은 점수를 주고싶었지만 부족하다고 느낀점은.. 일드에서는 세세하게 다룬 마선생의 과거 내용이 너무 허전하게 그냥 말로만 넘어간다는점이다.. 또한 한국판에서의 마선생이 학생들을 위해 일부러 냉정하게 하는 점을 가끔 원래는 따뜻한 속뜻이 있다는 점이 15회가 될때까지 안나온게 아쉬웠다.,2014-05-09,8.0,KaRu,65653
김새론 양 최고예요,2014-04-27,10.0,파워레인저,65653
"다시보기로 몰아봤는데..
너무 재밌었어요..
아직못보신분들 꼭 보세요~
마여진선생님과 6-3아이들의 매력에 푹 빠지실거에요..",2014-03-16,10.0,프리지아,65653
도도한메스님아 닥치셈 어쨋든 개잼 지금도 하루에 1편씩 보지 않으면 입 안에 가시가 돋침.ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,2014-01-24,10.0,이별꽃e,65653
ㅎㅎㅎㅎㅎㅎㅎㅎㅎㅎㅎㅎㅎㅎㅎㅎㅎㅎㅎ,2013-12-07,10.0,서율아,65653
아.. 이런 젠장. 걸작이다.,2013-12-07,10.0,맛살,65653
"방송죵료지금바로하새요,,기상합니다,,드라마중영",2013-11-22,9.0,착한울산,65653
일본 똥이나 핥타라 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,2013-11-15,0.0,도도한메스,65653
재밌게 잘봤습니다,2013-11-03,9.0,마바라,65653
완전 재밌어요!! 특히 향기언니와 새론언니 너무너무 조아요~ 여왕의 교실2했음 좋겠다~,2013-10-27,10.0,달콤한_슈슈,65653
.,2013-10-13,10.0,신용진,65653
재미있당..,2013-10-11,10.0,날다람쥐,65653
