comment,date,score,user,title
좀 현실성이 떨어지긴 하지만... 드라마는 그냥 드라마니까요... 잼있어요^^*,2014-04-13,10.0,디오즈,65653
"ㅋㅋ 주상욱 연기, 이젠 지겹다",2014-04-13,0.0,설악산하늘아래,65653
전개가 너무 현실성 없지만 로코물이라 귀엽게 봐줌ㅋㅋ 꿀잼ㅠㅠ 주인공들 다좋아,2014-04-13,9.0,마빡이,65653
난 왜 이 평점들이 다 조작 같지?,2014-04-12,5.0,콘크리트에핀장미,65653
"상큼발랄 해서 보면 볼수록 재미남
불륜 막장도 없고 주연 배우들 연기도 짱
엔돌핀 팍 팍",2014-04-12,10.0,jhlee,65653
9.1%로 시청률 올랐네..수도권은 10.6%..전국도 두자리 가겠다..앙돌 볼수록 꿀잼,2014-04-11,10.0,미키짱,65653
어제 국승현... 왜캐 밉던지...ㅠㅠ 정우랑 애라 넘 안타까움...,2014-04-11,10.0,Rubber lover,65653
ㅋㅋ 8% 시청율.........그만한 이유가 있었다,2014-04-11,3.0,에딘버러,65653
재밌어요!!,2014-04-11,10.0,김요키,65653
"넘 잼있음~주상욱  짱 멋져 .,",2014-04-11,10.0,geung,65653
"1회부터 시청하는 애청자입니다ㅜㅜ담주면 막방이네요
아쉽다ㅜㅜ 담주까지 또 어떡해 기다리노ㅜㅜ
넘 재밌어요
꼭 잘됐으면좋겠어요",2014-04-10,10.0,권수민,65653
주상욱b,2014-04-10,10.0,좋은느낌,65653
꿀잼~~알콩달콩 수목이 쒼나,2014-04-10,10.0,무,65653
주상욱... 넘 멋져요. 첨에 내용이 넘 잼없을 줄 알았는데 넘넘 가슴이 따뜻해지고 흐뭇하네요.,2014-04-10,10.0,minema,65653
달달해도 너무 달달해...  하루종일 주상욱만 보여ㅠㅠ,2014-04-10,10.0,jinwendy,65653
가슴 찡하고 재미있는 드라마입니다.. 결혼생활 하다보면 고비가 늘 있죠. 생각하게 만드는 드라마. 좋아요. 주상욱 넘 멋져요,2014-04-10,10.0,sjs1,65653
달달한드라마 요즘 이드라마 보는낙으로 살아요,2014-04-10,10.0,efield53,65653
마음이 편해져서 꼭 본다.,2014-04-10,10.0,작은나무,65653
그냥 편하게 볼 수 있는 드라마였음 합니다. 뜬금없는 갈등구조 뭐 그런거 넣지 말고..왜 갑자기 승현이가 악역처럼 바뀝니까? 예고보니 보기 싫어집니다.,2014-04-10,7.0,푸른바다,65653
아웅.... 어제 못 봄...,2014-04-10,10.0,Rubber lover,65653
살다 헤어졌다 다시만나니 서로의 마음이 깊이남아있으니  공감하는 부분이다 .결혼했다는건 얼마나 서로가 가까운 사람들이었다는걸 좀 알 고 그들을 다시 가깝게 밀어주는 그런 사람들이되면 좋겠다,2014-04-05,10.0,잠꾸러기,65653
아아~~~,2014-04-05,1.0,지루바,65653
나애라역의 이민정의 화사하고 사랑스런 모습과 나애라를 대할때만은 덜떨어진 표정과 목소리의 차정우역의 주상욱 때문에 일주일 내내 행복하다. 이들의 알콩달콩 사랑 싸움이 오래되었으면 좋겠다.,2014-04-04,10.0,아름다운은혜,65653
주상욱씨의 코믹스러우면서도 자연스런 연기땜에 본다.. 내용보다 연기가 최고!,2014-04-04,10.0,봄향기,65653
귀여운드라마ㅎㅎㅎ,2014-04-04,10.0,웃어요,65653
재미있쪄,2014-04-03,10.0,미춰버려,65653
뒤늦게 챙겨보고 싶었는데ㅋㅋㅋㅋㅋ완전재밌게보고있어용ㅜㅜㅜㅜ드라마 나오는 배우분들 다들 최고에용,2014-04-03,10.0,낙타,65653
"드라마 자체의 밝고 통통튀는 느낌과 주상욱, 이민정씨의 연기가 배가 되어 더 빛을 발하는것 같네요.",2014-04-03,10.0,카모마일,65653
완전 잼 있어... 이민정 넘 예쁘고 사랑스럽고... 주상욱 완전 멋쩌...어수룩 연기의 제왕... 귀엽기까지...상큼 발랄 이 봄에 딱 맞는 드라마~** 홧팅!!!,2014-04-04,10.0,오아시스,65653
이민정 연기 정말 너무 못함!~,2014-04-04,0.0,mm,65653
정시에는 못보고 시간날때마다 챙겨서 보는 유일한드라마입니다. 주상욱씨 리얼하게 연기 잘하시네요. 정말 스트레스가 확 풀립니다.  앞으로 이런 드라마 좀 많이 나왔으면 좋겠네요. 넘 잼있어요.,2014-04-04,10.0,강경,65653
어제 레스토랑에서 졸다가 깨는 신 있었는데 완전 빵 터짐... 어케나 능청스럽게 연기를 잘 하는지..ㅋㅋ,2014-04-04,10.0,Rubber lover,65653
"입가에 미소가 저절로 나오네..즐겁소주상욱님  넌잘생겼다. 멋지네,코믹연기까지 칭얼거리는 말투 어쩜어울리는지,홧팅!전생에 뭘했기에 그리 잘나셨는지오!",2014-04-04,10.0,이쁜이,65653
요즘 드라마 하나같이 칙칙한데 이런 밝은드라마 좋아요~ㅋㅋ나애라만 만나면 말투가 바뀌는 차정우 귀여움ㅋㅋㅋㅋㅋ,2014-04-04,9.0,kime,65653
마지막 키스씬에 제가 다 눈을 감아 버렸어요...ㅋㅋ너무 떨리고...근데..한가지 흠이라면...키스가 입술이 고정되어 있네요..키스 안 해보셨어요???,2014-04-04,10.0,아이넷맘,65653
