comment,date,score,user,title
내용도.. 배우도 넘 좋았네요.. 연말시상식까지 고고~,2013-11-22,10.0,ejshvdl,65653
소년같은 순수함 과 터프함을 소유한 배우 지성 대상 GOGO!!!!!!!!!!!!!,2013-11-22,10.0,rubby,65653
다른 역 보다 가장어려웠던 역을 재창조해낸 노력이 보입니다 지성씨 대상 감...조민혁이 매력적이지 않았다면 성공못했을 비밀입니다 지성씨 대상 꼭주세요 강력추천 고고!!,2013-11-22,10.0,새라,65653
ㄱ짱,2013-11-21,10.0,김은지,65653
지성 연기대상 !!!!!!gogo!!!!!!!!!!!!!!!11,2013-11-21,10.0,rubby,65653
한국드라마의 새로운 시작!,2013-11-21,10.0,이나리,65653
"끝났지만 끝나지 않은 기분, 지성, 황정음씨 인터뷰좀 해주세요",2013-11-21,10.0,비밀짱,65653
수요일 비밀이 없어 상속자 봤다~^^비밀 다시또 봐야지~^^,2013-11-21,10.0,풀하우스,65653
"다시보기를 해도해도 넘 재미있네요. 지성연기너무좋고 사랑스러워요~ 황정음씨,배수민씨도 연기좋았어요. 넘 많이 울고 감동받았네요. ^^",2013-11-21,10.0,실비아,65653
대기업 사이에서 살아남은 벤쳐느낌이랄까...대다나다,2013-11-20,10.0,badbatboy,65653
오늘10시 17회 기다립니다.......,2013-11-20,10.0,둥이맘,65653
"매일 복습 또 복습해도 마음 찡해지는 아름다운 드라마~ ost도 너무 멋지고 연출 짱이고, 눈물 바람 날리는 정통 멜로를 이렇게 고급스럽게 보여주는 최고의 드라마~",2013-11-20,10.0,grace,65653
하루에 한편씩 다시보기로 또 보고 또 봐도 손을 뗄수 없는 이 드라마.  어쩌죠?..  비밀홀릭 빠져나오기 정말 힘든..  이런 드라마 처음입니다. 처음!!!^^,2013-11-20,10.0,cutesnake,65653
끝나도 끝난게 아닌. 정말 여운이 남는 드라마. 비밀. 최고최고입니다.!!!100점 만점에 100점. 오늘이 수욜인데.. 그립다.비밀..,2013-11-20,10.0,핸드크림,65653
10점 만점에 10점~~최고의 드라마였어요.,2013-11-20,10.0,늘봄,65653
진짜 스토리 짱짱합니다 - 황정음씨 연기 정말 많이 늘었구요정말 재미있습니다 후 ...,2013-11-19,10.0,어쩌라고,65653
정말 이런 드라마 처음입니다. 끝났지만 10점 드립니다,2013-11-19,10.0,비밀짱,65653
"황정음 연기력에 감탄하면서...조민혁의 순간순간의 눈연기, 포즈...정말 최고의 연기자들이다..최고 연기자들의 표현속에 푹 빠져 평점을 안줄수 없어서 난생처음 평점을 줘 봅니다.",2013-11-19,10.0,정성희,65653
황정음 연기공부 많이 햇나보네 연기 잘한다 황정음씨 항상 화이팅,2013-11-19,10.0,김민수,65653
"올해 주군의 태양과 비밀 두 드라마 밖에 보지 못했는데 주군의 태양보다 더 재밌게 봤어요~ 소지섭 진짜 좋아하는 배우인데 비밀의 네 배우가 정말 극중에 몰입했다는 것을 느낄 수 있었음, 특히나 황정음의 재발견!!! 배우시네요. 이제~~",2013-11-18,10.0,wonder1004,65653
멋진드라마 즐거웟습니다.....,2013-11-15,10.0,알프레드,65653
생각보다 재미있더라 ............,2013-11-15,10.0,ㅇㅍㅇ,65653
최고에요!! 과정도 결말도 정말 최고입니다!!! 마지막이 이렇게 행복하게 느껴지는 드라마 처음이에요. 모든 배우분들과 제작진들께 감사!!,2013-11-15,10.0,박현아,65653
끝났다 … 순식간이었다 … 「비밀」진짜 재미있었다. 모두 최고!! 　이 작품에 만날 수 있어서 정말로 좋았다!! 　HAPPY END에서 좋았다∼~*^^*　유정도 드디어 행복하게 될 수 있었네요∼^^  저렇게 즐거울 것 같아서 행복할 것 같은 키스는 처음으로 보았다~♡　지성씨 키스 신이 정말로 능숙함~♡ㅋㅋ,2013-11-15,10.0,유링,65653
"배수빈 개쓰뤠기~완전개후라들넘  호로자슥 찌져죽이고싶다;;~아우;썅~~~~~~~퍽~~~~~~~~퍽~~~~~~~썅
야왕 수애보다더열받네;;",2013-11-15,10.0,신후,65653
연기! 극본! 연출!!!!!!! 최고의 드라마!!!!!!!!!!!!!,2013-11-20,10.0,rubby,65653
너무 재미있게 잘 보았습니다,2013-11-20,10.0,비밀짱,65653
"지성 연기 짱 이보영과 결혼축하,,축하해요,,, 비밀드라마 지성과정음 연기조와습니다,,지성 화,,이,,팅,,?",2013-11-20,10.0,나오미,65653
케이비에스가 제대로 찍었네.,2013-11-20,10.0,지니영,65653
올해 최고의 드라마!!!!  비밀!!!!!!!!!!!!!!!!!!!!!!11,2013-11-19,10.0,rubby,65653
아직 비밀을 보지 않았다면.. 보고 말해라...이만한 드라마를 보지 못했다..,2013-11-18,10.0,제피로스,65653
황정음 쓸대소리 나면서 연기자 된거네,2013-11-18,10.0,정지성,65653
"배우들의 열연이 정말 돋보였다. 1회때의 지성과 16회의 지성을 보면, 정말 민혁이가 성장하고 성숙해짐을 느낀다. 지성의 연기에 찬사를 보낸다. 멋지다.비밀.~최고~~~  마지막 엔딩은 21세기 최고의 장면이다~~",2013-11-18,10.0,핸드크림,65653
"올해 상반기는 나인, 여름엔 너목들, 가을엔 비밀까지... 올해는 유난히 웰메이드 드라마가 풍년이구나. 지금껏 봤던 정통멜로중에서 비밀이 단연 최고라고 말하고 싶다. 맛깔나는 대사와 신선한 연출, 소름끼치는 연기, 탄탄한 스토리 텔링까지... 이건 뭐 말이 필요가 없다. 다음 작품이 더욱 기대되는 명콤비다.",2013-11-18,10.0,유지인,65653
