comment,date,score,user,title
"박유천, 손현주, 박하선, 소이현 등 주연배우들의 탄력있는 활약 정말 멋졌습니다.뭔가가 아쉽긴 하지만 정말 그 쓰릴있는 드라마 잘봤습니다.",2014-05-02,10.0,jonghyeok0227,65653
"좋은 드라마 잘 보았습니다. 뭉클, 감동, 설레임 모두 좋았습니다.",2014-05-02,10.0,중용,65653
삼천포로빠지지않아서다행!!!!!!!!!!!!!!!!!!!!!!!!!박유천씨다음드라마에빨리놔와주세요!!!!!!!!!!!!!!!!!!!!!!!!!저는장애가심해서TV로드라마만볼수있거든요!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!부탁합니다박유천씨!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!,2014-05-02,10.0,나근영,65653
ㅋㅋ 소문난 잔치에 먹을 거 없다더니,2014-05-02,0.0,wbawba,65653
모두모두 수고하셨습니다....유천아...고마워...^^,2014-05-02,10.0,딸기공주,65653
최고의 드라마였습니다...끝까지 국민들을 위로하고 떠나는 따뜻한 드라마!!!,2014-05-02,10.0,준준,65653
"정말 쓰리데이즈 작가, 배우, 스텝분들 모두 모두 수고하셨습니다!!",2014-05-02,10.0,인헤븐,65653
"짝짝짝! 중후한 연기의 손현주님, 액션씬 & 분노씬 일품을 보여준 기특한 배우 박유천. 수고하셨어요. 이제 푹 쉬시길.^^",2014-05-02,10.0,엽기토끼,65653
"배우들분들,제작진분들 모두 고생하셨습니다. 최고의 드라마였습니다...",2014-05-02,10.0,하늘바다,65653
마지막을 희망으로 장식한 웰메이드 드라마였습니다. 한태경 이동휘이하 모두 수고하셨습니다,2014-05-02,10.0,흐르는 물,65653
많은 걸 느끼게해주는 드라마였어어요! 최고였습니다!,2014-05-02,10.0,LovelyYJ,65653
설정이나 구성이나 어설픈 면이 많지만 진짜 고생고생 찍었을거 같긴 하네노력의 박수 쳐주고 싶고 마지막 그 폭탄은.. 좀.. 너무 소박했음..,2014-05-02,8.0,딥임팩트,65653
잘했다 박유천 멋져!!!수고 많았어!!,2014-05-02,10.0,딸기,65653
박유천씨 너무 멋져요..예전에 가수였다는게 느껴지지 않을만큼... 이제 비쥬얼만큼이나 연기도 굿이에염^^ 다음작품도 기대하겠습니당~~,2014-05-02,10.0,Vittoria,65653
끝까지 폭탄참 소박하다 터지는곳도 어쩜..6회이후부터 작가가 필력이 떨어지더니... 신의선물과 마찬가지로 반전반전 하다가 허접하게 끝나는구나 경호원3명이 대통령 옆에 있을때가만히 있다가 갑자기 목숨걸고 죽일려고 하는구나 이건 정말.. 목숨걸거면 평소에 하면 끝났을건데 먼 설정인지 참..,2014-05-02,0.0,해피트리,65653
"유천이형, 한태경 경호관님 너무 멋졌어요. 미국에서 항상 응원합니다.",2014-05-02,10.0,비키,65653
쓰리데이즈팀 모두 감사드립니다. 오래 마음에 남을것 같습니다.,2014-05-02,10.0,breeze,65653
"흠...처음엔 범인이 2회만에 들어나서 앞으로 어떻게 끌어나가실려고 그러나 했는데...와 정말 시나리오는 탄탄하네요...박하선씨, 박유천씨, 소이현씨, 손현주씨 명품 연기 정말 잘봤습니다... ^^",2014-07-30,9.0,박진영,65653
역시 박유천이네요. 연기잘하고 마음을 울리는 진정성이 있어요.,2014-07-18,10.0,개나리,65653
"박유천 연기에 글을 쓴다.
어떻게 몇년이 지나도 변한게 없니....
모든 작품마다 똑같은 톤이야. 진심 동방신기 전체가 고등학생 연기했을때  엄청 옛날인데 그때랑 연기가 똑같아서 놀람.",2014-07-15,5.0,이룬다,65653
너무 잘 봤습니다!! 유령 사인도 잼나게 봤는데 김은희 작가님 넘넘 존경합니다!!!특히 쓰리데이즈는 하루에 몇 편씩이나 멈추지 못하고 봤네요연기자들도 넘 잘하고 멋졌습니다.!! 내용도 무한 감동이구요..ㅠ.ㅠ,2014-07-06,10.0,witmini,65653
쓰리데이즈의 경호관역  박유천 너무 멋졌어요,2014-07-04,10.0,tiffha,65653
한국최고의 드라마,2014-07-04,10.0,vuddks,65653
"흠...처음엔 범인이 2회만에 들어나서 앞으로 어떻게 끌어나가실려고 그러나 했는데...와 정말 시나리오는 탄탄하네요...박하선씨, 박유천씨, 소이현씨, 손현주씨 명품 연기 정말 잘봤습니다... ^^",2014-07-30,9.0,박진영,65653
역시 박유천이네요. 연기잘하고 마음을 울리는 진정성이 있어요.,2014-07-18,10.0,개나리,65653
"박유천 연기에 글을 쓴다.
어떻게 몇년이 지나도 변한게 없니....
모든 작품마다 똑같은 톤이야. 진심 동방신기 전체가 고등학생 연기했을때  엄청 옛날인데 그때랑 연기가 똑같아서 놀람.",2014-07-15,5.0,이룬다,65653
너무 잘 봤습니다!! 유령 사인도 잼나게 봤는데 김은희 작가님 넘넘 존경합니다!!!특히 쓰리데이즈는 하루에 몇 편씩이나 멈추지 못하고 봤네요연기자들도 넘 잘하고 멋졌습니다.!! 내용도 무한 감동이구요..ㅠ.ㅠ,2014-07-06,10.0,witmini,65653
쓰리데이즈의 경호관역  박유천 너무 멋졌어요,2014-07-04,10.0,tiffha,65653
그립다...보고싶다,2014-05-14,10.0,딸기공주,65653
쓰리데이즈팀 모두가 그립습니다. 멋진쓰리데이즈 오래 기억하겠습니다.,2014-05-14,10.0,비키,65653
5억 5천뷰 복합장르물 쓰리데이즈 화이팅!!!,2014-05-14,10.0,breeze,65653
아이리스2보단 재미있더라.  장혁보단 박유천이 연기가 후덜덜하지.,2014-05-14,2.0,동방불패,65653
재밌다고 추천해줘서 봤는데 보다 말았다. 젠장 작가가 문제야? 연출이 문제야? 연기가 문제야? sbs 첫 망작,2014-05-14,0.0,차원이동,65653
쓰리데이즈 재미있게 잘봤어요~,2014-05-08,10.0,lake1,65653
2달만에 최대동영상싸이트 역대한드 2위등극한 쓰리데이즈 멋지다.,2014-05-08,10.0,비키,65653
중국 5억1천만 3백뷰 돌파 (513402010) 하루 천만명이상 쓰리데이즈를 본다.대단하다!,2014-05-08,10.0,breeze,65653
갈수록...,2014-05-07,0.0,shiny,65653
"한국 첩보드라마를 10년 퇴보시킨 드라마. 아이리스나 아테나는 허접했지만 최소한 트렌드를 따르긴 했다. 하지만 쓰리데이즈에서 한거라곤, 고작 리플레이. 경찰, 군대 등 소재들에 대한 이해가 전혀없이 제복입고 총들면 끝... 한심하기 짝이없다.",2014-05-07,5.0,열이씨,65653
마지막까지 완벽했던 드라마,2014-05-07,10.0,곰두리,65653
쓰리데이즈한태경떠난자리넘허전해요....,2014-05-05,10.0,준준,65653
오늘 재방송까지 본방사수했어요. 잊지 못할 드라마입니다. 쓰리데이즈...!!!,2014-05-04,10.0,하늘바다,65653
태경아 벌써부터 보고싶다...,2014-05-04,10.0,딸기공주,65653
다시봐도좋은드라마~수고많으셨습니다!!!!!,2014-05-04,10.0,준준,65653
유치가~~~~~찬~~~란  합니다  ㅋㅋ,2014-05-04,5.0,민수,65653
모두 수고하셨고 감사합니다.,2014-05-02,10.0,겨울소녀,65653
"쓰리데이즈 왜까는지..고의적인 악플신경쓰지 마세요ㅋ마지막까지 잼나게 잘봤어요^^손현주님,박유천님 외 모든연기자,스텝분들 고생하셨구요..대통령은 국민을 지킨다는 명대사가 요즘들어 왜그러케 와닿는지ㅠ명품드라마 감사합니당^^",2014-05-02,10.0,뽀샤시,65653
흔해 빠진 그런 드라마가 아니라 너무 좋았고.. 끝나나 아쉽기만 하다..,2014-05-01,10.0,마빡이,65653
"모두고생하셨습니다
대본이 주는 교훈 
현재 우리나라에 꼭필요한것같네요",2014-05-01,9.0,jjang,65653
유천아 수고했다!!!끝까지 화이팅!!한태경도 바이!!!,2014-05-01,10.0,딸기,65653
메세지가 있는 드라마입니다. 잘 보고 있어요. 끝난다니 아쉽네요,2014-05-01,10.0,은혜,65653
벌써마지막이라니...아쉬워요~~~,2014-05-01,10.0,준준,65653
"박유천을 참 좋아하지만, 현대극에서는 한계가 있다고 봤는데요. 여전히 눈길을 사로잡는 매력이 있는 배우라는 생각이 들어요. 특히, 액션신을 보면 몸이 날렵하고 몸을 잘쓰며 감정도 적절히 배분하는 것 같더군요. 가능성을 보았어요. 내일이 종영이라니 다시 못보는 게 아쉽네요. 배우로서의 길을 항상 응원합니다",2014-05-01,9.0,엽기토끼,65653
음~~~그저그랬어,2014-05-01,2.0,쏘야,65653
오늘로 마지막회 종용이라니 많이 많이 아쉽네요 완전 몰입해서 본 드라마 중 하나였는데 한태경 경호관의 마지막 대활약 너무 궁금합니다.  어제 안길강경호본부장님이랑 경호원들이 모두 희생이 되어서 안타까웠는데 최원영의 최후가 어떻게 될지 궁금하구요,2014-05-01,10.0,창문,65653
"경호관을 대통령을 지키고, 대통령은 국민을 지키는 사람..너무 멋진 드라마, 너무 멋진 대통령...  그런 대통령을 살려주셔서 감사합니다.",2014-05-02,10.0,바다,65653
끝까지 남주 연기가,2014-05-02,0.0,shiny,65653
"김도진이 죽는다고 끝나는게 아니라고 한거 같은데, 결말이 뭔가 아쉽네요. 시즌2를 고려하고 이렇게 끝내는 건가 싶을 정도로...",2014-05-02,8.0,Gray,65653
한국드라마중 이만한 드라마 없다ㅜㅠ,2014-06-10,10.0,스욘,65653
보고싶다~,2014-05-23,10.0,진유2,65653
보고싶다,2014-05-22,10.0,딸기공주,65653
유천아 보고싶다,2014-05-20,10.0,딸기공주,65653
