comment,date,score,user,title
"뒤늦게 보고 감동받았어요. 매회 감동과 긴장감으로 흡입력이 엄청났던, 뭐 하나 빠지는 게 없는 정말 잘 짜여진 드라마라 일부러 평점 주러 왔어요. 이준기씨 드라마 처음 본건데, 연기 너무너무너무 잘 하시네요!! 동시간대 쟁쟁한 드라마에 밀려 시청률이 안 나온 게 아쉽네요 ㅜㅜ 상도 못 받다니 말도 안됨",2014-01-16,10.0,Hyun,65653
"모든 배우분들 연기좋았고,찾아보기 힘든 훌륭한 작품입니다.지금 다시보기하고 있고,연말시상식에 상을 못받아 무지 속상했어요.",2014-01-09,10.0,하늘,65653
"진짜사나이 류수영씨 나와서 뒤늦게 봤는데 짱이다
긍정왕의 반전 카리스마
스토리도 대박이고
2013년 mbc 드라마중 최고라는 말밖에 못하겠다",2014-01-09,10.0,써니,65653
dvd로 소장하고싶어요 지금 재탕하고 있는데 오래오래 제 가슴 속에 남을 멋진 작품인것 같아요 ^^,2014-01-02,10.0,코코a,65653
정말 자~알 만든 한편의 작품입니다. 모든 출연진들의 연기가 일품이네요.,2014-01-02,10.0,홈깡,65653
"2013년, 최고의 수작",2014-01-01,10.0,한글,65653
2013년 mbc 연기대상에서는 상 하나도 못 탄 투윅스지만 ㅜㅜ 내가 보기엔 2013년 mbc 드라마중에서 최고였어요!! 언젠가 케이블에서 금요일이나 토요일에 연속방송 또 해주면 좋겠네요.,2014-01-01,10.0,dorothy,65653
ㅜㅜ,2013-12-31,10.0,부표,65653
영화같은 드라마,2013-12-28,10.0,야후,65653
투윅스 다시봐도 명드! 지금 드라마큐브에서 전편을 방송해주네요  주말에 하면  방콕하고 볼 수 있을텐데 몇편만 더 보고 자야겠네요 엠비씨 이준기씨 대상주셔야해요 다른 연기자분들 연기상 작품상 주셔야해요 올해 지상파 중 최고에요 케이블은 나인이 최고이고요 투윅스팀 화이팅!,2013-12-26,10.0,토익완전정복,65653
김소연이 이렇게 연기를 못하다니 놀랍다.,2013-12-25,10.0,난다긴다,65653
박하선...연기정말 못하는구나..인현왕후때나 똑같냐...2편까지보고..평점좋아서 다 봐바야겟네...,2013-12-22,7.0,hjyhjy,65653
김소연대신 연기파 중년배우였다면 드라마 시청률이 5%는 올랐을것 같다. 공중파 드라마에서 피범벅도 좀 심했고.  주연배우 연기는 참 좋았는데 아쉽군요.,2013-12-21,9.0,ㅎㅎㅎ,65653
올해 mbc는 괴상망측한 막장 드라마 많았는데 이런 걸작도 있었네요 ㅎ,2013-12-20,10.0,짱가,65653
최고의 드라마!!!,2013-12-20,10.0,호박,65653
9.5 빨려드네..,2013-12-03,10.0,제우스,65653
진짜 재밌다,2013-11-20,10.0,123,65653
태산아빠랑  딸 수진이 행복한 웃음 소리가 들린다,2013-10-23,10.0,솔직히,65653
최근들어 최고의 작품이었습니다 작가님 긴장감있게 잘 보았습니다,2013-10-22,10.0,안드로메다,65653
이준기 김소연 이채미 조민기 김혜옥 캐스팅 찬양,2013-10-22,10.0,승,65653
16부작인데 긴장감이 매회마다 있네요ㅋㅋ 정말 본방사수 못한게 아쉬워요ㅠㅠ 이거 보면서 이준기 개늑시가 떠올랐어요ㅋㅋ 대단 이준기 연기력 최고!,2013-10-20,10.0,눈물이흘러서,65653
이준기 아빠와 딸 이채미  시상식에서 보고 싶다,2013-10-20,10.0,친구,65653
이준기라는 배우 쓸데가 많나요  못하는게  없어,2013-09-27,10.0,존경,65653
끝까지 잘 봤어요~마지막회때 일산엠비씨에서 찍었던데.. 회사가 바로 옆인데.ㅠㅠ 촬영하는지 알았다면 바로 달려갔을텐데.ㅠㅠ 아쉽다..ㅠㅠ,2013-09-27,10.0,이은희,65653
잠시만요~ 이준기님 키스 한번 하고 가실께요~ㅋㅋ 센스있는 우리 소작가님.. 몇몇 팬들이 키스신 함 보고 싶다는 댓글을 보셨나봐요~ 러브신도 같이 보고 싶어하는 팬들도 실망 시키지 않으려고.. 현재에는 스토리상 무리이니깐 과거씬에 넣어주시는 센쑤~ 정말.. 작가님은 천재 아닌가요~ㅋㅋ 평점 10점 이상은 없나요ㅋ,2013-09-27,10.0,세상이우짤라꼬,65653
모든게 퍼펙트했어요~~시사하는바가 많은 드라마~배우 모든분들 당신들 정말 대단했어요.,2013-09-27,10.0,재활용,65653
"태산이네 가족이 몇년후 꼭 함께 살고 있겠죠.그 생각만으로도 가슴 벅찬 드라마였습니다.2013년 서영이,투윅스..제 최고의 드라마입니다.배우 제작진 너무 고생하셨습니다.",2013-09-27,10.0,해찬솔,65653
종방후 무지 재밌게 봤어요.  이준기 멋짐.. 준기씨도 편한 역할 했음 좋겠어요. 넘 고생하시는 듯..,2013-11-08,9.0,여유와자유,65653
