comment,date,score,user,title
"그겨울이 끝난지 2주나 지났지만 아직도 헤어나올수가 없어 매일 인터넷창에 그겨울,송혜교를 조회한답니다. 여지껏 본 드라마중에 최고로 몰입하며 가슴 두근거리며 보았던거 같아요! 다른 드라마는 볼수가 없네요! 나이 마흔에 드라마보면서 이렇게 가슴저리기는 첨이네요! 수와 영이 행복하게 사는 모습도 보고싶은데!",2013-04-15,10.0,sun kim,65653
이런 미친 드라마가 다 있나.. 무슨 드라마가 수없이 보고 또 봐도 몰입하게 만들어.. 이런 드라마는 진짜 처음이네.. 미친 연기력 송혜교 완전 짱!!! 멋진 눈빛 조인성 짱!!! 다른 드라마는 눈에 들어오지도 않네ㅠㅠ,2013-04-15,10.0,너만보여,65653
"보고 보고 또 봐도 쩐다....... 매 회, 매 씬이 명장면이고, 모든 대사가 명대사다..... 무슨.. 이런 드라마가 다 있나.. ㅠㅠ 감동.. 감탄.. 감격.. ㅠㅠ",2013-04-15,10.0,화이트린넨,65653
여운이 심하게 남네.......,2013-04-15,10.0,카페라떼,65653
난 아직도 이 드라마 보고 있다.....,2013-04-14,10.0,짱구,65653
종영해도 계속 보게 되는 산소 커플! 해외에서도 대박 날꺼야!!!,2013-04-14,10.0,이진희,65653
그겨울은... 명품임....~!!!! 한마디로 최고임...ㅜㅜ 계속보고싶다..ㅜㅜ,2013-04-14,10.0,vmvmbm,65653
비주얼 연기력 케미 대박,2013-04-14,10.0,후리지야,65653
다좋은데 일본꺼 리메이크는 이제 그만해주세요;;톱스타 한명없이도 최고의 드라마는 시청자들이 먼저 알아봅니다..그런의미에서 돈의화신 진짜 재밌는듯!!,2013-04-14,3.0,orange20,65653
여운이 긴 정통멜로부활드라마 아련하고 가련해서 넘 좋았어요~!!,2013-04-13,10.0,키스미,65653
너무 직접적으로 대놓고 보여주는 PPL이 드라마를 흐리는 것 같아 아쉽긴 했지만... 연기 정말 잘한다!라고 생각하지는 않았던 조인성씨와 그사세에서 정말 좋아했던 송혜교씨에게 반하게 만든 드라마. 사실 처음에는 응답하라보고 좋아했던 정은지씨 어떻게 하나 보려고 잠시 봤드만ㅋㅋ 결국 끝까지 다 보게 만드네요.,2013-04-13,9.0,BeingRandy,65653
연기 연출 극본 3박자에 케미까지 대박,2013-04-13,10.0,후리지야,65653
댓글 보면서 느낀점 조금만 적을게요. 중반부터 공감 안되신다고 하신 분들은 혹시 한번 보신분들 아니신가요? 여러번 보게되면 내가 놓치고 지나간 부분들이 보이면서 더욱 몰입되고 감동받는 드라마입니다. 친구라는 영화보셨나요? 칼로 사람을 죽이는 법을 얘기하죠? 범이가 찌른칼로 오수가 못죽습니다. 당연 살죠.,2013-04-13,10.0,azalea,65653
오영의 자살시도..박진성이 오수를 찌른것.다시 살아난 오수.등등 공감보다는 불편 함이 보였구.차라리 오수 오영 둘중에 하나라도 죽는게(아니 오수가 칼맞고 오영을 만나러 병원으로 가던중 죽는게 더 깊이있는 드라마로 마음에 남지 않았을까 하는 아쉬움~그러나 오랫만에 수 작임에는 거부할수가 없군요.중반부까지는..,2013-04-12,8.0,꽃비,65653
진짜진짜 최곱니다는 말로 너무너무 부족했지만 ㅠㅠ 그겨울바람이분다 앓이중이고 송혜교짱,2013-04-12,10.0,자두,65653
드라마는 좋았다. 배우들의 연기도 좋았다. 모든 분들이 최선을 다했다. 특히 송혜교라는 배우의 진가를 알게 해준 드라마라서 너무 감사하다.,2013-04-26,10.0,CUIYONGSHAN,65653
"비주얼만 좋았지. 매주 똑같이 반복되는 스토리에 질렸다. 그래서 안보게 되더라. 처음은 괜찮다고 생각했는데..보면 볼수록 이상하게 돌아가더라. 어쨋든, 송혜교의 매력을 느끼지 못했다.",2013-04-26,5.0,홍경애,65653
그겨울은 사랑입니다. 괜히 기자와 연옌들이 핥는 드라마가 아니란 말이지.,2013-04-25,10.0,마멀레이드,65653
인성이 그동안 말한게 넘 신빙성이 없어졌다..혜교가 넘사벽이였나!!그래도 그렇지 어찌 김민희를..그건 아니잖아.!!그겨울 여운이 아직도 남아 있던 차에 참...요즘 여주 보면 알듯이 혜교가 복귀 성공 시켜 놨더니만 왜 자폭을 하고 그러지??하긴 모르게 그냥 사귀다 헤어지면 그만 이라 했겠지만 딱 걸린게 운이 없었니!,2013-04-25,10.0,간지,65653
그겨울 이후 더이상 드라마를 볼수 없다 보고 싶지도 않고..조인성..오수..조인성..이정도 연기를 잘할줄 몰랐어..한국에 배우다운 배우 딱 한명 있다 그남자 오영의 남자 조인성..,2013-04-12,10.0,사과,65653
오랫만에 가슴깊이 울게만든 드라마 ㅠㅠ... 그리고 여기에 일본놈들 많네요 ㅋㅋㅋ.. 원작드립하는놈들 대다수가 일본놈들 많습니다 ㅋㅋ. 한글 잘하는 일본원숭이들 많습니다.. 무철아.무철 ㅇ ㅏ,2013-04-12,10.0,가을전사,65653
최고의 결작드라마.. 연예인들이 더 빠져서 보는 드라마.. 후세에 길이길이 남을 드라마..재방 삼방 사방 계속 보니.. 첨엔 조인성연기 넘 오버하는거 같았는데..다시보니 넘 멋지고 잘생겼고 귀엽고 섹쉬하고 연기도 넘 잘 하네요..삼단키스 잊을수 없어요^^,2013-04-12,10.0,놓치지마,65653
연기 대본 연출 삼위일체 드라마,2013-04-12,10.0,바이올렛,65653
송혜교씨 사랑합니다. 그겨울 오영을 연기해줘서 고마와요.. 아직도 그겨울앓이 오영앓이 하고있어요.. 그겨울 짱입니다!!,2013-04-12,10.0,너만보여,65653
내인생 처음으로 드라마에 푹빠져서  허구인줄 알면서도 오수땜에 지난 겨울 넘 행복했다 아직 더 미련하게 허우적거리고 싶은데..오늘 날씨처럼 비내리고 허해..이제 그겨울을 보내야 할까보다..오수도..,2013-04-25,10.0,사과,65653
정말 가슴 아픈사랑을 했던 사람들이 꼭 봐야할 드라마..  감정이라곤 하나도 없이 매말라있는 가슴에 그때에 가슴아픈 기억이 떠오르며 감정이 되살아나기에..정말 가슴 아픈사랑을 안해본 사람도 꼭 봐야할 드라마..  이걸 보고 간접적으로라도 느껴보라고...,2013-04-25,10.0,섬아이,65653
혜교씨 빨리 좋은 사람 만나세요 그겨울 넘 재미있게 봤는데 인성씨 열애설에 한방 맞은 기분이네요혜교씨 좋은일만 있기를 ~~~~,2013-04-25,10.0,카페지기1,65653
그겨울팬들에게 이런식으로 뒤통수를..ㅠㅠㅠㅠ 연애도 좋고 사랑도 좋지만 시기가 너무 안좋잖아 ㅠㅠ 그겨울팬들 멘붕.. 어떻게 책임질겨? 컷하는 순간 바로 빠져나온다는 말.. 연기자입에서 저런말 나오는게 왠지 연기에 대한 진정성이 없어보였는데...,2013-04-25,10.0,너만보여,65653
혜교는 강동원!!아님 원빈!!,2013-04-25,10.0,슈팅,65653
나이가 있으니 열애던 결혼이던 해도 되지만 이런 시기에...제2의 겨울연가가 되느냐 마느냐 하는 시기에 이게 웬 날벼락..더구나 조간이..인텁내용처럼 걍 순식간에 오수였다가 바로 빠져나갔던거에 내가 빠졌단 말인가...,2013-04-25,10.0,아쿠아,65653
혜교도 어여 결혼해라!! 지금 인기 있을때 잘 골라 가야해!!여자 나이들면 결혼잘하기 힘들어!!혜교처럼 여리고 외로움 잘 타는 사람은 결혼하면 행복해짐.. 내가 그렜거든...,2013-04-25,10.0,솔베이지,65653
헉;;;오늘 조인성 열애설 완전 멘붕;;; 뭐지?? 웅 암튼 김민희는 아니라고 봥~~~수야 왜그랬쪄!!군대 갔다온 인성 혜교가 드라마로 제대로 복귀 성공 시켜 놨더니 왜 김민희로 훅~~자폭이 넘 심한거 아님...!!!;; 혜교랑 담 작품에서 보길 간절히 바라고 있었는데...암튼 오늘 멘붕이당...쩝,2013-04-24,10.0,줌마천사,65653
계속보는데도 안질리는이유는? 머지 -_-;;;;  그겨울은 사랑입니다,2013-04-24,10.0,vmvmbm,65653
그래도 다행인게 그겨울할때 스캔들 안터져서 천만다행!!하지만 오수는 완전실망!! 군대갔다와서 시들시들한 인기를 송헤교가 살려놨더니 김민희가 한방에 훅 가게 하네!!,2013-04-24,10.0,솔베이지,65653
헐 뒷통수 제대로 맞은 듯한 이느낌은 뭐지? 감독님 오수 감독 좀 잘 하시지 급 우울해졌다..내가 오영도 아닌데..,2013-04-24,10.0,사과,65653
저도 쭈~~~~욱 보고 있슴당!!  행복바이러스!!  *^^*,2013-04-24,10.0,하늘비,65653
그겨울 아직까지 보고 있는 사람들이 있구나!!나만 그런줄 알았네..ㅋㅋ 정말 정말 누구 팬 되본적 없는데.. 인성씨와 혜교씨 팬클럽까지 가입하구.. 정말 여운이 아직까지 가시질 않네.. 두분 정말 더 늦기전에 영화한편 찍으세요!! 끝까지 지치지 않고 보듬어줄수 있는 팬되겠슴닷!!,2013-04-23,10.0,솔베이지,65653
GOOD~!!,2013-04-23,10.0,초코우유,65653
조인성 송혜교의 연기력과 비주얼로 보는 내내 눈이 황홀했어요,2013-04-21,10.0,베뷔,65653
송혜교씨와 조인성씨의 훌륭한 연기와 비줠 때문에 시청하는 내내 온마음으로 즐겁고 행복했습니다. 그리고 무엇보다 역시 노희경 작가님은... 최고에요!!!!!,2013-04-21,10.0,한짱,65653
진심 연기 미모 분위기까지 쩌는 혜교 보고싶다 언제 또 볼수 있나여~?,2013-06-02,10.0,너만보여,65653
"아 진짜 너무   보고싶은 울 배우들과 들마...아직도 나는 그겨울에 빠져 다른 들마가 당췌 들어오질 않는다..보고싶다 조,송 울 배우~!!!!!!!",2013-06-01,10.0,쿠지,65653
그립다 수목 볼게없어 눈만 높아짐 ㅋㅋㅋ,2013-05-31,10.0,후리지야,65653
"다른건 모르겠고, PPL 진심 너무 심하지 않나? 중간중간 뜬금포 PPL에 김빠지다 보니 헛웃음만 나온다.",2013-05-30,7.0,nnps,65653
하~~그립다 그겨울...!! 보고 싶다 송혜교...!!,2013-05-28,10.0,간지,65653
조인성 현실연애 터진후 그겨울을 못보다가 오늘 한번봤는데..역시 감흥이 없다.. 정말 가슴아프게 본 드라마가 이렇게 느껴지다니.. 조인성이 원망스러웠다.. 적어도 연기자라면 그드라마 할때그때만큼은 진심 그사람이 되어야하지 않을까?? 컷하면 빠져나와 현실연애하고 다시 컷하면 드라마 찍고..그냥 연기를 했을뿐,2013-05-04,10.0,솔베이지,65653
그 겨울 끝나고 다른 드라마 못보고 있는 1인입니다.조송배우 케미도 그러하고 연기도 그러하고 이런 느낌나는 들마가 없네요..정통멜로는 지쳐서 로코 선호했었는데 그 겨울이후로 로코도 못보겠어여..송배우나왔던 들마 복습중인데 그사세때 왜 연기력논란이 있었는지..지금 나와도 손색없던대..암튼 두배우 짱!!,2013-05-04,10.0,아쿠아,65653
넘사벽 연기와 미모 송혜교씨를 언제 또 볼수 있나요? 그겨울 끝난후론 어떤 드라마도 볼수 없어요.눈이 너무 높아져서... 송혜교씨 출연했던 지난 작품들 찾아보는데.. 예전에도 연기와 미모 둘다 지존이었네요..,2013-05-04,10.0,너만보여,65653
"지난 겨울. 그리고 지금 봄까지.. 이 드라마에 취해있었다. 빠져있었다. 몰입해있었다... 스토리에 아쉬운 부분도 있지만 최고의 드라마라고 말할수 있는건, 영이와 수의 아픔과 극복의 과정을 보면서 동감하고 치유받았기 때문이다. 탐미적 연출에 배우의 완벽한 연기와 비쥬얼이 보고 또 봐도 행복한 드라마를 완성해냈다",2013-05-24,10.0,lillu,65653
송혜교 최고!,2013-05-23,10.0,이진희,65653
%EB%8C%80%EB%B0%95,2013-05-20,10.0,파워 에너지,65653
최고의 명 드라마,2013-05-20,10.0,아름다운 촛불,65653
프리즌 브레이크 시즌 1 이후로 이렇게 몰입하기는 처음... 그것도 액션이 아닌 멜로 드라마에...10화까지 봤는데 아직도 6화나 남아 있어서 행복하다...그런데 드라마때문에 일상생활에 지장이 있어.ㅜ.ㅜ,2013-05-15,10.0,빛과소금,65653
그 겨울을 만났던 처음 그 때로 다시 돌아가고 싶다..!! 보는 동안 설레고 몰입했던 그 순간이 그립다..요즘 드라마가 하나 같이 눈에 들어 오질 않아... 몰입이 안돼 볼 수가 없어..다시 한 번 배우들의 연기에 흠뻑 빠져들 수 있는 드라마 다운 드라마를 보고 싶어..혜교씨 얼른 차기작 준비해서 내 눈을 뜨게 해 주세요,2013-05-14,10.0,줌마천사,65653
이번작품에서 배우들의 열정이 대단했던것 같아요. 요즘 하는 타드라마를 보니까 뭔가 모르게 심심한 느낌... 그 겨울이 상당한 아우라가 나왔던 작품이였음을 다시한번 알겠네요,2013-05-14,10.0,wjdcnlqkd,65653
1회부터 복습중인데 다시 봐도 아련하고 조송 두배우가 웃으면 웃고 울면 울고있는 나는 다른 드라마를 볼수가 없네요...최고의 드라마와 작가님 감독님 모든 배우들...보고싶어요..,2013-05-13,10.0,쿠지,65653
그 겨울 최고의 드라마. 다시 봐도 또 감동.,2013-05-12,10.0,하여튼,65653
"쉬지않고 계속 보게 만드네요 송혜교, 조인성 하모니 최고^^",2013-05-11,10.0,NIKONG80개,65653
아직도 다른 드라마가 눈에 안들어오는 일인으로서 아래분이 0점을 줄 수준의 드라가 아니다. 너무 여운이 남는 드라마라 겨울사랑노래만 나와도 내마음 아직도 아프고 아련하고 울컥인다...  혜교가 너무 그립다...앞으로 더 잘해나가기를 ....더 멋진 배우로 우리곁에 있어주기를 배래본다...,2013-05-10,10.0,CUIYONGSHAN,65653
그 겨울 바람이분다  정말 재밌었고 감동 그 자체였습니다.아름다웠던 드라마~ㅎㅎ!!,2013-05-03,10.0,제시,65653
good!!!,2013-05-03,10.0,유르경™,65653
"여기다 그겨울과 상관없는 인물 욕쓰지마세요,, 조배우가 비판 받을 일이 있다면, 누구와 사귀느냐 하는것이 아니라, 종영 20일만에 현실연애 공개로 명작드라마의 깊은 여운을 깬 것, 그리고 연애시작시점을 1월로 발표해 그결팬의 마음을 다치게 한것입니다. 주연배우로서 작품과 동료배우, 대중을 좀 더 배려했어야죠",2013-05-01,10.0,화이트린넨,65653
김민희라니..넘 기가막혀 말도 안나옴..그동안 조인성 광팬이였는데...넘 실망해 맘 접었슴,2013-05-01,3.0,오로라,65653
보고 또 보고 넘 많이 봤나!! ost노래만 들어도 장면 장면이 떠오른다...그러다 혼자 먹먹해 눈물..ㅠ정말 이리도 잊지 못할 줄이야..!! 혜교씨 요즘 뭐하세요..?? 어찌 지내고 있나요?? 잘 지내죠?? 혼자 외로운건 이니죠?? 하~갑자기 또 그리워지네....,2013-05-01,10.0,줌마천사,65653
