comment,date,score,user,title
보고 보고 또 보고 ..미치겠네 언제쯤 그만 볼까나 ㅠ 볼수록 더 빠져든다. 도민준 천송이 ㅠㅠ,2014-05-25,10.0,강준영,65653
별그대는 사랑입니다 ㅠㅠ 최고최고. 왜 이걸 이제야 본거지! 도민준 천송이 케미대박. 이제 믿고 보는 배우 김수현!! 다음 작품도 기대된다. 전지현 이렇게 연기를 잘했었나? 최고최고!! 케미커플 최고최고,2014-05-25,10.0,차원이동,65653
"전지현 보려고 봤는데 ..김수현에 빠져버렸다. ㅠㅠ 도민준,천송이 최고!! 최고!!",2014-05-25,10.0,개늑시,65653
♥,2014-05-18,10.0,제시,65653
최고의 드라마,2014-03-31,10.0,전경,65653
재미와감동적^^,2014-03-30,10.0,송하영,65653
눈이 호강하는 드라마였어요~ ㅋ슬프기도 하고... ㅠㅠ,2014-03-29,10.0,이유경,65653
재밌다,2014-05-17,10.0,파파,65653
재미있고 도민준♡!!,2014-05-17,10.0,이은주,65653
역대 최고 드라마 완벽한 드라마 천도 커플 그립다,2014-05-15,10.0,파랑새,65653
"도민준 정말 잘생겼당ㅎ
드라마 재밌어요~♥♥",2014-05-14,10.0,하이유,65653
10점만점에 10점!,2014-05-14,10.0,강준영,65653
보고싶다! 도민준,2014-05-10,10.0,초롱,65653
완죤 재밌어용!!완죤 내스타일이양!!,2014-05-10,10.0,찌니,65653
어린나이인데도 깊이있는 연기를 보여준 김수현에 대한 재발견인거 같애요 ~~ 외계인이라는 황당한 설정에도 전혀 위화감없이 자연스럽게 외계인이 있을거 같은 믿음을 준 김수현의 연기에 많이 놀랐고 대단했던거 같애요~ 믿고보는 배우가 된거 같네요,2014-05-09,10.0,라일락,65653
역시전지현배우님의연기가돋보이네요.^천송이덕분에별에서온그대재밌게볼수있었습니다.연기도너무잘하시고얼굴까지도예쁘시고마음씨도고우신전지현배우님 화이팅~!^^좋은연기보여주셔서감사합니다.^ㅇ^,2014-05-04,10.0,김연주,65653
다시 없을 최고의 커플 탄생네요. 감동 입니다. 다른 작품에서 또 커플로 보고 싶네요.남 키스 할 때 기분 좋긴 처음....,2014-05-03,10.0,지똥,65653
재밌게 잘 봤어요,2014-05-03,10.0,lingdang,65653
김수현 전지현 마음씨도 좋네요.,2014-05-02,10.0,포차가자,65653
울 민준이~~,2014-05-02,10.0,속눈썹,65653
김수현 정말 섬세하게 연기를 잘 하는 배우 같아요. 보고 또 봐도 재미있는 별그대예요~,2014-05-02,10.0,둥글이,65653
"작가는 기어이 송이가 자신이 전생의 이화였다는 사실을 모르게 한채 끝내는군.전생의 이화가 환생한 게 틀림없는데, 것도 모르는 송이는 전생의 자신을 질투하도록 끝까지 내버려 두고..도민준도 긴가 민가 할뿐 동일인이라는 사실은 정확히 모르는 것 같은데..그럴바엔 이상하게 조선시대가 싫다거나, 비녀를 보고",2014-03-29,9.0,자작나무와별,65653
별그대!!봐도봐도 질리지않는!!!,2014-03-29,10.0,핑크바니,65653
재미있는 part 도 있구 재미 완짱 없는 파트두 있었다..,2014-03-29,7.0,천사소명,65653
"케이블에서 밤낮없이 우려먹기 너무하네. 근데 재방송 보는데, 휘경이 형에게 ""자수해! 자수하면 적어도 마지막은 감옥에서 보내지 않을 거야"" 라고 충고하는 데.쫌 어이없다. 살인은, 그것도 1급 살인은 무기징력 아니면 사형인데 무슨 마지막을 감옥에서 보내지 않을 거라니.. 죽기전에 출소한단거야 뭐야? 참 얼척없는",2014-03-28,9.0,자작나무와별,65653
천도커플!!!  항상 멋진 모습기대하겠습니다. 전지현씬 작품 활동 좀 많이 해주셨음합니다. 기대만땅^^,2014-03-28,10.0,눈꽃,65653
갈 수록 가관이다,2014-03-27,0.0,더 밝은 내일,65653
도민준♡천송이,2014-03-27,10.0,움하하하하하하,65653
내 인생 최고의 드라마..말로 표현 할 수 없음ㅋ,2014-03-26,10.0,-0-,65653
별그대는 정말 아름다운 상상이다. 봐도 봐도 아름다워.,2014-03-26,10.0,프랑스,65653
너무재밌고슬프고가슴이먹먹할정도로 아름다운드라마네요 드라마에 참신한 소재부터해서 극중캐릭&배우들의연기 스토리 영상미 ost기타 등등 어느하나 흠잡을거 없는 수작인듯. 별그대 시즌2 가 나왔으면 할정도로 정말로 재미있게 봤습니다. 완벽하게 재미있다ㅎ,2014-03-26,10.0,그리운사람,65653
전지현배우님께서 연기를아주잘하시고천송이역할까지잘연기해주시니까 더재밌었던것같아요.역시 얼굴도예쁘시고연기도잘하시더라고요.전지현배우님께서연기하는거 보는재미로잘봤습니다~^^,2014-03-25,10.0,김연주,65653
최고 입니다 김수현 전지현,2014-03-23,10.0,초롱,65653
....... 제스타일은 아닌듯상속자들을 완전재밌게 봤는데,2014-03-22,0.0,윤유진,65653
너무 재밌게봤다,2014-03-22,10.0,비타민,65653
